序号,学校代码,学校名称,评选结果,排名百分比
1,10027,北京师范大学,A+,前2%或前2名
2,10246,复旦大学,A+,前2%或前2名
3,10001,北京大学,A,2%～5%
4,10284,南京大学,A,2%～5%
5,10002,中国人民大学,A-,5%～10%
6,10055,南开大学,A-,5%～10%
7,10511,华中师范大学,A-,5%～10%
8,10558,中山大学,A-,5%～10%
9,10003,清华大学,B+,10%～20%
10,10028,首都师范大学,B+,10%～20%
11,10269,华东师范大学,B+,10%～20%
12,10384,厦门大学,B+,10%～20%
13,10422,山东大学,B+,10%～20%
14,10486,武汉大学,B+,10%～20%
15,10610,四川大学,B+,10%～20%
16,10718,陕西师范大学,B+,10%～20%
17,10183,吉林大学,B,20%～30%
18,10200,东北师范大学,B,20%～30%
19,10270,上海师范大学,B,20%～30%
20,10559,暨南大学,B,20%～30%
21,10635,西南大学,B,20%～30%
22,10673,云南大学,B,20%～30%
23,10697,西北大学,B,20%～30%
24,10730,兰州大学,B,20%～30%
25,10052,中央民族大学,B-,30%～40%
26,10075,河北大学,B-,30%～40%
27,10319,南京师范大学,B-,30%～40%
28,10335,浙江大学,B-,30%～40%
29,10459,郑州大学,B-,30%～40%
30,10475,河南大学,B-,30%～40%
31,10532,湖南大学,B-,30%～40%
32,10542,湖南师范大学,B-,30%～40%
33,10065,天津师范大学,C+,40%～50%
34,10094,河北师范大学,C+,40%～50%
35,10108,山西大学,C+,40%～50%
36,10126,内蒙古大学,C+,40%～50%
37,10280,上海大学,C+,40%～50%
38,10285,苏州大学,C+,40%～50%
39,10394,福建师范大学,C+,40%～50%
40,10446,曲阜师范大学,C+,40%～50%
41,10736,西北师范大学,C+,40%～50%
42,10165,辽宁师范大学,C,50%～60%
43,10248,上海交通大学,C,50%～60%
44,10357,安徽大学,C,50%～60%
45,10370,安徽师范大学,C,50%～60%
46,10414,江西师范大学,C,50%～60%
47,10512,湖北大学,C,50%～60%
48,10574,华南师范大学,C,50%～60%
49,11117,扬州大学,C,50%～60%
50,10140,辽宁大学,C-,60%～70%
51,10203,吉林师范大学,C-,60%～70%
52,10345,浙江师范大学,C-,60%～70%
53,10346,杭州师范大学,C-,60%～70%
54,10403,南昌大学,C-,60%～70%
55,10445,山东师范大学,C-,60%～70%
56,10636,四川师范大学,C-,60%～70%
57,10681,云南师范大学,C-,60%～70%
