序号,学校代码,学校名称,评选结果,排名百分比
1,10001,北京大学,A+,前2%或前2名
2,10027,北京师范大学,A+,前2%或前2名
3,10246,复旦大学,A,2%～5%
4,10269,华东师范大学,A,2%～5%
5,10284,南京大学,A,2%～5%
6,10335,浙江大学,A,2%～5%
7,10422,山东大学,A,2%～5%
8,10610,四川大学,A,2%～5%
9,10002,中国人民大学,A-,5%～10%
10,10028,首都师范大学,A-,5%～10%
11,10055,南开大学,A-,5%～10%
12,10319,南京师范大学,A-,5%～10%
13,10486,武汉大学,A-,5%～10%
14,10558,中山大学,A-,5%～10%
15,10003,清华大学,B+,10%～20%
16,10032,北京语言大学,B+,10%～20%
17,10052,中央民族大学,B+,10%～20%
18,10183,吉林大学,B+,10%～20%
19,10200,东北师范大学,B+,10%～20%
20,10270,上海师范大学,B+,10%～20%
21,10285,苏州大学,B+,10%～20%
22,10345,浙江师范大学,B+,10%～20%
23,10394,福建师范大学,B+,10%～20%
24,10445,山东师范大学,B+,10%～20%
25,10475,河南大学,B+,10%～20%
26,10511,华中师范大学,B+,10%～20%
27,10559,暨南大学,B+,10%～20%
28,10635,西南大学,B+,10%～20%
29,10718,陕西师范大学,B+,10%～20%
30,10065,天津师范大学,B,20%～30%
31,10075,河北大学,B,20%～30%
32,10094,河北师范大学,B,20%～30%
33,10126,内蒙古大学,B,20%～30%
34,10212,黑龙江大学,B,20%～30%
35,10231,哈尔滨师范大学,B,20%～30%
36,10280,上海大学,B,20%～30%
37,10320,江苏师范大学,B,20%～30%
38,10384,厦门大学,B,20%～30%
39,10542,湖南师范大学,B,20%～30%
40,10574,华南师范大学,B,20%～30%
41,10602,广西师范大学,B,20%～30%
42,10636,四川师范大学,B,20%～30%
43,10697,西北大学,B,20%～30%
44,10736,西北师范大学,B,20%～30%
45,11117,扬州大学,B,20%～30%
46,10033,中国传媒大学,B-,30%～40%
47,10108,山西大学,B-,30%～40%
48,10140,辽宁大学,B-,30%～40%
49,10248,上海交通大学,B-,30%～40%
50,10357,安徽大学,B-,30%～40%
51,10370,安徽师范大学,B-,30%～40%
52,10414,江西师范大学,B-,30%～40%
53,10446,曲阜师范大学,B-,30%～40%
54,10487,华中科技大学,B-,30%～40%
55,10512,湖北大学,B-,30%～40%
56,10608,广西民族大学,B-,30%～40%
57,10673,云南大学,B-,30%～40%
58,10730,兰州大学,B-,30%～40%
59,10755,新疆大学,B-,30%～40%
60,10030,北京外国语大学,C+,40%～50%
61,10135,内蒙古师范大学,C+,40%～50%
62,10165,辽宁师范大学,C+,40%～50%
63,10166,沈阳师范大学,C+,40%～50%
64,10271,上海外国语大学,C+,40%～50%
65,10346,杭州师范大学,C+,40%～50%
66,10403,南昌大学,C+,40%～50%
67,10459,郑州大学,C+,40%～50%
68,10530,湘潭大学,C+,40%～50%
69,10637,重庆师范大学,C+,40%～50%
70,10656,西南民族大学,C+,40%～50%
71,10663,贵州师范大学,C+,40%～50%
72,10742,西北民族大学,C+,40%～50%
73,10762,新疆师范大学,C+,40%～50%
74,11658,海南师范大学,C+,40%～50%
75,10031,北京第二外国语学院,C,50%～60%
76,10203,吉林师范大学,C,50%～60%
77,10337,浙江工业大学,C,50%～60%
78,10351,温州大学,C,50%～60%
79,10385,华侨大学,C,50%～60%
80,10423,中国海洋大学,C,50%～60%
81,10427,济南大学,C,50%～60%
82,10524,中南民族大学,C,50%～60%
83,10532,湖南大学,C,50%～60%
84,10593,广西大学,C,50%～60%
85,10613,西南交通大学,C,50%～60%
86,10638,西华师范大学,C,50%～60%
87,10681,云南师范大学,C,50%～60%
88,11065,青岛大学,C,50%～60%
89,11075,三峡大学,C,50%～60%
90,10068,天津外国语大学,C-,60%～70%
91,10167,渤海大学,C-,60%～70%
92,10184,延边大学,C-,60%～70%
93,10247,同济大学,C-,60%～70%
94,10304,南通大学,C-,60%～70%
95,10451,鲁东大学,C-,60%～70%
96,10476,河南师范大学,C-,60%～70%
97,10589,海南大学,C-,60%～70%
98,10590,深圳大学,C-,60%～70%
99,10672,贵州民族大学,C-,60%～70%
100,10691,云南民族大学,C-,60%～70%
101,10749,宁夏大学,C-,60%～70%
102,11078,广州大学,C-,60%～70%
103,11846,广东外语外贸大学,C-,60%～70%
