序号,学校代码,学校名称,评选结果,排名百分比
1,10043,北京体育大学,A+,前2%或前2名
2,10277,上海体育学院,A+,前2%或前2名
3,10269,华东师范大学,A,2%～5%
4,10071,天津体育学院,A-,5%～10%
5,10394,福建师范大学,A-,5%～10%
6,10522,武汉体育学院,A-,5%～10%
7,10574,华南师范大学,A-,5%～10%
8,10653,成都体育学院,A-,5%～10%
9,10003,清华大学,B+,10%～20%
10,10027,北京师范大学,B+,10%～20%
11,10029,首都体育学院,B+,10%～20%
12,10176,沈阳体育学院,B+,10%～20%
13,10285,苏州大学,B+,10%～20%
14,10335,浙江大学,B+,10%～20%
15,10511,华中师范大学,B+,10%～20%
16,10108,山西大学,B,20%～30%
17,10200,东北师范大学,B,20%～30%
18,10208,吉林体育学院,B,20%～30%
19,10319,南京师范大学,B,20%～30%
20,10446,曲阜师范大学,B,20%～30%
21,10542,湖南师范大学,B,20%～30%
22,10585,广州体育学院,B,20%～30%
23,10727,西安体育学院,B,20%～30%
24,10094,河北师范大学,B-,30%～40%
25,10165,辽宁师范大学,B-,30%～40%
26,10330,南京体育学院,B-,30%～40%
27,10445,山东师范大学,B-,30%～40%
28,10457,山东体育学院,B-,30%～40%
29,10475,河南大学,B-,30%～40%
30,10718,陕西师范大学,B-,30%～40%
31,11646,宁波大学,B-,30%～40%
32,10118,山西师范大学,C+,40%～50%
33,10345,浙江师范大学,C+,40%～50%
34,10370,安徽师范大学,C+,40%～50%
35,10414,江西师范大学,C+,40%～50%
36,10459,郑州大学,C+,40%～50%
37,10602,广西师范大学,C+,40%～50%
38,10681,云南师范大学,C+,40%～50%
39,10736,西北师范大学,C+,40%～50%
40,10762,新疆师范大学,C+,40%～50%
41,11117,扬州大学,C+,40%～50%
42,10476,河南师范大学,C,50%～60%
43,10512,湖北大学,C,50%～60%
44,10531,吉首大学,C,50%～60%
45,10590,深圳大学,C,50%～60%
46,10635,西南大学,C,50%～60%
47,10320,江苏师范大学,C-,60%～70%
48,10346,杭州师范大学,C-,60%～70%
49,10390,集美大学,C-,60%～70%
50,10166,沈阳师范大学,C-,60%～70%
51,10183,吉林大学,C-,60%～70%
52,10231,哈尔滨师范大学,C-,60%～70%
53,10247,同济大学,C-,60%～70%
54,10270,上海师范大学,C-,60%～70%
