序号,学校代码,学校名称,评选结果,排名百分比
1,10001,北京大学,A+,前2%或前2名
2,10246,复旦大学,A+,前2%或前2名
3,10002,中国人民大学,A,2%～5%
4,10284,南京大学,A,2%～5%
5,10027,北京师范大学,A-,5%～10%
6,10183,吉林大学,A-,5%～10%
7,10486,武汉大学,A-,5%～10%
8,10558,中山大学,A-,5%～10%
9,10003,清华大学,B+,10%～20%
10,10055,南开大学,B+,10%～20%
11,10212,黑龙江大学,B+,10%～20%
12,10269,华东师范大学,B+,10%～20%
13,10286,东南大学,B+,10%～20%
14,10335,浙江大学,B+,10%～20%
15,10422,山东大学,B+,10%～20%
16,10487,华中科技大学,B+,10%～20%
17,10052,中央民族大学,B,20%～30%
18,10108,山西大学,B,20%～30%
19,10145,东北大学,B,20%～30%
20,10247,同济大学,B,20%～30%
21,10319,南京师范大学,B,20%～30%
22,10384,厦门大学,B,20%～30%
23,10542,湖南师范大学,B,20%～30%
24,10610,四川大学,B,20%～30%
25,10718,陕西师范大学,B,20%～30%
26,10140,辽宁大学,B-,30%～40%
27,10141,大连理工大学,B-,30%～40%
28,10270,上海师范大学,B-,30%～40%
29,10285,苏州大学,B-,30%～40%
30,10533,中南大学,B-,30%～40%
31,10574,华南师范大学,B-,30%～40%
32,10635,西南大学,B-,30%～40%
33,10698,西安交通大学,B-,30%～40%
34,10053,中国政法大学,C+,40%～50%
35,10075,河北大学,C+,40%～50%
36,10357,安徽大学,C+,40%～50%
37,10385,华侨大学,C+,40%～50%
38,10403,南昌大学,C+,40%～50%
39,10475,河南大学,C+,40%～50%
40,10512,湖北大学,C+,40%～50%
41,10520,中南财经政法大学,C+,40%～50%
42,10730,兰州大学,C+,40%～50%
43,10203,吉林师范大学,C,50%～60%
44,10280,上海大学,C,50%～60%
45,10531,吉首大学,C,50%～60%
46,10590,深圳大学,C,50%～60%
47,10656,西南民族大学,C,50%～60%
48,10673,云南大学,C,50%～60%
49,10674,昆明理工大学,C,50%～60%
50,10726,西北政法大学,C,50%～60%
51,10094,河北师范大学,C-,60%～70%
52,10166,沈阳师范大学,C-,60%～70%
53,10370,安徽师范大学,C-,60%～70%
54,10476,河南师范大学,C-,60%～70%
55,10593,广西大学,C-,60%～70%
56,10636,四川师范大学,C-,60%～70%
57,10652,西南政法大学,C-,60%～70%
58,10681,云南师范大学,C-,60%～70%
