序号,学校代码,学校名称,评选结果,排名百分比
1,10001,北京大学,A+,前2%或前2名
2,10030,北京外国语大学,A+,前2%或前2名
3,10271,上海外国语大学,A+,前2%或前2名
4,10212,黑龙江大学,A,2%～5%
5,10248,上海交通大学,A,2%～5%
6,10284,南京大学,A,2%～5%
7,10335,浙江大学,A,2%～5%
8,11846,广东外语外贸大学,A,2%～5%
9,10003,清华大学,A-,5%～10%
10,10006,北京航空航天大学,A-,5%～10%
11,10027,北京师范大学,A-,5%～10%
12,10036,对外经济贸易大学,A-,5%～10%
13,10246,复旦大学,A-,5%～10%
14,10269,华东师范大学,A-,5%～10%
15,10319,南京师范大学,A-,5%～10%
16,10422,山东大学,A-,5%～10%
17,10002,中国人民大学,B+,10%～20%
18,10032,北京语言大学,B+,10%～20%
19,10055,南开大学,B+,10%～20%
20,10184,延边大学,B+,10%～20%
21,10200,东北师范大学,B+,10%～20%
22,10247,同济大学,B+,10%～20%
23,10285,苏州大学,B+,10%～20%
24,10384,厦门大学,B+,10%～20%
25,10486,武汉大学,B+,10%～20%
26,10532,湖南大学,B+,10%～20%
27,10542,湖南师范大学,B+,10%～20%
28,10558,中山大学,B+,10%～20%
29,10610,四川大学,B+,10%～20%
30,10635,西南大学,B+,10%～20%
31,10650,四川外国语大学,B+,10%～20%
32,10724,西安外国语大学,B+,10%～20%
33,10008,北京科技大学,B,20%～30%
34,10028,首都师范大学,B,20%～30%
35,10031,北京第二外国语学院,B,20%～30%
36,10068,天津外国语大学,B,20%～30%
37,10172,大连外国语大学,B,20%～30%
38,10183,吉林大学,B,20%～30%
39,10273,上海对外经贸大学,B,20%～30%
40,10346,杭州师范大学,B,20%～30%
41,10353,浙江工商大学,B,20%～30%
42,10394,福建师范大学,B,20%～30%
43,10423,中国海洋大学,B,20%～30%
44,10475,河南大学,B,20%～30%
45,10487,华中科技大学,B,20%～30%
46,10511,华中师范大学,B,20%～30%
47,10718,陕西师范大学,B,20%～30%
48,11646,宁波大学,B,20%～30%
49,10004,北京交通大学,B-,30%～40%
50,10213,哈尔滨工业大学,B-,30%～40%
51,10231,哈尔滨师范大学,B-,30%～40%
52,10254,上海海事大学,B-,30%～40%
53,10280,上海大学,B-,30%～40%
54,10345,浙江师范大学,B-,30%～40%
55,10445,山东师范大学,B-,30%～40%
56,10446,曲阜师范大学,B-,30%～40%
57,10459,郑州大学,B-,30%～40%
58,10559,暨南大学,B-,30%～40%
59,10561,华南理工大学,B-,30%～40%
60,10574,华南师范大学,B-,30%～40%
61,10608,广西民族大学,B-,30%～40%
62,10611,重庆大学,B-,30%～40%
63,10698,西安交通大学,B-,30%～40%
64,10736,西北师范大学,B-,30%～40%
65,11117,扬州大学,B-,30%～40%
66,10007,北京理工大学,C+,40%～50%
67,10053,中国政法大学,C+,40%～50%
68,10065,天津师范大学,C+,40%～50%
69,10108,山西大学,C+,40%～50%
70,10165,辽宁师范大学,C+,40%～50%
71,10270,上海师范大学,C+,40%～50%
72,10272,上海财经大学,C+,40%～50%
73,10287,南京航空航天大学,C+,40%～50%
74,10290,中国矿业大学,C+,40%～50%
75,10357,安徽大学,C+,40%～50%
76,10414,江西师范大学,C+,40%～50%
77,10476,河南师范大学,C+,40%～50%
78,10530,湘潭大学,C+,40%～50%
79,10593,广西大学,C+,40%～50%
80,10602,广西师范大学,C+,40%～50%
81,10613,西南交通大学,C+,40%～50%
82,10636,四川师范大学,C+,40%～50%
83,10730,兰州大学,C+,40%～50%
84,11414,中国石油大学,C+,40%～50%
85,10022,北京林业大学,C,50%～60%
86,10033,中国传媒大学,C,50%～60%
87,10094,河北师范大学,C,50%～60%
88,10140,辽宁大学,C,50%～60%
89,10151,大连海事大学,C,50%～60%
90,10252,上海理工大学,C,50%～60%
91,10299,江苏大学,C,50%～60%
92,10451,鲁东大学,C,50%～60%
93,10491,中国地质大学,C,50%～60%
94,10534,湖南科技大学,C,50%～60%
95,10590,深圳大学,C,50%～60%
96,10637,重庆师范大学,C,50%～60%
97,10697,西北大学,C,50%～60%
98,11065,青岛大学,C,50%～60%
99,90002,国防科技大学,C,50%～60%
100,10075,河北大学,C-,60%～70%
101,10079,华北电力大学,C-,60%～70%
102,10126,内蒙古大学,C-,60%～70%
103,10203,吉林师范大学,C-,60%～70%
104,10251,华东理工大学,C-,60%～70%
105,10288,南京理工大学,C-,60%～70%
106,10320,江苏师范大学,C-,60%～70%
107,10386,福州大学,C-,60%～70%
108,10403,南昌大学,C-,60%～70%
109,10512,湖北大学,C-,60%～70%
110,10520,中南财经政法大学,C-,60%～70%
111,10652,西南政法大学,C-,60%～70%
112,10656,西南民族大学,C-,60%～70%
113,10673,云南大学,C-,60%～70%
114,10681,云南师范大学,C-,60%～70%
115,10749,宁夏大学,C-,60%～70%
