序号,学校代码,学校名称,评选结果,排名百分比
1,10001,北京大学,A+,前2%或前2名
2,10002,中国人民大学,A+,前2%或前2名
3,10034,中央财经大学,A+,前2%或前2名
4,10036,对外经济贸易大学,A,2%～5%
5,10173,东北财经大学,A,2%～5%
6,10272,上海财经大学,A,2%～5%
7,10384,厦门大学,A,2%～5%
8,10003,清华大学,A-,5%～10%
9,10055,南开大学,A-,5%～10%
10,10246,复旦大学,A-,5%～10%
11,10421,江西财经大学,A-,5%～10%
12,10422,山东大学,A-,5%～10%
13,10520,中南财经政法大学,A-,5%～10%
14,10651,西南财经大学,A-,5%～10%
15,10698,西安交通大学,A-,5%～10%
16,10004,北京交通大学,B+,10%～20%
17,10038,首都经济贸易大学,B+,10%～20%
18,10070,天津财经大学,B+,10%～20%
19,10140,辽宁大学,B+,10%～20%
20,10183,吉林大学,B+,10%～20%
21,10284,南京大学,B+,10%～20%
22,10286,东南大学,B+,10%～20%
23,10335,浙江大学,B+,10%～20%
24,10353,浙江工商大学,B+,10%～20%
25,10456,山东财经大学,B+,10%～20%
26,10486,武汉大学,B+,10%～20%
27,10487,华中科技大学,B+,10%～20%
28,10532,湖南大学,B+,10%～20%
29,10558,中山大学,B+,10%～20%
30,10559,暨南大学,B+,10%～20%
31,11482,浙江财经大学,B+,10%～20%
32,10007,北京理工大学,B,20%～30%
33,10011,北京工商大学,B,20%～30%
34,10125,山西财经大学,B,20%～30%
35,10141,大连理工大学,B,20%～30%
36,10247,同济大学,B,20%～30%
37,10269,华东师范大学,B,20%～30%
38,10273,上海对外经贸大学,B,20%～30%
39,10280,上海大学,B,20%～30%
40,10327,南京财经大学,B,20%～30%
41,10357,安徽大学,B,20%～30%
42,10423,中国海洋大学,B,20%～30%
43,10497,武汉理工大学,B,20%～30%
44,10593,广西大学,B,20%～30%
45,10611,重庆大学,B,20%～30%
46,10689,云南财经大学,B,20%～30%
47,10200,东北师范大学,B-,30%～40%
48,10240,哈尔滨商业大学,B-,30%～40%
49,10251,华东理工大学,B-,30%～40%
50,10285,苏州大学,B-,30%～40%
51,10319,南京师范大学,B-,30%～40%
52,10337,浙江工业大学,B-,30%～40%
53,10378,安徽财经大学,B-,30%～40%
54,10385,华侨大学,B-,30%～40%
55,10475,河南大学,B-,30%～40%
56,10491,中国地质大学,B-,30%～40%
57,10534,湖南科技大学,B-,30%～40%
58,10610,四川大学,B-,30%～40%
59,10730,兰州大学,B-,30%～40%
60,11799,重庆工商大学,B-,30%～40%
61,11846,广东外语外贸大学,B-,30%～40%
62,90026,军事经济学院,B-,30%～40%
63,10027,北京师范大学,C+,40%～50%
64,10207,吉林财经大学,C+,40%～50%
65,10403,南昌大学,C+,40%～50%
66,10427,济南大学,C+,40%～50%
67,10459,郑州大学,C+,40%～50%
68,10484,河南财经政法大学,C+,40%～50%
69,10511,华中师范大学,C+,40%～50%
70,10536,长沙理工大学,C+,40%～50%
71,10574,华南师范大学,C+,40%～50%
72,10592,广东财经大学,C+,40%～50%
73,10697,西北大学,C+,40%～50%
74,10766,新疆财经大学,C+,40%～50%
75,11560,西安财经学院,C+,40%～50%
76,11646,宁波大学,C+,40%～50%
77,11832,河北经贸大学,C+,40%～50%
78,10008,北京科技大学,C,50%～60%
79,10075,河北大学,C,50%～60%
80,10126,内蒙古大学,C,50%～60%
81,10270,上海师范大学,C,50%～60%
82,10276,华东政法大学,C,50%～60%
83,10290,中国矿业大学,C,50%～60%
84,10295,江南大学,C,50%～60%
85,10299,江苏大学,C,50%～60%
86,10320,江苏师范大学,C,50%～60%
87,10338,浙江理工大学,C,50%～60%
88,10433,山东理工大学,C,50%～60%
89,10589,海南大学,C,50%～60%
90,10652,西南政法大学,C,50%～60%
91,10656,西南民族大学,C,50%～60%
92,10671,贵州财经大学,C,50%～60%
93,10673,云南大学,C,50%～60%
94,10741,兰州财经大学,C,50%～60%
95,11287,南京审计大学,C,50%～60%
96,11414,中国石油大学,C,50%～60%
97,10052,中央民族大学,C-,60%～70%
98,10053,中国政法大学,C-,60%～70%
99,10058,天津工业大学,C-,60%～70%
100,10069,天津商业大学,C-,60%～70%
101,10139,内蒙古财经大学,C-,60%～70%
102,10360,安徽工业大学,C-,60%～70%
103,10602,广西师范大学,C-,60%～70%
104,10657,贵州大学,C-,60%～70%
105,10681,云南师范大学,C-,60%～70%
106,10718,陕西师范大学,C-,60%～70%
107,10759,石河子大学,C-,60%～70%
108,11664,西安邮电大学,C-,60%～70%
