序号,学校代码,学校名称,评选结果,排名百分比
1,10001,北京大学,A+,前2%或前2名
2,10027,北京师范大学,A+,前2%或前2名
3,10574,华南师范大学,A+,前2%或前2名
4,10269,华东师范大学,A-,5%～10%
5,10635,西南大学,A-,5%～10%
6,10065,天津师范大学,B+,10%～20%
7,10319,南京师范大学,B+,10%～20%
8,10335,浙江大学,B+,10%～20%
9,10511,华中师范大学,B+,10%～20%
10,10718,陕西师范大学,B+,10%～20%
11,10028,首都师范大学,B,20%～30%
12,10165,辽宁师范大学,B,20%～30%
13,10270,上海师范大学,B,20%～30%
14,10445,山东师范大学,B,20%～30%
15,90032,第四军医大学,B,20%～30%
16,10200,东北师范大学,B-,30%～40%
17,10345,浙江师范大学,B-,30%～40%
18,10414,江西师范大学,B-,30%～40%
19,10533,中南大学,B-,30%～40%
20,10542,湖南师范大学,B-,30%～40%
21,10558,中山大学,B-,30%～40%
22,10285,苏州大学,C+,40%～50%
23,10394,福建师范大学,C+,40%～50%
24,10590,深圳大学,C+,40%～50%
25,10736,西北师范大学,C+,40%～50%
26,10135,内蒙古师范大学,C,50%～60%
27,10346,杭州师范大学,C,50%～60%
28,10475,河南大学,C,50%～60%
29,10663,贵州师范大学,C,50%～60%
30,11078,广州大学,C,50%～60%
31,10003,清华大学,C-,60%～70%
32,10043,北京体育大学,C-,60%～70%
33,10094,河北师范大学,C-,60%～70%
34,10183,吉林大学,C-,60%～70%
35,10366,安徽医科大学,C-,60%～70%
36,10446,曲阜师范大学,C-,60%～70%
