序号,学校代码,学校名称,评选结果,排名百分比
1,10001,北京大学,A+,前2%或前2名
2,10246,复旦大学,A+,前2%或前2名
3,10002,中国人民大学,A,2%～5%
4,10003,清华大学,A-,5%～10%
5,10055,南开大学,A-,5%～10%
6,10183,吉林大学,A-,5%～10%
7,10511,华中师范大学,A-,5%～10%
8,10053,中国政法大学,B+,10%～20%
9,10065,天津师范大学,B+,10%～20%
10,10269,华东师范大学,B+,10%～20%
11,10271,上海外国语大学,B+,10%～20%
12,10284,南京大学,B+,10%～20%
13,10384,厦门大学,B+,10%～20%
14,10422,山东大学,B+,10%～20%
15,10673,云南大学,B+,10%～20%
16,10036,对外经济贸易大学,B,20%～30%
17,10200,东北师范大学,B,20%～30%
18,10276,华东政法大学,B,20%～30%
19,10285,苏州大学,B,20%～30%
20,10486,武汉大学,B,20%～30%
21,10558,中山大学,B,20%～30%
22,10559,暨南大学,B,20%～30%
23,10027,北京师范大学,B-,30%～40%
24,10030,北京外国语大学,B-,30%～40%
25,10108,山西大学,B-,30%～40%
26,10247,同济大学,B-,30%～40%
27,10319,南京师范大学,B-,30%～40%
28,10542,湖南师范大学,B-,30%～40%
29,10574,华南师范大学,B-,30%～40%
30,10610,四川大学,B-,30%～40%
31,10638,西华师范大学,B-,30%～40%
32,10028,首都师范大学,C+,40%～50%
33,10248,上海交通大学,C+,40%～50%
34,10270,上海师范大学,C+,40%～50%
35,10385,华侨大学,C+,40%～50%
36,10530,湘潭大学,C+,40%～50%
37,10590,深圳大学,C+,40%～50%
38,10652,西南政法大学,C+,40%～50%
39,10140,辽宁大学,C,50%～60%
40,10212,黑龙江大学,C,50%～60%
41,10345,浙江师范大学,C,50%～60%
42,10423,中国海洋大学,C,50%～60%
43,10459,郑州大学,C,50%～60%
44,10476,河南师范大学,C,50%～60%
45,11846,广东外语外贸大学,C,50%～60%
46,10165,辽宁师范大学,C-,60%～70%
47,10447,聊城大学,C-,60%～70%
48,10608,广西民族大学,C-,60%～70%
49,10663,贵州师范大学,C-,60%～70%
50,10718,陕西师范大学,C-,60%～70%
51,10719,延安大学,C-,60%～70%
52,10755,新疆大学,C-,60%～70%
53,11065,青岛大学,C-,60%～70%
