序号,学校代码,学校名称,评选结果,排名百分比
1,10027,北京师范大学,A+,前2%或前2名
2,10269,华东师范大学,A+,前2%或前2名
3,10200,东北师范大学,A,2%～5%
4,10319,南京师范大学,A,2%～5%
5,10511,华中师范大学,A,2%～5%
6,10001,北京大学,A-,5%～10%
7,10028,首都师范大学,A-,5%～10%
8,10335,浙江大学,A-,5%～10%
9,10574,华南师范大学,A-,5%～10%
10,10635,西南大学,A-,5%～10%
11,10003,清华大学,B+,10%～20%
12,10270,上海师范大学,B+,10%～20%
13,10345,浙江师范大学,B+,10%～20%
14,10384,厦门大学,B+,10%～20%
15,10445,山东师范大学,B+,10%～20%
16,10475,河南大学,B+,10%～20%
17,10487,华中科技大学,B+,10%～20%
18,10542,湖南师范大学,B+,10%～20%
19,10718,陕西师范大学,B+,10%～20%
20,10736,西北师范大学,B+,10%～20%
21,10007,北京理工大学,B,20%～30%
22,10056,天津大学,B,20%～30%
23,10065,天津师范大学,B,20%～30%
24,10165,辽宁师范大学,B,20%～30%
25,10166,沈阳师范大学,B,20%～30%
26,10231,哈尔滨师范大学,B,20%～30%
27,10320,江苏师范大学,B,20%～30%
28,10414,江西师范大学,B,20%～30%
29,10602,广西师范大学,B,20%～30%
30,10636,四川师范大学,B,20%～30%
31,10075,河北大学,B-,30%～40%
32,10285,苏州大学,B-,30%～40%
33,10346,杭州师范大学,B-,30%～40%
34,10370,安徽师范大学,B-,30%～40%
35,10394,福建师范大学,B-,30%～40%
36,10446,曲阜师范大学,B-,30%～40%
37,10476,河南师范大学,B-,30%～40%
38,10637,重庆师范大学,B-,30%～40%
39,10681,云南师范大学,B-,30%～40%
40,10762,新疆师范大学,B-,30%～40%
41,10052,中央民族大学,C+,40%～50%
42,10094,河北师范大学,C+,40%～50%
43,10108,山西大学,C+,40%～50%
44,10118,山西师范大学,C+,40%～50%
45,10135,内蒙古师范大学,C+,40%～50%
46,10247,同济大学,C+,40%～50%
47,10295,江南大学,C+,40%～50%
48,10351,温州大学,C+,40%～50%
49,11078,广州大学,C+,40%～50%
50,11646,宁波大学,C+,40%～50%
51,10005,北京工业大学,C,50%～60%
52,10167,渤海大学,C,50%～60%
53,10203,吉林师范大学,C,50%～60%
54,10337,浙江工业大学,C,50%～60%
55,10418,赣南师范大学,C,50%～60%
56,10512,湖北大学,C,50%～60%
57,10524,中南民族大学,C,50%～60%
58,10663,贵州师范大学,C,50%～60%
59,10673,云南大学,C,50%～60%
60,11117,扬州大学,C,50%～60%
61,10066,天津职业技术师范大学,C-,60%～70%
62,10205,长春师范大学,C-,60%～70%
63,10299,江苏大学,C-,60%～70%
64,10373,淮北师范大学,C-,60%～70%
65,10451,鲁东大学,C-,60%～70%
66,10513,湖北师范大学,C-,60%～70%
67,10590,深圳大学,C-,60%～70%
68,10603,广西师范学院,C-,60%～70%
69,10759,石河子大学,C-,60%～70%
70,11658,海南师范大学,C-,60%～70%
