序号,学校代码,学校名称,评选结果,排名百分比
1,10002,中国人民大学,A+,前2%或前2名
2,10033,中国传媒大学,A+,前2%或前2名
3,10246,复旦大学,A,2%～5%
4,10487,华中科技大学,A,2%～5%
5,10003,清华大学,A-,5%～10%
6,10248,上海交通大学,A-,5%～10%
7,10486,武汉大学,A-,5%～10%
8,10559,暨南大学,A-,5%～10%
9,10001,北京大学,B+,10%～20%
10,10269,华东师范大学,B+,10%～20%
11,10280,上海大学,B+,10%～20%
12,10284,南京大学,B+,10%～20%
13,10319,南京师范大学,B+,10%～20%
14,10335,浙江大学,B+,10%～20%
15,10384,厦门大学,B+,10%～20%
16,10610,四川大学,B+,10%～20%
17,10075,河北大学,B,20%～30%
18,10357,安徽大学,B,20%～30%
19,10459,郑州大学,B,20%～30%
20,10532,湖南大学,B,20%～30%
21,10542,湖南师范大学,B,20%～30%
22,10558,中山大学,B,20%～30%
23,10590,深圳大学,B,20%～30%
24,10718,陕西师范大学,B,20%～30%
25,10271,上海外国语大学,B-,30%～40%
26,10285,苏州大学,B-,30%～40%
27,10403,南昌大学,B-,30%～40%
28,10422,山东大学,B-,30%～40%
29,10475,河南大学,B-,30%～40%
30,10561,华南理工大学,B-,30%～40%
31,10730,兰州大学,B-,30%～40%
32,90021,南京政治学院,B-,30%～40%
33,10065,天津师范大学,C+,40%～50%
34,10140,辽宁大学,C+,40%～50%
35,10611,重庆大学,C+,40%～50%
36,10652,西南政法大学,C+,40%～50%
37,10697,西北大学,C+,40%～50%
38,10015,北京印刷学院,C+,40%～50%
39,10027,北京师范大学,C+,40%～50%
40,10030,北京外国语大学,C+,40%～50%
41,10052,中央民族大学,C,50%～60%
42,10053,中国政法大学,C,50%～60%
43,10183,吉林大学,C,50%～60%
44,10247,同济大学,C,50%～60%
45,10252,上海理工大学,C,50%～60%
46,10560,汕头大学,C,50%～60%
47,10593,广西大学,C,50%～60%
48,10698,西安交通大学,C,50%～60%
49,10011,北京工商大学,C-,60%～70%
50,10055,南开大学,C-,60%～70%
51,10270,上海师范大学,C-,60%～70%
52,10370,安徽师范大学,C-,60%～70%
53,10511,华中师范大学,C-,60%～70%
54,10635,西南大学,C-,60%～70%
55,10673,云南大学,C-,60%～70%
56,10755,新疆大学,C-,60%～70%
