序号,学校代码,学校名称,评选结果,排名百分比
1,10052,中央民族大学,A+,前2%或前2名
2,10673,云南大学,A+,前2%或前2名
3,10524,中南民族大学,A-,5%～10%
4,10558,中山大学,B+,10%～20%
5,10656,西南民族大学,B+,10%～20%
6,10730,兰州大学,B+,10%～20%
7,10126,内蒙古大学,B,20%～30%
8,10608,广西民族大学,B,20%～30%
9,10691,云南民族大学,B,20%～30%
10,10384,厦门大学,B-,30%～40%
11,10718,陕西师范大学,B-,30%～40%
12,10749,宁夏大学,B-,30%～40%
13,10610,四川大学,C+,40%～50%
14,10742,西北民族大学,C+,40%～50%
15,10762,新疆师范大学,C+,40%～50%
16,10135,内蒙古师范大学,C,50%～60%
17,10517,湖北民族学院,C,50%～60%
18,10695,西藏民族大学,C,50%～60%
19,10531,吉首大学,C-,60%～70%
20,10672,贵州民族大学,C-,60%～70%
21,11407,北方民族大学,C-,60%～70%
