序号,学校代码,学校名称,评选结果,排名百分比
1,10002,中国人民大学,A+,前2%或前2名
2,10053,中国政法大学,A+,前2%或前2名
3,10001,北京大学,A,2%～5%
4,10003,清华大学,A,2%～5%
5,10276,华东政法大学,A,2%～5%
6,10486,武汉大学,A,2%～5%
7,10652,西南政法大学,A,2%～5%
8,10036,对外经济贸易大学,A-,5%～10%
9,10183,吉林大学,A-,5%～10%
10,10248,上海交通大学,A-,5%～10%
11,10284,南京大学,A-,5%～10%
12,10335,浙江大学,A-,5%～10%
13,10384,厦门大学,A-,5%～10%
14,10520,中南财经政法大学,A-,5%～10%
15,10611,重庆大学,B+,10%～20%
16,10726,西北政法大学,B+,10%～20%
17,10006,北京航空航天大学,B+,10%～20%
18,10027,北京师范大学,B+,10%～20%
19,10055,南开大学,B+,10%～20%
20,10140,辽宁大学,B+,10%～20%
21,10246,复旦大学,B+,10%～20%
22,10285,苏州大学,B+,10%～20%
23,10319,南京师范大学,B+,10%～20%
24,10422,山东大学,B+,10%～20%
25,10530,湘潭大学,B+,10%～20%
26,10533,中南大学,B+,10%～20%
27,10558,中山大学,B+,10%～20%
28,10610,四川大学,B+,10%～20%
29,10034,中央财经大学,B,20%～30%
30,10041,中国人民公安大学,B,20%～30%
31,10151,大连海事大学,B,20%～30%
32,10212,黑龙江大学,B,20%～30%
33,10247,同济大学,B,20%～30%
34,10272,上海财经大学,B,20%～30%
35,10357,安徽大学,B,20%～30%
36,10421,江西财经大学,B,20%～30%
37,10423,中国海洋大学,B,20%～30%
38,10459,郑州大学,B,20%～30%
39,10532,湖南大学,B,20%～30%
40,10542,湖南师范大学,B,20%～30%
41,10589,海南大学,B,20%～30%
42,10651,西南财经大学,B,20%～30%
43,11066,烟台大学,B,20%～30%
44,10052,中央民族大学,B-,30%～40%
45,10353,浙江工商大学,B-,30%～40%
46,10386,福州大学,B-,30%～40%
47,10475,河南大学,B-,30%～40%
48,10487,华中科技大学,B-,30%～40%
49,10559,暨南大学,B-,30%～40%
50,10561,华南理工大学,B-,30%～40%
51,10590,深圳大学,B-,30%～40%
52,10592,广东财经大学,B-,30%～40%
53,10673,云南大学,B-,30%～40%
54,10698,西安交通大学,B-,30%～40%
55,10730,兰州大学,B-,30%～40%
56,11406,甘肃政法学院,B-,30%～40%
57,11835,上海政法学院,B-,30%～40%
58,10007,北京理工大学,C+,40%～50%
59,10030,北京外国语大学,C+,40%～50%
60,10075,河北大学,C+,40%～50%
61,10108,山西大学,C+,40%～50%
62,10126,内蒙古大学,C+,40%～50%
63,10254,上海海事大学,C+,40%～50%
64,10273,上海对外经贸大学,C+,40%～50%
65,10280,上海大学,C+,40%～50%
66,10385,华侨大学,C+,40%～50%
67,10511,华中师范大学,C+,40%～50%
68,10657,贵州大学,C+,40%～50%
69,10755,新疆大学,C+,40%～50%
70,11078,广州大学,C+,40%～50%
71,11646,宁波大学,C+,40%～50%
72,11846,广东外语外贸大学,C+,40%～50%
73,10004,北京交通大学,C,50%～60%
74,10028,首都师范大学,C,50%～60%
75,10065,天津师范大学,C,50%～60%
76,10125,山西财经大学,C,50%～60%
77,10166,沈阳师范大学,C,50%～60%
78,10173,东北财经大学,C,50%～60%
79,10251,华东理工大学,C,50%～60%
80,10294,河海大学,C,50%～60%
81,10394,福建师范大学,C,50%～60%
82,10484,河南财经政法大学,C,50%～60%
83,10524,中南民族大学,C,50%～60%
84,10656,西南民族大学,C,50%～60%
85,10674,昆明理工大学,C,50%～60%
86,11117,扬州大学,C,50%～60%
87,11832,河北经贸大学,C,50%～60%
88,10009,北方工业大学,C-,60%～70%
89,10011,北京工商大学,C-,60%～70%
90,10079,华北电力大学,C-,60%～70%
91,10270,上海师范大学,C-,60%～70%
92,10327,南京财经大学,C-,60%～70%
93,10346,杭州师范大学,C-,60%～70%
94,10378,安徽财经大学,C-,60%～70%
95,10497,武汉理工大学,C-,60%～70%
96,10574,华南师范大学,C-,60%～70%
97,10593,广西大学,C-,60%～70%
98,10602,广西师范大学,C-,60%～70%
99,11065,青岛大学,C-,60%～70%
100,11482,浙江财经大学,C-,60%～70%
