序号,学校代码,学校名称,评选结果,排名百分比
1,10001,北京大学,A+,前2%或前2名
2,10002,中国人民大学,A+,前2%或前2名
3,10284,南京大学,A,2%～5%
4,10003,清华大学,A-,5%～10%
5,10246,复旦大学,A-,5%～10%
6,10280,上海大学,A-,5%～10%
7,10052,中央民族大学,B+,10%～20%
8,10055,南开大学,B+,10%～20%
9,10183,吉林大学,B+,10%～20%
10,10251,华东理工大学,B+,10%～20%
11,10269,华东师范大学,B+,10%～20%
12,10487,华中科技大学,B+,10%～20%
13,10558,中山大学,B+,10%～20%
14,10019,中国农业大学,B,20%～30%
15,10294,河海大学,B,20%～30%
16,10335,浙江大学,B,20%～30%
17,10384,厦门大学,B,20%～30%
18,10486,武汉大学,B,20%～30%
19,10511,华中师范大学,B,20%～30%
20,10027,北京师范大学,B-,30%～40%
21,10034,中央财经大学,B-,30%～40%
22,10053,中国政法大学,B-,30%～40%
23,10422,山东大学,B-,30%～40%
24,10533,中南大学,B-,30%～40%
25,10691,云南民族大学,B-,30%～40%
26,10698,西安交通大学,B-,30%～40%
27,10213,哈尔滨工业大学,C+,40%～50%
28,10345,浙江师范大学,C+,40%～50%
29,10357,安徽大学,C+,40%～50%
30,10610,四川大学,C+,40%～50%
31,10651,西南财经大学,C+,40%～50%
32,10673,云南大学,C+,40%～50%
33,10285,苏州大学,C,50%～60%
34,10319,南京师范大学,C,50%～60%
35,10427,济南大学,C,50%～60%
36,10635,西南大学,C,50%～60%
37,10672,贵州民族大学,C,50%～60%
38,10712,西北农林科技大学,C,50%～60%
39,10730,兰州大学,C,50%～60%
40,10166,沈阳师范大学,C-,60%～70%
41,10217,哈尔滨工程大学,C-,60%～70%
42,10418,赣南师范大学,C-,60%～70%
43,10542,湖南师范大学,C-,60%～70%
44,10681,云南师范大学,C-,60%～70%
45,10742,西北民族大学,C-,60%～70%
