序号,学校代码,学校名称,评选结果,排名百分比
1,10001,北京大学,A+,前2%或前2名
2,10697,西北大学,A+,前2%或前2名
3,10183,吉林大学,A-,5%～10%
4,10284,南京大学,B+,10%～20%
5,10422,山东大学,B+,10%～20%
6,10459,郑州大学,B+,10%～20%
7,10610,四川大学,B+,10%～20%
8,10335,浙江大学,B,20%～30%
9,10486,武汉大学,B,20%～30%
10,10558,中山大学,B,20%～30%
11,10002,中国人民大学,B-,30%～40%
12,10028,首都师范大学,B-,30%～40%
13,10055,南开大学,B-,30%～40%
14,10246,复旦大学,B-,30%～40%
15,10094,河北师范大学,C+,40%～50%
16,10384,厦门大学,C+,40%～50%
17,10475,河南大学,C+,40%～50%
18,10637,重庆师范大学,C+,40%～50%
19,10052,中央民族大学,C,50%～60%
20,10319,南京师范大学,C,50%～60%
21,10718,陕西师范大学,C,50%～60%
22,10027,北京师范大学,C-,60%～70%
23,10108,山西大学,C-,60%～70%
24,10357,安徽大学,C-,60%～70%
25,11417,北京联合大学,C-,60%～70%
