序号,学校代码,学校名称,评选结果,排名百分比
1,10002,中国人民大学,A+,前2%或前2名
2,10003,清华大学,A+,前2%或前2名
3,10200,东北师范大学,A+,前2%或前2名
4,10486,武汉大学,A+,前2%或前2名
5,10001,北京大学,A,2%～5%
6,10183,吉林大学,A,2%～5%
7,10246,复旦大学,A,2%～5%
8,10319,南京师范大学,A,2%～5%
9,10422,山东大学,A,2%～5%
10,10511,华中师范大学,A,2%～5%
11,10558,中山大学,A,2%～5%
12,10027,北京师范大学,A-,5%～10%
13,10028,首都师范大学,A-,5%～10%
14,10055,南开大学,A-,5%～10%
15,10269,华东师范大学,A-,5%～10%
16,10335,浙江大学,A-,5%～10%
17,10394,福建师范大学,A-,5%～10%
18,10414,江西师范大学,A-,5%～10%
19,10533,中南大学,A-,5%～10%
20,10574,华南师范大学,A-,5%～10%
21,10610,四川大学,A-,5%～10%
22,10635,西南大学,A-,5%～10%
23,10698,西安交通大学,A-,5%～10%
24,10004,北京交通大学,B+,10%～20%
25,10034,中央财经大学,B+,10%～20%
26,10065,天津师范大学,B+,10%～20%
27,10140,辽宁大学,B+,10%～20%
28,10231,哈尔滨师范大学,B+,10%～20%
29,10247,同济大学,B+,10%～20%
30,10272,上海财经大学,B+,10%～20%
31,10280,上海大学,B+,10%～20%
32,10284,南京大学,B+,10%～20%
33,10285,苏州大学,B+,10%～20%
34,10294,河海大学,B+,10%～20%
35,10359,合肥工业大学,B+,10%～20%
36,10445,山东师范大学,B+,10%～20%
37,10459,郑州大学,B+,10%～20%
38,10487,华中科技大学,B+,10%～20%
39,10497,武汉理工大学,B+,10%～20%
40,10530,湘潭大学,B+,10%～20%
41,10532,湖南大学,B+,10%～20%
42,10602,广西师范大学,B+,10%～20%
43,10613,西南交通大学,B+,10%～20%
44,10718,陕西师范大学,B+,10%～20%
45,10730,兰州大学,B+,10%～20%
46,90021,南京政治学院,B+,10%～20%
47,10663,贵州师范大学,B,20%～30%
48,10700,西安理工大学,B,20%～30%
49,10755,新疆大学,B,20%～30%
50,10762,新疆师范大学,B,20%～30%
51,11117,扬州大学,B,20%～30%
52,11414,中国石油大学,B,20%～30%
53,10008,北京科技大学,B,20%～30%
54,10053,中国政法大学,B,20%～30%
55,10094,河北师范大学,B,20%～30%
56,10151,大连海事大学,B,20%～30%
57,10212,黑龙江大学,B,20%～30%
58,10217,哈尔滨工程大学,B,20%～30%
59,10248,上海交通大学,B,20%～30%
60,10270,上海师范大学,B,20%～30%
61,10287,南京航空航天大学,B,20%～30%
62,10345,浙江师范大学,B,20%～30%
63,10370,安徽师范大学,B,20%～30%
64,10384,厦门大学,B,20%～30%
65,10475,河南大学,B,20%～30%
66,10491,中国地质大学,B,20%～30%
67,10534,湖南科技大学,B,20%～30%
68,10542,湖南师范大学,B,20%～30%
69,10561,华南理工大学,B,20%～30%
70,10006,北京航空航天大学,B-,30%～40%
71,10075,河北大学,B-,30%～40%
72,10108,山西大学,B-,30%～40%
73,10126,内蒙古大学,B-,30%～40%
74,10165,辽宁师范大学,B-,30%～40%
