序号,学校代码,学校名称,评选结果,排名百分比
1,10019,中国农业大学,A+,前2%或前2名
2,10307,南京农业大学,A+,前2%或前2名
3,10335,浙江大学,A-,5%～10%
4,10504,华中农业大学,A-,5%～10%
5,10434,山东农业大学,B+,10%～20%
6,10537,湖南农业大学,B+,10%～20%
7,10626,四川农业大学,B+,10%～20%
8,10712,西北农林科技大学,B+,10%～20%
9,10157,沈阳农业大学,B,20%～30%
10,10466,河南农业大学,B,20%～30%
11,10564,华南农业大学,B,20%～30%
12,10635,西南大学,B,20%～30%
13,11117,扬州大学,B,20%～30%
14,10086,河北农业大学,B-,30%～40%
15,10193,吉林农业大学,B-,30%～40%
16,10224,东北农业大学,B-,30%～40%
17,10113,山西农业大学,C+,40%～50%
18,10364,安徽农业大学,C+,40%～50%
19,10389,福建农林大学,C+,40%～50%
20,10676,云南农业大学,C+,40%～50%
21,10733,甘肃农业大学,C+,40%～50%
22,10410,江西农业大学,C,50%～60%
23,10593,广西大学,C,50%～60%
24,10743,青海大学,C,50%～60%
25,10759,石河子大学,C,50%～60%
26,10129,内蒙古农业大学,C-,60%～70%
27,10223,黑龙江八一农垦大学,C-,60%～70%
28,10489,长江大学,C-,60%～70%
29,10589,海南大学,C-,60%～70%
