序号,学校代码,学校名称,评选结果,排名百分比
1,10307,南京农业大学,A+,前2%或前2名
2,10335,浙江大学,A+,前2%或前2名
3,10019,中国农业大学,A-,5%～10%
4,10504,华中农业大学,B+,10%～20%
5,10635,西南大学,B+,10%～20%
6,10712,西北农林科技大学,B+,10%～20%
7,10157,沈阳农业大学,B,20%～30%
8,10537,湖南农业大学,B,20%～30%
9,10564,华南农业大学,B,20%～30%
10,10626,四川农业大学,B,20%～30%
11,10193,吉林农业大学,B-,30%～40%
12,10389,福建农林大学,B-,30%～40%
13,10434,山东农业大学,B-,30%～40%
14,10086,河北农业大学,C+,40%～50%
15,10113,山西农业大学,C+,40%～50%
16,10224,东北农业大学,C+,40%～50%
17,10341,浙江农林大学,C+,40%～50%
18,10129,内蒙古农业大学,C,50%～60%
19,10466,河南农业大学,C,50%～60%
20,10676,云南农业大学,C,50%～60%
21,10364,安徽农业大学,C-,60%～70%
22,10435,青岛农业大学,C-,60%～70%
23,11117,扬州大学,C-,60%～70%
