序号,学校代码,学校名称,评选结果,排名百分比
1,10504,华中农业大学,A+,前2%或前2名
2,10335,浙江大学,A+,前2%或前2名
3,10307,南京农业大学,A-,5%～10%
4,10019,中国农业大学,B+,10%～20%
5,10157,沈阳农业大学,B+,10%～20%
6,10434,山东农业大学,B+,10%～20%
7,10537,湖南农业大学,B+,10%～20%
8,10712,西北农林科技大学,B+,10%～20%
9,10248,上海交通大学,B,20%～30%
10,10564,华南农业大学,B,20%～30%
11,10086,河北农业大学,B-,30%～40%
12,10364,安徽农业大学,B-,30%～40%
13,10389,福建农林大学,B-,30%～40%
14,10635,西南大学,B-,30%～40%
15,10020,北京农学院,C+,40%～50%
16,10224,东北农业大学,C+,40%～50%
17,10626,四川农业大学,C+,40%～50%
18,10733,甘肃农业大学,C+,40%～50%
19,10113,山西农业大学,C,50%～60%
20,10589,海南大学,C,50%～60%
21,10759,石河子大学,C,50%～60%
22,10466,河南农业大学,C-,60%～70%
23,10676,云南农业大学,C-,60%～70%
24,10758,新疆农业大学,C-,60%～70%
25,11117,扬州大学,C-,60%～70%
