序号,学校代码,学校名称,评选结果,排名百分比
1,10022,北京林业大学,A+,前2%或前2名
2,10298,南京林业大学,A+,前2%或前2名
3,10712,西北农林科技大学,A-,5%～10%
4,10225,东北林业大学,B+,10%～20%
5,10341,浙江农林大学,B+,10%～20%
6,10389,福建农林大学,B+,10%～20%
7,10538,中南林业科技大学,B,20%～30%
8,10626,四川农业大学,B,20%～30%
9,10677,西南林业大学,B,20%～30%
10,10086,河北农业大学,B-,30%～40%
11,10410,江西农业大学,B-,30%～40%
12,10434,山东农业大学,B-,30%～40%
13,10129,内蒙古农业大学,C+,40%～50%
14,10201,北华大学,C+,40%～50%
15,10564,华南农业大学,C+,40%～50%
16,10364,安徽农业大学,C,50%～60%
17,10466,河南农业大学,C,50%～60%
18,10657,贵州大学,C,50%～60%
19,10157,沈阳农业大学,C-,60%～70%
20,10504,华中农业大学,C-,60%～70%
21,10733,甘肃农业大学,C-,60%～70%
