序号,学校代码,学校名称,评选结果,排名百分比
1,10026,北京中医药大学,A+,前2%或前2名
2,10268,上海中医药大学,A+,前2%或前2名
3,10315,南京中医药大学,A-,5%～10%
4,10063,天津中医药大学,B+,10%～20%
5,10228,黑龙江中医药大学,B+,10%～20%
6,10572,广州中医药大学,B+,10%～20%
7,10633,成都中医药大学,B+,10%～20%
8,10162,辽宁中医药大学,B,20%～30%
9,10344,浙江中医药大学,B,20%～30%
10,10441,山东中医药大学,B,20%～30%
11,10541,湖南中医药大学,B,20%～30%
12,10199,长春中医药大学,B-,30%～40%
13,10369,安徽中医药大学,B-,30%～40%
14,10393,福建中医药大学,B-,30%～40%
15,10025,首都医科大学,C+,40%～50%
16,10412,江西中医药大学,C+,40%～50%
17,10471,河南中医药大学,C+,40%～50%
18,10507,湖北中医药大学,C+,40%～50%
19,10600,广西中医药大学,C+,40%～50%
20,10662,贵阳中医学院,C,50%～60%
21,10716,陕西中医药大学,C,50%～60%
22,10735,甘肃中医药大学,C,50%～60%
23,10384,厦门大学,C-,60%～70%
24,10680,云南中医学院,C-,60%～70%
25,14432,河北中医学院,C-,60%～70%
