序号,学校代码,学校名称,评选结果,排名百分比
1,10228,黑龙江中医药大学,A+,前2%或前2名
2,10268,上海中医药大学,A+,前2%或前2名
3,10063,天津中医药大学,A-,5%～10%
4,10315,南京中医药大学,A-,5%～10%
5,10026,北京中医药大学,B+,10%～20%
6,10316,中国药科大学,B+,10%～20%
7,10412,江西中医药大学,B+,10%～20%
8,10633,成都中医药大学,B+,10%～20%
9,10163,沈阳药科大学,B,20%～30%
10,10344,浙江中医药大学,B,20%～30%
11,10559,暨南大学,B,20%～30%
12,10572,广州中医药大学,B,20%～30%
13,10023,北京协和医学院,B-,30%～40%
14,10162,辽宁中医药大学,B-,30%～40%
15,10199,长春中医药大学,B-,30%～40%
16,10369,安徽中医药大学,B-,30%～40%
17,10507,湖北中医药大学,B-,30%～40%
18,10471,河南中医药大学,C+,40%～50%
19,90030,第二军医大学,C+,40%～50%
20,90032,第四军医大学,C+,40%～50%
21,10441,山东中医药大学,C+,40%～50%
22,10343,温州医科大学,C,50%～60%
23,10662,贵阳中医学院,C,50%～60%
24,10716,陕西中医药大学,C,50%～60%
25,10735,甘肃中医药大学,C,50%～60%
26,10025,首都医科大学,C-,60%～70%
27,10393,福建中医药大学,C-,60%～70%
28,10541,湖南中医药大学,C-,60%～70%
29,10600,广西中医药大学,C-,60%～70%
30,12121,南方医科大学,C-,60%～70%
