序号,学校代码,学校名称,评选结果,排名百分比
1,10026,北京中医药大学,A+,前2%或前2名
2,10268,上海中医药大学,A+,前2%或前2名
3,10246,复旦大学,A-,5%～10%
4,10315,南京中医药大学,A-,5%～10%
5,10572,广州中医药大学,A-,5%～10%
6,10063,天津中医药大学,B+,10%～20%
7,10161,大连医科大学,B+,10%～20%
8,10162,辽宁中医药大学,B+,10%～20%
9,10610,四川大学,B+,10%～20%
10,12121,南方医科大学,B+,10%～20%
11,10001,北京大学,B,20%～30%
12,10228,黑龙江中医药大学,B,20%～30%
13,10393,福建中医药大学,B,20%～30%
14,10487,华中科技大学,B,20%～30%
15,10633,成都中医药大学,B,20%～30%
16,90030,第二军医大学,B,20%～30%
17,10062,天津医科大学,B-,30%～40%
18,10089,河北医科大学,B-,30%～40%
19,10344,浙江中医药大学,B-,30%～40%
20,10541,湖南中医药大学,B-,30%～40%
21,90032,第四军医大学,B-,30%～40%
22,10023,北京协和医学院,C+,40%～50%
23,10248,上海交通大学,C+,40%～50%
24,10316,中国药科大学,C+,40%～50%
25,10369,安徽中医药大学,C+,40%～50%
26,10441,山东中医药大学,C+,40%～50%
27,10559,暨南大学,C+,40%～50%
28,10025,首都医科大学,C,50%～60%
29,10412,江西中医药大学,C,50%～60%
30,10558,中山大学,C,50%～60%
31,10760,新疆医科大学,C,50%～60%
32,14432,河北中医学院,C,50%～60%
33,10507,湖北中医药大学,C-,60%～70%
34,10600,广西中医药大学,C-,60%～70%
35,10698,西安交通大学,C-,60%～70%
36,10716,陕西中医药大学,C-,60%～70%
37,11117,扬州大学,C-,60%～70%
