序号,学校代码,学校名称,评选结果,排名百分比
1,10248,上海交通大学,A+,前2%或前2名
2,10335,浙江大学,A+,前2%或前2名
3,10023,北京协和医学院,A,2%～5%
4,10246,复旦大学,A,2%～5%
5,10001,北京大学,A-,5%～10%
6,10025,首都医科大学,A-,5%～10%
7,10487,华中科技大学,A-,5%～10%
8,10533,中南大学,A-,5%～10%
9,10558,中山大学,A-,5%～10%
10,10610,四川大学,A-,5%～10%
11,10159,中国医科大学,B+,10%～20%
12,10226,哈尔滨医科大学,B+,10%～20%
13,10312,南京医科大学,B+,10%～20%
14,10422,山东大学,B+,10%～20%
15,10631,重庆医科大学,B+,10%～20%
16,90030,第二军医大学,B+,10%～20%
17,90032,第四军医大学,B+,10%～20%
18,10459,郑州大学,B,20%～30%
19,10486,武汉大学,B,20%～30%
20,10698,西安交通大学,B,20%～30%
21,12121,南方医科大学,B,20%～30%
22,10062,天津医科大学,B,20%～30%
23,10161,大连医科大学,B,20%～30%
24,10183,吉林大学,B,20%～30%
25,10247,同济大学,B,20%～30%
26,10055,南开大学,B-,30%～40%
27,10089,河北医科大学,B-,30%～40%
28,10114,山西医科大学,B-,30%～40%
29,10285,苏州大学,B-,30%～40%
30,10343,温州医科大学,B-,30%～40%
31,10366,安徽医科大学,B-,30%～40%
32,10403,南昌大学,B-,30%～40%
33,10570,广州医科大学,B-,30%～40%
34,10678,昆明医科大学,B-,30%～40%
35,10313,徐州医科大学,C+,40%～50%
36,10427,济南大学,C+,40%～50%
37,10559,暨南大学,C+,40%～50%
38,10560,汕头大学,C+,40%～50%
39,10598,广西医科大学,C+,40%～50%
40,10730,兰州大学,C+,40%～50%
41,10752,宁夏医科大学,C+,40%～50%
42,10760,新疆医科大学,C+,40%～50%
43,11065,青岛大学,C+,40%～50%
44,10160,锦州医科大学,C,50%～60%
45,10184,延边大学,C,50%～60%
46,10299,江苏大学,C,50%～60%
47,10304,南通大学,C,50%～60%
48,10384,厦门大学,C,50%～60%
49,10472,新乡医学院,C,50%～60%
50,10571,广东医科大学,C,50%～60%
51,10660,贵州医科大学,C,50%～60%
52,10075,河北大学,C-,60%～70%
53,10132,内蒙古医科大学,C-,60%～70%
54,10344,浙江中医药大学,C-,60%～70%
55,10367,蚌埠医学院,C-,60%～70%
56,10475,河南大学,C-,60%～70%
57,10632,西南医科大学,C-,60%～70%
58,10661,遵义医学院,C-,60%～70%
59,10743,青海大学,C-,60%～70%
60,10759,石河子大学,C-,60%～70%
