序号,学校代码,学校名称,评选结果,排名百分比
1,10312,南京医科大学,A+,前2%或前2名
2,10487,华中科技大学,A+,前2%或前2名
3,10001,北京大学,A-,5%～10%
4,10226,哈尔滨医科大学,A-,5%～10%
5,10246,复旦大学,A-,5%～10%
6,10025,首都医科大学,B+,10%～20%
7,10558,中山大学,B+,10%～20%
8,12121,南方医科大学,B+,10%～20%
9,90030,第二军医大学,B+,10%～20%
10,90032,第四军医大学,B+,10%～20%
11,10023,北京协和医学院,B,20%～30%
12,10159,中国医科大学,B,20%～30%
13,10335,浙江大学,B,20%～30%
14,10366,安徽医科大学,B,20%～30%
15,10422,山东大学,B,20%～30%
16,10610,四川大学,B,20%～30%
17,10062,天津医科大学,B-,30%～40%
18,10183,吉林大学,B-,30%～40%
19,10248,上海交通大学,B-,30%～40%
20,10384,厦门大学,B-,30%～40%
21,10533,中南大学,B-,30%～40%
22,10114,山西医科大学,C+,40%～50%
23,10285,苏州大学,C+,40%～50%
24,10459,郑州大学,C+,40%～50%
25,10486,武汉大学,C+,40%～50%
26,10598,广西医科大学,C+,40%～50%
27,10698,西安交通大学,C+,40%～50%
28,10081,华北理工大学,C,50%～60%
29,10631,重庆医科大学,C,50%～60%
30,10660,贵州医科大学,C,50%～60%
31,10678,昆明医科大学,C,50%～60%
32,10760,新疆医科大学,C,50%～60%
33,10089,河北医科大学,C-,60%～70%
34,10247,同济大学,C-,60%～70%
35,10488,武汉科技大学,C-,60%～70%
36,10570,广州医科大学,C-,60%～70%
37,11065,青岛大学,C-,60%～70%
