序号,学校代码,学校名称,评选结果,排名百分比
1,10001,北京大学,A+,前2%或前2名
2,10610,四川大学,A+,前2%或前2名
3,90032,第四军医大学,A+,前2%或前2名
4,10248,上海交通大学,B+,10%～20%
5,10312,南京医科大学,B+,10%～20%
6,10486,武汉大学,B+,10%～20%
7,10558,中山大学,B+,10%～20%
8,10025,首都医科大学,B,20%～30%
9,10159,中国医科大学,B,20%～30%
10,10335,浙江大学,B,20%～30%
11,10422,山东大学,B,20%～30%
12,10062,天津医科大学,B-,30%～40%
13,10183,吉林大学,B-,30%～40%
14,10226,哈尔滨医科大学,B-,30%～40%
15,10247,同济大学,B-,30%～40%
16,10161,大连医科大学,C+,40%～50%
17,10598,广西医科大学,C+,40%～50%
18,10631,重庆医科大学,C+,40%～50%
19,10698,西安交通大学,C+,40%～50%
20,10366,安徽医科大学,C,50%～60%
21,10487,华中科技大学,C,50%～60%
22,10533,中南大学,C,50%～60%
23,10678,昆明医科大学,C,50%～60%
24,10055,南开大学,C-,60%～70%
25,10089,河北医科大学,C-,60%～70%
26,10343,温州医科大学,C-,60%～70%
27,10730,兰州大学,C-,60%～70%
28,12121,南方医科大学,C-,60%～70%
