序号,学校代码,学校名称,评选结果,排名百分比
1,10001,北京大学,A+,前2%或前2名
2,10023,北京协和医学院,A+,前2%或前2名
3,10246,复旦大学,A,2%～5%
4,10248,上海交通大学,A-,5%～10%
5,10335,浙江大学,A-,5%～10%
6,10558,中山大学,A-,5%～10%
7,90030,第二军医大学,A-,5%～10%
8,10062,天津医科大学,B+,10%～20%
9,10285,苏州大学,B+,10%～20%
10,10312,南京医科大学,B+,10%～20%
11,10422,山东大学,B+,10%～20%
12,10487,华中科技大学,B+,10%～20%
13,10533,中南大学,B+,10%～20%
14,10610,四川大学,B+,10%～20%
15,12121,南方医科大学,B+,10%～20%
16,10025,首都医科大学,B,20%～30%
17,10159,中国医科大学,B,20%～30%
18,10161,大连医科大学,B,20%～30%
19,10183,吉林大学,B,20%～30%
20,10247,同济大学,B,20%～30%
21,10486,武汉大学,B,20%～30%
22,10698,西安交通大学,B,20%～30%
23,90032,第四军医大学,B,20%～30%
24,10055,南开大学,B-,30%～40%
25,10089,河北医科大学,B-,30%～40%
26,10226,哈尔滨医科大学,B-,30%～40%
27,10304,南通大学,B-,30%～40%
28,10459,郑州大学,B-,30%～40%
29,10559,暨南大学,B-,30%～40%
30,10631,重庆医科大学,B-,30%～40%
31,10730,兰州大学,B-,30%～40%
32,10313,徐州医科大学,C+,40%～50%
33,10366,安徽医科大学,C+,40%～50%
34,10384,厦门大学,C+,40%～50%
35,10403,南昌大学,C+,40%～50%
36,10555,南华大学,C+,40%～50%
37,10598,广西医科大学,C+,40%～50%
38,10660,贵州医科大学,C+,40%～50%
39,11065,青岛大学,C+,40%～50%
40,10114,山西医科大学,C,50%～60%
41,10472,新乡医学院,C,50%～60%
42,10560,汕头大学,C,50%～60%
43,10570,广州医科大学,C,50%～60%
44,10678,昆明医科大学,C,50%～60%
45,10752,宁夏医科大学,C,50%～60%
46,10759,石河子大学,C,50%～60%
47,10081,华北理工大学,C-,60%～70%
48,10160,锦州医科大学,C-,60%～70%
49,10299,江苏大学,C-,60%～70%
50,10343,温州医科大学,C-,60%～70%
51,10367,蚌埠医学院,C-,60%～70%
52,10542,湖南师范大学,C-,60%～70%
53,10601,桂林医学院,C-,60%～70%
54,10760,新疆医科大学,C-,60%～70%
