序号,学校代码,学校名称,评选结果,排名百分比
1,10533,中南大学,A+,前2%或前2名
2,90030,第二军医大学,A+,前2%或前2名
3,10023,北京协和医学院,A-,5%～10%
4,10025,首都医科大学,A-,5%～10%
5,10610,四川大学,A-,5%～10%
6,10001,北京大学,B+,10%～20%
7,10248,上海交通大学,B+,10%～20%
8,10312,南京医科大学,B+,10%～20%
9,10315,南京中医药大学,B+,10%～20%
10,10335,浙江大学,B+,10%～20%
11,10422,山东大学,B+,10%～20%
12,10062,天津医科大学,B,20%～30%
13,10226,哈尔滨医科大学,B,20%～30%
14,10246,复旦大学,B,20%～30%
15,10487,华中科技大学,B,20%～30%
16,10558,中山大学,B,20%～30%
17,12121,南方医科大学,B,20%～30%
18,10159,中国医科大学,B-,30%～40%
19,10183,吉林大学,B-,30%～40%
20,10486,武汉大学,B-,30%～40%
21,10631,重庆医科大学,B-,30%～40%
22,10698,西安交通大学,B-,30%～40%
23,90032,第四军医大学,B-,30%～40%
24,10063,天津中医药大学,C+,40%～50%
25,10114,山西医科大学,C+,40%～50%
26,10285,苏州大学,C+,40%～50%
27,10344,浙江中医药大学,C+,40%～50%
28,10366,安徽医科大学,C+,40%～50%
29,10459,郑州大学,C+,40%～50%
30,10598,广西医科大学,C+,40%～50%
31,10081,华北理工大学,C,50%～60%
32,10161,大连医科大学,C,50%～60%
33,10343,温州医科大学,C,50%～60%
34,10570,广州医科大学,C,50%～60%
35,11065,青岛大学,C,50%～60%
36,10184,延边大学,C-,60%～70%
37,10346,杭州师范大学,C-,60%～70%
38,10393,福建中医药大学,C-,60%～70%
39,10403,南昌大学,C-,60%～70%
40,10633,成都中医药大学,C-,60%～70%
41,10760,新疆医科大学,C-,60%～70%
