序号,学校代码,学校名称,评选结果,排名百分比
1,10023,北京协和医学院,A+,前2%或前2名
2,10316,中国药科大学,A+,前2%或前2名
3,10001,北京大学,A,2%～5%
4,10163,沈阳药科大学,A,2%～5%
5,10335,浙江大学,A,2%～5%
6,10246,复旦大学,A-,5%～10%
7,10248,上海交通大学,A-,5%～10%
8,10422,山东大学,A-,5%～10%
9,10558,中山大学,A-,5%～10%
10,10610,四川大学,A-,5%～10%
11,90030,第二军医大学,A-,5%～10%
12,10025,首都医科大学,B+,10%～20%
13,10226,哈尔滨医科大学,B+,10%～20%
14,10251,华东理工大学,B+,10%～20%
15,10285,苏州大学,B+,10%～20%
16,10423,中国海洋大学,B+,10%～20%
17,10486,武汉大学,B+,10%～20%
18,10487,华中科技大学,B+,10%～20%
19,10533,中南大学,B+,10%～20%
20,90032,第四军医大学,B+,10%～20%
21,10055,南开大学,B,20%～30%
22,10062,天津医科大学,B,20%～30%
23,10159,中国医科大学,B,20%～30%
24,10183,吉林大学,B,20%～30%
25,10312,南京医科大学,B,20%～30%
26,10337,浙江工业大学,B,20%～30%
27,10366,安徽医科大学,B,20%～30%
28,10459,郑州大学,B,20%～30%
29,10573,广东药科大学,B,20%～30%
30,10698,西安交通大学,B,20%～30%
31,12121,南方医科大学,B,20%～30%
32,10089,河北医科大学,B-,30%～40%
33,10162,辽宁中医药大学,B-,30%～40%
34,10184,延边大学,B-,30%～40%
35,10228,黑龙江中医药大学,B-,30%～40%
36,10315,南京中医药大学,B-,30%～40%
37,10343,温州医科大学,B-,30%～40%
38,10384,厦门大学,B-,30%～40%
39,10559,暨南大学,B-,30%～40%
40,10631,重庆医科大学,B-,30%～40%
41,10760,新疆医科大学,B-,30%～40%
42,10063,天津中医药大学,C+,40%～50%
43,10161,大连医科大学,C+,40%～50%
44,10291,南京工业大学,C+,40%～50%
45,10295,江南大学,C+,40%～50%
46,10299,江苏大学,C+,40%～50%
47,10313,徐州医科大学,C+,40%～50%
48,10344,浙江中医药大学,C+,40%～50%
49,10541,湖南中医药大学,C+,40%～50%
50,10598,广西医科大学,C+,40%～50%
51,10660,贵州医科大学,C+,40%～50%
52,10730,兰州大学,C+,40%～50%
53,10057,天津科技大学,C,50%～60%
54,10114,山西医科大学,C,50%～60%
55,10403,南昌大学,C,50%～60%
56,10441,山东中医药大学,C,50%～60%
57,10560,汕头大学,C,50%～60%
58,10570,广州医科大学,C,50%～60%
59,10633,成都中医药大学,C,50%～60%
60,10661,遵义医学院,C,50%～60%
61,10678,昆明医科大学,C,50%～60%
62,11066,烟台大学,C,50%～60%
63,10010,北京化工大学,C-,60%～70%
64,10247,同济大学,C-,60%～70%
65,10369,安徽中医药大学,C-,60%～70%
66,10427,济南大学,C-,60%～70%
67,10472,新乡医学院,C-,60%～70%
68,10507,湖北中医药大学,C-,60%～70%
69,10572,广州中医药大学,C-,60%～70%
70,10613,西南交通大学,C-,60%～70%
71,11065,青岛大学,C-,60%～70%
72,11079,成都学院,C-,60%～70%
