序号,学校代码,学校名称,评选结果,排名百分比
1,10335,浙江大学,A+,前2%或前2名
2,10487,华中科技大学,A+,前2%或前2名
3,10056,天津大学,A,2%～5%
4,90002,国防科技大学,A,2%～5%
5,10007,北京理工大学,A-,5%～10%
6,10186,长春理工大学,A-,5%～10%
7,10213,哈尔滨工业大学,A-,5%～10%
8,10614,电子科技大学,A-,5%～10%
9,10003,清华大学,B+,10%～20%
10,10005,北京工业大学,B+,10%～20%
11,10006,北京航空航天大学,B+,10%～20%
12,10055,南开大学,B+,10%～20%
13,10252,上海理工大学,B+,10%～20%
14,10285,苏州大学,B+,10%～20%
15,10288,南京理工大学,B+,10%～20%
16,10293,南京邮电大学,B+,10%～20%
17,10590,深圳大学,B+,10%～20%
18,10004,北京交通大学,B,20%～30%
19,10217,哈尔滨工程大学,B,20%～30%
20,10246,复旦大学,B,20%～30%
21,10284,南京大学,B,20%～30%
22,10286,东南大学,B,20%～30%
23,10610,四川大学,B,20%～30%
24,10701,西安电子科技大学,B,20%～30%
25,10013,北京邮电大学,B-,30%～40%
26,10075,河北大学,B-,30%～40%
27,10356,中国计量大学,B-,30%～40%
28,10358,中国科学技术大学,B-,30%～40%
29,10422,山东大学,B-,30%～40%
30,10558,中山大学,B-,30%～40%
31,10699,西北工业大学,B-,30%～40%
32,10702,西安工业大学,B-,30%～40%
33,10108,山西大学,C+,40%～50%
34,10112,太原理工大学,C+,40%～50%
35,10141,大连理工大学,C+,40%～50%
36,10216,燕山大学,C+,40%～50%
37,10287,南京航空航天大学,C+,40%～50%
38,10394,福建师范大学,C+,40%～50%
39,10559,暨南大学,C+,40%～50%
40,10611,重庆大学,C+,40%～50%
41,10295,江南大学,C,50%～60%
42,10299,江苏大学,C,50%～60%
43,10320,江苏师范大学,C,50%～60%
44,10384,厦门大学,C,50%～60%
45,10385,华侨大学,C,50%～60%
46,10406,南昌航空大学,C,50%～60%
47,10486,武汉大学,C,50%～60%
48,90006,解放军理工大学,C,50%～60%
49,10060,天津理工大学,C-,60%～70%
50,10152,大连工业大学,C-,60%～70%
51,10300,南京信息工程大学,C-,60%～70%
52,10332,苏州科技大学,C-,60%～70%
53,10357,安徽大学,C-,60%～70%
54,10359,合肥工业大学,C-,60%～70%
55,10423,中国海洋大学,C-,60%～70%
56,10681,云南师范大学,C-,60%～70%
57,10697,西北大学,C-,60%～70%
