序号,学校代码,学校名称,评选结果,排名百分比
1,10019,中国农业大学,A+,前2%或前2名
2,10335,浙江大学,A+,前2%或前2名
3,10299,江苏大学,A-,5%～10%
4,10183,吉林大学,B+,10%～20%
5,10224,东北农业大学,B+,10%～20%
6,10564,华南农业大学,B+,10%～20%
7,10712,西北农林科技大学,B+,10%～20%
8,10294,河海大学,B,20%～30%
9,10307,南京农业大学,B,20%～30%
10,10466,河南农业大学,B,20%～30%
11,10504,华中农业大学,B,20%～30%
12,10129,内蒙古农业大学,B-,30%～40%
13,10157,沈阳农业大学,B-,30%～40%
14,10759,石河子大学,B-,30%～40%
15,10223,黑龙江八一农垦大学,C+,40%～50%
16,10433,山东理工大学,C+,40%～50%
17,10635,西南大学,C+,40%～50%
18,10681,云南师范大学,C+,40%～50%
19,10086,河北农业大学,C,50%～60%
20,10435,青岛农业大学,C,50%～60%
21,10733,甘肃农业大学,C,50%～60%
22,11117,扬州大学,C,50%～60%
23,10078,华北水利水电大学,C-,60%～70%
24,10676,云南农业大学,C-,60%～70%
25,10700,西安理工大学,C-,60%～70%
