序号,学校代码,学校名称,评选结果,排名百分比
1,10056,天津大学,A+,前2%或前2名
2,10251,华东理工大学,A+,前2%或前2名
3,10003,清华大学,A,2%～5%
4,10010,北京化工大学,A,2%～5%
5,10141,大连理工大学,A,2%～5%
6,10291,南京工业大学,A,2%～5%
7,10335,浙江大学,A,2%～5%
8,10213,哈尔滨工业大学,A-,5%～10%
9,10288,南京理工大学,A-,5%～10%
10,10337,浙江工业大学,A-,5%～10%
11,10561,华南理工大学,A-,5%～10%
12,10610,四川大学,A-,5%～10%
13,11414,中国石油大学,A-,5%～10%
14,10007,北京理工大学,A-,5%～10%
15,10080,河北工业大学,B+,10%～20%
16,10112,太原理工大学,B+,10%～20%
17,10248,上海交通大学,B+,10%～20%
18,10286,东南大学,B+,10%～20%
19,10290,中国矿业大学,B+,10%～20%
20,10295,江南大学,B+,10%～20%
21,10384,厦门大学,B+,10%～20%
22,10426,青岛科技大学,B+,10%～20%
23,10459,郑州大学,B+,10%～20%
24,10490,武汉工程大学,B+,10%～20%
25,10533,中南大学,B+,10%～20%
26,10611,重庆大学,B+,10%～20%
27,10615,西南石油大学,B+,10%～20%
28,10697,西北大学,B+,10%～20%
29,10698,西安交通大学,B+,10%～20%
30,10005,北京工业大学,B,20%～30%
31,10148,辽宁石油化工大学,B,20%～30%
32,10149,沈阳化工大学,B,20%～30%
33,10216,燕山大学,B,20%～30%
34,10220,东北石油大学,B,20%～30%
35,10285,苏州大学,B,20%～30%
36,10359,合肥工业大学,B,20%～30%
37,10386,福州大学,B,20%～30%
38,10427,济南大学,B,20%～30%
39,10488,武汉科技大学,B,20%～30%
40,10530,湘潭大学,B,20%～30%
41,10532,湖南大学,B,20%～30%
42,10593,广西大学,B,20%～30%
43,10708,陕西科技大学,B,20%～30%
44,11845,广东工业大学,B,20%～30%
45,10108,山西大学,B-,30%～40%
46,10110,中北大学,B-,30%～40%
47,10128,内蒙古工业大学,B-,30%～40%
48,10146,辽宁科技大学,B-,30%～40%
49,10183,吉林大学,B-,30%～40%
50,10190,长春工业大学,B-,30%～40%
51,10217,哈尔滨工程大学,B-,30%～40%
52,10259,上海应用技术大学,B-,30%～40%
53,10292,常州大学,B-,30%～40%
54,10385,华侨大学,B-,30%～40%
55,10403,南昌大学,B-,30%～40%
56,10433,山东理工大学,B-,30%～40%
57,10755,新疆大学,B-,30%～40%
58,10759,石河子大学,B-,30%～40%
59,10011,北京工商大学,C+,40%～50%
60,10057,天津科技大学,C+,40%～50%
61,10058,天津工业大学,C+,40%～50%
62,10060,天津理工大学,C+,40%～50%
63,10082,河北科技大学,C+,40%～50%
64,10142,沈阳工业大学,C+,40%～50%
65,10256,上海电力大学,C+,40%～50%
66,10280,上海大学,C+,40%～50%
67,10299,江苏大学,C+,40%～50%
68,10360,安徽工业大学,C+,40%～50%
69,10422,山东大学,C+,40%～50%
70,10462,郑州轻工业学院,C+,40%～50%
71,10497,武汉理工大学,C+,40%～50%
72,10589,海南大学,C+,40%～50%
73,10081,华北理工大学,C,50%～60%
74,10188,东北电力大学,C,50%～60%
75,10255,东华大学,C,50%～60%
76,10298,南京林业大学,C,50%～60%
77,10361,安徽理工大学,C,50%～60%
78,10423,中国海洋大学,C,50%～60%
79,10424,山东科技大学,C,50%～60%
80,10558,中山大学,C,50%～60%
81,10657,贵州大学,C,50%～60%
82,10674,昆明理工大学,C,50%～60%
83,10705,西安石油大学,C,50%～60%
84,10730,兰州大学,C,50%～60%
85,10731,兰州理工大学,C,50%～60%
86,11072,江汉大学,C,50%～60%
87,10008,北京科技大学,C-,60%～70%
88,10145,东北大学,C-,60%～70%
89,10152,大连工业大学,C-,60%～70%
90,10166,沈阳师范大学,C-,60%～70%
91,10212,黑龙江大学,C-,60%～70%
92,10214,哈尔滨理工大学,C-,60%～70%
93,10270,上海师范大学,C-,60%～70%
94,10431,齐鲁工业大学,C-,60%～70%
95,10475,河南大学,C-,60%～70%
96,10564,华南农业大学,C-,60%～70%
97,10614,电子科技大学,C-,60%～70%
98,10616,成都理工大学,C-,60%～70%
99,10622,四川理工学院,C-,60%～70%
100,10712,西北农林科技大学,C-,60%～70%
101,10732,兰州交通大学,C-,60%～70%
102,11065,青岛大学,C-,60%～70%
