序号,学校代码,学校名称,评选结果,排名百分比
1,10491,中国地质大学,A+,前2%或前2名
2,11414,中国石油大学,A+,前2%或前2名
3,10290,中国矿业大学,A-,5%～10%
4,10183,吉林大学,B+,10%～20%
5,10533,中南大学,B+,10%～20%
6,10616,成都理工大学,B+,10%～20%
7,10710,长安大学,B+,10%～20%
8,10247,同济大学,B,20%～30%
9,10284,南京大学,B,20%～30%
10,10615,西南石油大学,B,20%～30%
11,10697,西北大学,B,20%～30%
12,10220,东北石油大学,B-,30%～40%
13,10294,河海大学,B-,30%～40%
14,10424,山东科技大学,B-,30%～40%
15,10489,长江大学,B-,30%～40%
16,10078,华北水利水电大学,C+,40%～50%
17,10460,河南理工大学,C+,40%～50%
18,10613,西南交通大学,C+,40%～50%
19,10704,西安科技大学,C+,40%～50%
20,10405,东华理工大学,C,50%～60%
21,10596,桂林理工大学,C,50%～60%
22,10674,昆明理工大学,C,50%～60%
23,10112,太原理工大学,C-,60%～70%
24,10145,东北大学,C-,60%～70%
25,10361,安徽理工大学,C-,60%～70%
26,10423,中国海洋大学,C-,60%～70%
