序号,学校代码,学校名称,评选结果,排名百分比
1,10003,清华大学,A+,前2%或前2名
2,10247,同济大学,A+,前2%或前2名
3,10056,天津大学,A-,5%～10%
4,10213,哈尔滨工业大学,A-,5%～10%
5,10286,东南大学,A-,5%～10%
6,10284,南京大学,B+,10%～20%
7,10487,华中科技大学,B+,10%～20%
8,10561,华南理工大学,B+,10%～20%
9,10611,重庆大学,B+,10%～20%
10,10703,西安建筑科技大学,B+,10%～20%
11,10141,大连理工大学,B,20%～30%
12,10153,沈阳建筑大学,B,20%～30%
13,10332,苏州科技大学,B,20%～30%
14,10486,武汉大学,B,20%～30%
15,10532,湖南大学,B,20%～30%
16,10016,北京建筑大学,B-,30%～40%
17,10430,山东建筑大学,B-,30%～40%
18,10590,深圳大学,B-,30%～40%
19,10710,长安大学,B-,30%～40%
20,10878,安徽建筑大学,B-,30%～40%
21,10291,南京工业大学,C+,40%～50%
22,10359,合肥工业大学,C+,40%～50%
23,10610,四川大学,C+,40%～50%
24,10613,西南交通大学,C+,40%～50%
25,10697,西北大学,C+,40%～50%
26,10004,北京交通大学,C,50%～60%
27,10005,北京工业大学,C,50%～60%
28,10290,中国矿业大学,C,50%～60%
29,10386,福州大学,C,50%～60%
30,10792,天津城建大学,C,50%～60%
31,10022,北京林业大学,C-,60%～70%
32,10191,吉林建筑大学,C-,60%～70%
33,10459,郑州大学,C-,60%～70%
34,10497,武汉理工大学,C-,60%～70%
35,10674,昆明理工大学,C-,60%～70%
