序号,学校代码,学校名称,评选结果,排名百分比
1,10290,中国矿业大学,A+,前2%或前2名
2,10358,中国科学技术大学,A+,前2%或前2名
3,10460,河南理工大学,A-,5%～10%
4,10533,中南大学,A-,5%～10%
5,10704,西安科技大学,A-,5%～10%
6,10003,清华大学,B+,10%～20%
7,10007,北京理工大学,B+,10%～20%
8,10008,北京科技大学,B+,10%～20%
9,10291,南京工业大学,B+,10%～20%
10,11414,中国石油大学,B+,10%～20%
11,10147,辽宁工程技术大学,B,20%～30%
12,10361,安徽理工大学,B,20%～30%
13,10424,山东科技大学,B,20%～30%
14,10491,中国地质大学,B,20%～30%
15,10611,重庆大学,B,20%～30%
16,10004,北京交通大学,B-,30%～40%
17,10112,太原理工大学,B-,30%～40%
18,10145,东北大学,B-,30%～40%
19,10488,武汉科技大学,B-,30%～40%
20,10497,武汉理工大学,B-,30%～40%
21,10010,北京化工大学,C+,40%～50%
22,10059,中国民航大学,C+,40%～50%
23,10288,南京理工大学,C+,40%～50%
24,10534,湖南科技大学,C+,40%～50%
25,10555,南华大学,C+,40%～50%
26,10561,华南理工大学,C+,40%～50%
27,10110,中北大学,C,50%～60%
28,10141,大连理工大学,C,50%～60%
29,10143,沈阳航空航天大学,C,50%～60%
30,10219,黑龙江科技大学,C,50%～60%
31,10251,华东理工大学,C,50%～60%
32,10148,辽宁石油化工大学,C-,60%～70%
33,10292,常州大学,C-,60%～70%
34,10426,青岛科技大学,C-,60%～70%
35,10459,郑州大学,C-,60%～70%
36,10674,昆明理工大学,C-,60%～70%
