序号,学校代码,学校名称,评选结果,排名百分比
1,10003,清华大学,A+,前2%或前2名
2,10286,东南大学,A+,前2%或前2名
3,10056,天津大学,A-,5%～10%
4,10247,同济大学,A-,5%～10%
5,10561,华南理工大学,A-,5%～10%
6,10213,哈尔滨工业大学,B+,10%～20%
7,10335,浙江大学,B+,10%～20%
8,10487,华中科技大学,B+,10%～20%
9,10611,重庆大学,B+,10%～20%
10,10703,西安建筑科技大学,B+,10%～20%
11,10016,北京建筑大学,B,20%～30%
12,10141,大连理工大学,B,20%～30%
13,10153,沈阳建筑大学,B,20%～30%
14,10284,南京大学,B,20%～30%
15,10486,武汉大学,B,20%～30%
16,10532,湖南大学,B,20%～30%
17,10005,北京工业大学,B-,30%～40%
18,10359,合肥工业大学,B-,30%～40%
19,10430,山东建筑大学,B-,30%～40%
20,10590,深圳大学,B-,30%～40%
21,10613,西南交通大学,B-,30%～40%
22,10047,中央美术学院,C+,40%～50%
23,10248,上海交通大学,C+,40%～50%
24,10384,厦门大学,C+,40%～50%
25,10385,华侨大学,C+,40%～50%
26,10429,青岛理工大学,C+,40%～50%
27,10674,昆明理工大学,C+,40%～50%
28,10878,安徽建筑大学,C+,40%～50%
29,10004,北京交通大学,C,50%～60%
30,10191,吉林建筑大学,C,50%～60%
31,10291,南京工业大学,C,50%～60%
32,10386,福州大学,C,50%～60%
33,10128,内蒙古工业大学,C-,60%～70%
34,10332,苏州科技大学,C-,60%～70%
35,10459,郑州大学,C-,60%～70%
36,10698,西安交通大学,C-,60%～70%
37,10710,长安大学,C-,60%～70%
