序号,学校代码,学校名称,评选结果,排名百分比
1,10003,清华大学,A+,前2%或前2名
2,10213,哈尔滨工业大学,A+,前2%或前2名
3,10335,浙江大学,A+,前2%或前2名
4,10006,北京航空航天大学,A,2%～5%
5,10007,北京理工大学,A,2%～5%
6,10145,东北大学,A,2%～5%
7,10248,上海交通大学,A,2%～5%
8,90002,国防科技大学,A,2%～5%
9,10217,哈尔滨工程大学,A-,5%～10%
10,10286,东南大学,A-,5%～10%
11,10422,山东大学,A-,5%～10%
12,10487,华中科技大学,A-,5%～10%
13,10533,中南大学,A-,5%～10%
14,10698,西安交通大学,A-,5%～10%
15,11845,广东工业大学,A-,5%～10%
16,90059,火箭军工程大学,A-,5%～10%
17,10005,北京工业大学,B+,10%～20%
18,10008,北京科技大学,B+,10%～20%
19,10010,北京化工大学,B+,10%～20%
20,10056,天津大学,B+,10%～20%
21,10141,大连理工大学,B+,10%～20%
22,10247,同济大学,B+,10%～20%
23,10251,华东理工大学,B+,10%～20%
24,10287,南京航空航天大学,B+,10%～20%
25,10288,南京理工大学,B+,10%～20%
26,10295,江南大学,B+,10%～20%
27,10336,杭州电子科技大学,B+,10%～20%
28,10358,中国科学技术大学,B+,10%～20%
29,10561,华南理工大学,B+,10%～20%
30,10699,西北工业大学,B+,10%～20%
31,10700,西安理工大学,B+,10%～20%
32,10701,西安电子科技大学,B+,10%～20%
33,10055,南开大学,B,20%～30%
34,10079,华北电力大学,B,20%～30%
35,10183,吉林大学,B,20%～30%
36,10216,燕山大学,B,20%～30%
37,10255,东华大学,B,20%～30%
38,10280,上海大学,B,20%～30%
39,10299,江苏大学,B,20%～30%
40,10337,浙江工业大学,B,20%～30%
41,10424,山东科技大学,B,20%～30%
42,10488,武汉科技大学,B,20%～30%
43,10532,湖南大学,B,20%～30%
44,10611,重庆大学,B,20%～30%
45,10614,电子科技大学,B,20%～30%
46,90038,海军工程大学,B,20%～30%
47,90039,海军航空工程学院,B,20%～30%
48,90045,空军工程大学,B,20%～30%
49,10004,北京交通大学,B-,30%～40%
50,10013,北京邮电大学,B-,30%～40%
51,10080,河北工业大学,B-,30%～40%
52,10151,大连海事大学,B-,30%～40%
53,10290,中国矿业大学,B-,30%～40%
54,10356,中国计量大学,B-,30%～40%
55,10359,合肥工业大学,B-,30%～40%
56,10384,厦门大学,B-,30%～40%
57,10404,华东交通大学,B-,30%～40%
58,10464,河南科技大学,B-,30%～40%
59,10486,武汉大学,B-,30%～40%
60,10613,西南交通大学,B-,30%～40%
61,10617,重庆邮电大学,B-,30%～40%
62,10731,兰州理工大学,B-,30%～40%
63,11414,中国石油大学,B-,30%～40%
64,90005,解放军信息工程大学,B-,30%～40%
65,10009,北方工业大学,C+,40%～50%
66,10058,天津工业大学,C+,40%～50%
67,10059,中国民航大学,C+,40%～50%
68,10060,天津理工大学,C+,40%～50%
69,10108,山西大学,C+,40%～50%
70,10148,辽宁石油化工大学,C+,40%～50%
71,10154,辽宁工业大学,C+,40%～50%
72,10188,东北电力大学,C+,40%～50%
73,10214,哈尔滨理工大学,C+,40%～50%
74,10252,上海理工大学,C+,40%～50%
75,10291,南京工业大学,C+,40%～50%
76,10293,南京邮电大学,C+,40%～50%
77,10357,安徽大学,C+,40%～50%
78,10363,安徽工程大学,C+,40%～50%
79,10459,郑州大学,C+,40%～50%
80,10491,中国地质大学,C+,40%～50%
81,10497,武汉理工大学,C+,40%～50%
82,10619,西南科技大学,C+,40%～50%
83,10016,北京建筑大学,C,50%～60%
84,10146,辽宁科技大学,C,50%～60%
85,10152,大连工业大学,C,50%～60%
86,10167,渤海大学,C,50%～60%
87,10190,长春工业大学,C,50%～60%
88,10284,南京大学,C,50%～60%
89,10289,江苏科技大学,C,50%～60%
90,10294,河海大学,C,50%～60%
91,10426,青岛科技大学,C,50%～60%
92,10427,济南大学,C,50%～60%
93,10446,曲阜师范大学,C,50%～60%
94,10460,河南理工大学,C,50%～60%
95,10610,四川大学,C,50%～60%
96,10709,西安工程大学,C,50%～60%
97,11065,青岛大学,C,50%～60%
98,10011,北京工商大学,C-,60%～70%
99,10066,天津职业技术师范大学,C-,60%～70%
100,10109,太原科技大学,C-,60%～70%
101,10112,太原理工大学,C-,60%～70%
102,10143,沈阳航空航天大学,C-,60%～70%
103,10149,沈阳化工大学,C-,60%～70%
104,10186,长春理工大学,C-,60%～70%
105,10212,黑龙江大学,C-,60%～70%
106,10304,南通大学,C-,60%～70%
107,10338,浙江理工大学,C-,60%～70%
108,10423,中国海洋大学,C-,60%～70%
109,10430,山东建筑大学,C-,60%～70%
110,10534,湖南科技大学,C-,60%～70%
111,10590,深圳大学,C-,60%～70%
112,10674,昆明理工大学,C-,60%～70%
113,10702,西安工业大学,C-,60%～70%
114,10708,陕西科技大学,C-,60%～70%
115,11232,北京信息科技大学,C-,60%～70%
