序号,学校代码,学校名称,评选结果,排名百分比
1,10003,清华大学,A+,前2%或前2名
2,10213,哈尔滨工业大学,A+,前2%或前2名
3,10248,上海交通大学,A+,前2%或前2名
4,10487,华中科技大学,A+,前2%或前2名
5,10007,北京理工大学,A,2%～5%
6,10056,天津大学,A,2%～5%
7,10141,大连理工大学,A,2%～5%
8,10335,浙江大学,A,2%～5%
9,10698,西安交通大学,A,2%～5%
10,10006,北京航空航天大学,A-,5%～10%
11,10183,吉林大学,A-,5%～10%
12,10216,燕山大学,A-,5%～10%
13,10247,同济大学,A-,5%～10%
14,10287,南京航空航天大学,A-,5%～10%
15,10532,湖南大学,A-,5%～10%
16,10533,中南大学,A-,5%～10%
17,10561,华南理工大学,A-,5%～10%
18,10611,重庆大学,A-,5%～10%
19,90002,国防科技大学,A-,5%～10%
20,10004,北京交通大学,B+,10%～20%
21,10005,北京工业大学,B+,10%～20%
22,10008,北京科技大学,B+,10%～20%
23,10112,太原理工大学,B+,10%～20%
24,10145,东北大学,B+,10%～20%
25,10280,上海大学,B+,10%～20%
26,10286,东南大学,B+,10%～20%
27,10288,南京理工大学,B+,10%～20%
28,10290,中国矿业大学,B+,10%～20%
29,10299,江苏大学,B+,10%～20%
30,10337,浙江工业大学,B+,10%～20%
31,10359,合肥工业大学,B+,10%～20%
32,10422,山东大学,B+,10%～20%
33,10497,武汉理工大学,B+,10%～20%
34,10613,西南交通大学,B+,10%～20%
35,10699,西北工业大学,B+,10%～20%
36,10701,西安电子科技大学,B+,10%～20%
37,11845,广东工业大学,B+,10%～20%
38,10019,中国农业大学,B,20%～30%
39,10080,河北工业大学,B,20%～30%
40,10109,太原科技大学,B,20%～30%
41,10150,大连交通大学,B,20%～30%
42,10153,沈阳建筑大学,B,20%～30%
43,10186,长春理工大学,B,20%～30%
44,10214,哈尔滨理工大学,B,20%～30%
45,10217,哈尔滨工程大学,B,20%～30%
46,10251,华东理工大学,B,20%～30%
47,10252,上海理工大学,B,20%～30%
48,10255,东华大学,B,20%～30%
49,10338,浙江理工大学,B,20%～30%
50,10386,福州大学,B,20%～30%
51,10486,武汉大学,B,20%～30%
52,10488,武汉科技大学,B,20%～30%
53,10610,四川大学,B,20%～30%
54,10614,电子科技大学,B,20%～30%
55,10615,西南石油大学,B,20%～30%
56,10700,西安理工大学,B,20%～30%
57,11414,中国石油大学,B,20%～30%
58,90006,解放军理工大学,B,20%～30%
59,10010,北京化工大学,B-,30%～40%
60,10110,中北大学,B-,30%～40%
61,10142,沈阳工业大学,B-,30%～40%
62,10190,长春工业大学,B-,30%～40%
63,10384,厦门大学,B-,30%～40%
64,10385,华侨大学,B-,30%～40%
65,10403,南昌大学,B-,30%～40%
66,10424,山东科技大学,B-,30%～40%
67,10433,山东理工大学,B-,30%～40%
68,10464,河南科技大学,B-,30%～40%
69,10534,湖南科技大学,B-,30%～40%
70,10595,桂林电子科技大学,B-,30%～40%
71,10657,贵州大学,B-,30%～40%
72,10674,昆明理工大学,B-,30%～40%
73,10710,长安大学,B-,30%～40%
74,10731,兰州理工大学,B-,30%～40%
75,10732,兰州交通大学,B-,30%～40%
76,10013,北京邮电大学,C+,40%～50%
77,10022,北京林业大学,C+,40%～50%
78,10058,天津工业大学,C+,40%～50%
79,10144,沈阳理工大学,C+,40%～50%
80,10147,辽宁工程技术大学,C+,40%～50%
81,10225,东北林业大学,C+,40%～50%
82,10295,江南大学,C+,40%～50%
83,10298,南京林业大学,C+,40%～50%
84,10336,杭州电子科技大学,C+,40%～50%
85,10426,青岛科技大学,C+,40%～50%
86,10429,青岛理工大学,C+,40%～50%
87,10460,河南理工大学,C+,40%～50%
88,10702,西安工业大学,C+,40%～50%
89,10703,西安建筑科技大学,C+,40%～50%
90,10704,西安科技大学,C+,40%～50%
91,10755,新疆大学,C+,40%～50%
92,10856,上海工程技术大学,C+,40%～50%
93,11660,重庆理工大学,C+,40%～50%
94,90059,火箭军工程大学,C+,40%～50%
95,10009,北方工业大学,C,50%～60%
96,10057,天津科技大学,C,50%～60%
97,10079,华北电力大学,C,50%～60%
98,10107,石家庄铁道大学,C,50%～60%
99,10143,沈阳航空航天大学,C,50%～60%
100,10146,辽宁科技大学,C,50%～60%
101,10220,东北石油大学,C,50%～60%
102,10285,苏州大学,C,50%～60%
103,10294,河海大学,C,50%～60%
104,10304,南通大学,C,50%～60%
105,10360,安徽工业大学,C,50%～60%
106,10361,安徽理工大学,C,50%～60%
107,10459,郑州大学,C,50%～60%
108,10462,郑州轻工业学院,C,50%～60%
109,10491,中国地质大学,C,50%～60%
110,10495,武汉纺织大学,C,50%～60%
111,10500,湖北工业大学,C,50%～60%
112,10530,湘潭大学,C,50%～60%
113,10536,长沙理工大学,C,50%～60%
114,10593,广西大学,C,50%～60%
115,11232,北京信息科技大学,C,50%～60%
116,10151,大连海事大学,C-,60%～70%
117,10254,上海海事大学,C-,60%～70%
118,10259,上海应用技术大学,C-,60%～70%
119,10289,江苏科技大学,C-,60%～70%
120,10291,南京工业大学,C-,60%～70%
121,10292,常州大学,C-,60%～70%
122,10427,济南大学,C-,60%～70%
123,10430,山东建筑大学,C-,60%～70%
124,10431,齐鲁工业大学,C-,60%～70%
125,10590,深圳大学,C-,60%～70%
126,10618,重庆交通大学,C-,60%～70%
127,10623,西华大学,C-,60%～70%
128,10708,陕西科技大学,C-,60%～70%
129,11065,青岛大学,C-,60%～70%
130,11078,广州大学,C-,60%～70%
131,10066,天津职业技术师范大学,C-,60%～70%
132,10081,华北理工大学,C-,60%～70%
