序号,学校代码,学校名称,评选结果,排名百分比
1,10003,清华大学,A+,前2%或前2名
2,10006,北京航空航天大学,A+,前2%或前2名
3,10497,武汉理工大学,A+,前2%或前2名
4,10008,北京科技大学,A,2%～5%
5,10213,哈尔滨工业大学,A,2%～5%
6,10248,上海交通大学,A,2%～5%
7,10335,浙江大学,A,2%～5%
8,10699,西北工业大学,A,2%～5%
9,10007,北京理工大学,A-,5%～10%
10,10010,北京化工大学,A-,5%～10%
11,10056,天津大学,A-,5%～10%
12,10145,东北大学,A-,5%～10%
13,10358,中国科学技术大学,A-,5%～10%
14,10533,中南大学,A-,5%～10%
15,10561,华南理工大学,A-,5%～10%
16,10610,四川大学,A-,5%～10%
17,10698,西安交通大学,A-,5%～10%
18,10005,北京工业大学,B+,10%～20%
19,10141,大连理工大学,B+,10%～20%
20,10183,吉林大学,B+,10%～20%
21,10216,燕山大学,B+,10%～20%
22,10246,复旦大学,B+,10%～20%
23,10247,同济大学,B+,10%～20%
24,10251,华东理工大学,B+,10%～20%
25,10255,东华大学,B+,10%～20%
26,10280,上海大学,B+,10%～20%
27,10284,南京大学,B+,10%～20%
28,10285,苏州大学,B+,10%～20%
29,10291,南京工业大学,B+,10%～20%
30,10422,山东大学,B+,10%～20%
31,10459,郑州大学,B+,10%～20%
32,10487,华中科技大学,B+,10%～20%
33,10611,重庆大学,B+,10%～20%
34,90002,国防科技大学,B+,10%～20%
35,10055,南开大学,B,20%～30%
36,10080,河北工业大学,B,20%～30%
37,10217,哈尔滨工程大学,B,20%～30%
38,10286,东南大学,B,20%～30%
39,10287,南京航空航天大学,B,20%～30%
40,10288,南京理工大学,B,20%～30%
41,10299,江苏大学,B,20%～30%
42,10359,合肥工业大学,B,20%～30%
43,10384,厦门大学,B,20%～30%
44,10488,武汉科技大学,B,20%～30%
45,10530,湘潭大学,B,20%～30%
46,10532,湖南大学,B,20%～30%
47,10558,中山大学,B,20%～30%
48,10613,西南交通大学,B,20%～30%
49,10614,电子科技大学,B,20%～30%
50,10674,昆明理工大学,B,20%～30%
51,10700,西安理工大学,B,20%～30%
52,10703,西安建筑科技大学,B,20%～30%
53,10058,天津工业大学,B-,30%～40%
54,10060,天津理工大学,B-,30%～40%
55,10110,中北大学,B-,30%～40%
56,10112,太原理工大学,B-,30%～40%
57,10142,沈阳工业大学,B-,30%～40%
58,10289,江苏科技大学,B-,30%～40%
59,10403,南昌大学,B-,30%～40%
60,10426,青岛科技大学,B-,30%～40%
61,10427,济南大学,B-,30%～40%
62,10464,河南科技大学,B-,30%～40%
63,10486,武汉大学,B-,30%～40%
64,10491,中国地质大学,B-,30%～40%
65,10708,陕西科技大学,B-,30%～40%
66,10731,兰州理工大学,B-,30%～40%
67,11414,中国石油大学,B-,30%～40%
68,11845,广东工业大学,B-,30%～40%
69,10109,太原科技大学,C+,40%～50%
70,10150,大连交通大学,C+,40%～50%
71,10186,长春理工大学,C+,40%～50%
72,10190,长春工业大学,C+,40%～50%
73,10214,哈尔滨理工大学,C+,40%～50%
74,10337,浙江工业大学,C+,40%～50%
75,10360,安徽工业大学,C+,40%～50%
76,10385,华侨大学,C+,40%～50%
77,10386,福州大学,C+,40%～50%
78,10408,景德镇陶瓷大学,C+,40%～50%
79,10490,武汉工程大学,C+,40%～50%
80,10512,湖北大学,C+,40%～50%
81,10619,西南科技大学,C+,40%～50%
82,10657,贵州大学,C+,40%～50%
83,10701,西安电子科技大学,C+,40%～50%
84,10702,西安工业大学,C+,40%～50%
85,10730,兰州大学,C+,40%～50%
86,11065,青岛大学,C+,40%～50%
87,10004,北京交通大学,C,50%～60%
88,10079,华北电力大学,C,50%～60%
89,10128,内蒙古工业大学,C,50%～60%
90,10222,佳木斯大学,C,50%～60%
91,10290,中国矿业大学,C,50%～60%
92,10292,常州大学,C,50%～60%
93,10294,河海大学,C,50%～60%
94,10295,江南大学,C,50%～60%
95,10338,浙江理工大学,C,50%～60%
96,10356,中国计量大学,C,50%～60%
97,10357,安徽大学,C,50%～60%
98,10406,南昌航空大学,C,50%～60%
99,10423,中国海洋大学,C,50%～60%
100,10589,海南大学,C,50%～60%
101,10590,深圳大学,C,50%～60%
102,10595,桂林电子科技大学,C,50%～60%
103,10596,桂林理工大学,C,50%～60%
104,10615,西南石油大学,C,50%～60%
105,10015,北京印刷学院,C-,60%～70%
106,10081,华北理工大学,C-,60%～70%
107,10144,沈阳理工大学,C-,60%～70%
108,10146,辽宁科技大学,C-,60%～70%
109,10149,沈阳化工大学,C-,60%～70%
110,10153,沈阳建筑大学,C-,60%～70%
111,10407,江西理工大学,C-,60%～70%
112,10424,山东科技大学,C-,60%～70%
113,10460,河南理工大学,C-,60%～70%
114,10500,湖北工业大学,C-,60%～70%
115,10559,暨南大学,C-,60%～70%
116,10593,广西大学,C-,60%～70%
117,10710,长安大学,C-,60%～70%
118,10856,上海工程技术大学,C-,60%～70%
119,10878,安徽建筑大学,C-,60%～70%
120,11035,沈阳大学,C-,60%～70%
121,11660,重庆理工大学,C-,60%～70%
122,90038,海军工程大学,C-,60%～70%
