序号,学校代码,学校名称,评选结果,排名百分比
1,10486,武汉大学,A+,前2%或前2名
2,90005,解放军信息工程大学,A+,前2%或前2名
3,10290,中国矿业大学,A-,5%～10%
4,10001,北京大学,B+,10%～20%
5,10247,同济大学,B+,10%～20%
6,10533,中南大学,B+,10%～20%
7,10424,山东科技大学,B,20%～30%
8,10491,中国地质大学,B,20%～30%
9,10613,西南交通大学,B,20%～30%
10,10710,长安大学,B,20%～30%
11,10147,辽宁工程技术大学,B-,30%～40%
12,10294,河海大学,B-,30%～40%
13,10460,河南理工大学,B-,30%～40%
14,10016,北京建筑大学,C+,40%～50%
15,10027,北京师范大学,C+,40%～50%
16,10286,东南大学,C+,40%～50%
17,10704,西安科技大学,C+,40%～50%
18,10145,东北大学,C,50%～60%
19,10405,东华理工大学,C,50%～60%
20,11414,中国石油大学,C,50%～60%
21,10407,江西理工大学,C-,60%～70%
22,10596,桂林理工大学,C-,60%～70%
23,10674,昆明理工大学,C-,60%～70%
