序号,学校代码,学校名称,评选结果,排名百分比
1,10003,清华大学,A+,前2%或前2名
2,10213,哈尔滨工业大学,A+,前2%或前2名
3,10247,同济大学,A+,前2%或前2名
4,10001,北京大学,A,2%～5%
5,10027,北京师范大学,A,2%～5%
6,10284,南京大学,A,2%～5%
7,10335,浙江大学,A,2%～5%
8,10005,北京工业大学,A-,5%～10%
9,10055,南开大学,A-,5%～10%
10,10056,天津大学,A-,5%～10%
11,10141,大连理工大学,A-,5%～10%
12,10248,上海交通大学,A-,5%～10%
13,10294,河海大学,A-,5%～10%
14,10358,中国科学技术大学,A-,5%～10%
15,10561,华南理工大学,A-,5%～10%
16,10008,北京科技大学,B+,10%～20%
17,10246,复旦大学,B+,10%～20%
18,10251,华东理工大学,B+,10%～20%
19,10286,东南大学,B+,10%～20%
20,10384,厦门大学,B+,10%～20%
21,10422,山东大学,B+,10%～20%
22,10423,中国海洋大学,B+,10%～20%
23,10486,武汉大学,B+,10%～20%
24,10487,华中科技大学,B+,10%～20%
25,10491,中国地质大学,B+,10%～20%
26,10532,湖南大学,B+,10%～20%
27,10558,中山大学,B+,10%～20%
28,10610,四川大学,B+,10%～20%
29,10611,重庆大学,B+,10%～20%
30,10674,昆明理工大学,B+,10%～20%
31,10703,西安建筑科技大学,B+,10%～20%
32,10010,北京化工大学,B,20%～30%
33,10019,中国农业大学,B,20%～30%
34,10108,山西大学,B,20%～30%
35,10151,大连海事大学,B,20%～30%
36,10183,吉林大学,B,20%～30%
37,10255,东华大学,B,20%～30%
38,10269,华东师范大学,B,20%～30%
39,10280,上海大学,B,20%～30%
40,10288,南京理工大学,B,20%～30%
41,10290,中国矿业大学,B,20%～30%
42,10299,江苏大学,B,20%～30%
43,10337,浙江工业大学,B,20%～30%
44,10497,武汉理工大学,B,20%～30%
45,10596,桂林理工大学,B,20%～30%
46,10732,兰州交通大学,B,20%～30%
47,10006,北京航空航天大学,B-,30%～40%
48,10022,北京林业大学,B-,30%～40%
49,10079,华北电力大学,B-,30%～40%
50,10112,太原理工大学,B-,30%～40%
51,10270,上海师范大学,B-,30%～40%
52,10295,江南大学,B-,30%～40%
53,10300,南京信息工程大学,B-,30%～40%
54,10403,南昌大学,B-,30%～40%
55,10406,南昌航空大学,B-,30%～40%
56,10476,河南师范大学,B-,30%～40%
57,10533,中南大学,B-,30%～40%
58,10619,西南科技大学,B-,30%～40%
59,10698,西安交通大学,B-,30%～40%
60,10700,西安理工大学,B-,30%～40%
61,10710,长安大学,B-,30%～40%
62,10712,西北农林科技大学,B-,30%～40%
63,11414,中国石油大学,B-,30%～40%
64,10002,中国人民大学,C+,40%～50%
65,10016,北京建筑大学,C+,40%～50%
66,10058,天津工业大学,C+,40%～50%
67,10145,东北大学,C+,40%～50%
68,10291,南京工业大学,C+,40%～50%
69,10307,南京农业大学,C+,40%～50%
70,10332,苏州科技大学,C+,40%～50%
71,10359,合肥工业大学,C+,40%～50%
72,10361,安徽理工大学,C+,40%～50%
73,10427,济南大学,C+,40%～50%
74,10559,暨南大学,C+,40%～50%
75,10730,兰州大学,C+,40%～50%
76,11799,重庆工商大学,C+,40%～50%
77,11845,广东工业大学,C+,40%～50%
78,10004,北京交通大学,C,50%～60%
79,10011,北京工商大学,C,50%～60%
80,10082,河北科技大学,C,50%～60%
81,10252,上海理工大学,C,50%～60%
82,10292,常州大学,C,50%～60%
83,10298,南京林业大学,C,50%～60%
84,10353,浙江工商大学,C,50%～60%
85,10386,福州大学,C,50%～60%
86,10429,青岛理工大学,C,50%～60%
87,10459,郑州大学,C,50%～60%
88,10495,武汉纺织大学,C,50%～60%
89,10504,华中农业大学,C,50%～60%
90,10530,湘潭大学,C,50%～60%
91,10593,广西大学,C,50%～60%
92,10613,西南交通大学,C,50%～60%
93,11035,沈阳大学,C,50%～60%
94,10057,天津科技大学,C-,60%～70%
95,10126,内蒙古大学,C-,60%～70%
96,10150,大连交通大学,C-,60%～70%
97,10191,吉林建筑大学,C-,60%～70%
98,10216,燕山大学,C-,60%～70%
99,10240,哈尔滨商业大学,C-,60%～70%
100,10264,上海海洋大学,C-,60%～70%
101,10357,安徽大学,C-,60%～70%
102,10394,福建师范大学,C-,60%～70%
103,10426,青岛科技大学,C-,60%～70%
104,10538,中南林业科技大学,C-,60%～70%
105,10564,华南农业大学,C-,60%～70%
106,10602,广西师范大学,C-,60%～70%
107,10635,西南大学,C-,60%～70%
108,10697,西北大学,C-,60%～70%
109,10708,陕西科技大学,C-,60%～70%
110,11065,青岛大学,C-,60%～70%
111,11078,广州大学,C-,60%～70%
