序号,学校代码,学校名称,评选结果,排名百分比
1,10614,电子科技大学,A+,前2%或前2名
2,10701,西安电子科技大学,A+,前2%或前2名
3,10001,北京大学,A,2%～5%
4,10003,清华大学,A,2%～5%
5,10286,东南大学,A,2%～5%
6,10013,北京邮电大学,A-,5%～10%
7,10246,复旦大学,A-,5%～10%
8,10248,上海交通大学,A-,5%～10%
9,10284,南京大学,A-,5%～10%
10,10335,浙江大学,A-,5%～10%
11,10698,西安交通大学,A-,5%～10%
12,10006,北京航空航天大学,B+,10%～20%
13,10007,北京理工大学,B+,10%～20%
14,10056,天津大学,B+,10%～20%
15,10183,吉林大学,B+,10%～20%
16,10293,南京邮电大学,B+,10%～20%
17,10336,杭州电子科技大学,B+,10%～20%
18,10487,华中科技大学,B+,10%～20%
19,10699,西北工业大学,B+,10%～20%
20,90002,国防科技大学,B+,10%～20%
21,90045,空军工程大学,B+,10%～20%
22,10005,北京工业大学,B,20%～30%
23,10055,南开大学,B,20%～30%
24,10213,哈尔滨工业大学,B,20%～30%
25,10269,华东师范大学,B,20%～30%
26,10288,南京理工大学,B,20%～30%
27,10358,中国科学技术大学,B,20%～30%
28,10384,厦门大学,B,20%～30%
29,10486,武汉大学,B,20%～30%
30,10558,中山大学,B,20%～30%
31,10561,华南理工大学,B,20%～30%
32,10004,北京交通大学,B-,30%～40%
33,10141,大连理工大学,B-,30%～40%
34,10357,安徽大学,B-,30%～40%
35,10359,合肥工业大学,B-,30%～40%
36,10386,福州大学,B-,30%～40%
37,10422,山东大学,B-,30%～40%
38,10532,湖南大学,B-,30%～40%
39,10611,重庆大学,B-,30%～40%
40,10613,西南交通大学,B-,30%～40%
41,10700,西安理工大学,B-,30%～40%
42,90006,解放军理工大学,B-,30%～40%
43,10033,中国传媒大学,C+,40%～50%
44,10080,河北工业大学,C+,40%～50%
45,10112,太原理工大学,C+,40%～50%
46,10186,长春理工大学,C+,40%～50%
47,10212,黑龙江大学,C+,40%～50%
48,10216,燕山大学,C+,40%～50%
49,10280,上海大学,C+,40%～50%
50,10533,中南大学,C+,40%～50%
51,10617,重庆邮电大学,C+,40%～50%
52,10730,兰州大学,C+,40%～50%
53,90005,解放军信息工程大学,C+,40%～50%
54,10058,天津工业大学,C,50%～60%
55,10060,天津理工大学,C,50%～60%
56,10287,南京航空航天大学,C,50%～60%
57,10512,湖北大学,C,50%～60%
58,10536,长沙理工大学,C,50%～60%
59,10595,桂林电子科技大学,C,50%～60%
60,10610,四川大学,C,50%～60%
61,10657,贵州大学,C,50%～60%
62,11664,西安邮电大学,C,50%～60%
63,90039,海军航空工程学院,C,50%～60%
64,10009,北方工业大学,C-,60%～70%
65,10075,河北大学,C-,60%～70%
66,10079,华北电力大学,C-,60%～70%
67,10110,中北大学,C-,60%～70%
68,10217,哈尔滨工程大学,C-,60%～70%
69,10285,苏州大学,C-,60%～70%
70,10356,中国计量大学,C-,60%～70%
71,10459,郑州大学,C-,60%～70%
72,10497,武汉理工大学,C-,60%～70%
73,10590,深圳大学,C-,60%～70%
74,10697,西北大学,C-,60%～70%
