序号,学校代码,学校名称,评选结果,排名百分比
1,10290,中国矿业大学,A+,前2%或前2名
2,10533,中南大学,A+,前2%或前2名
3,10008,北京科技大学,B+,10%～20%
4,10145,东北大学,B+,10%～20%
5,10611,重庆大学,B+,10%～20%
6,10112,太原理工大学,B,20%～30%
7,10424,山东科技大学,B,20%～30%
8,10460,河南理工大学,B,20%～30%
9,10147,辽宁工程技术大学,B-,30%～40%
10,10361,安徽理工大学,B-,30%～40%
11,10497,武汉理工大学,B-,30%～40%
12,10488,武汉科技大学,C+,40%～50%
13,10674,昆明理工大学,C+,40%～50%
14,10704,西安科技大学,C+,40%～50%
15,10407,江西理工大学,C,50%～60%
16,10555,南华大学,C,50%～60%
17,10081,华北理工大学,C-,60%～70%
18,10127,内蒙古科技大学,C-,60%～70%
19,10534,湖南科技大学,C-,60%～70%
