序号,学校代码,学校名称,评选结果,排名百分比
1,10001,北京大学,A+,前2%或前2名
2,10003,清华大学,A+,前2%或前2名
3,10335,浙江大学,A+,前2%或前2名
4,90002,国防科技大学,A+,前2%或前2名
5,10006,北京航空航天大学,A,2%～5%
6,10013,北京邮电大学,A,2%～5%
7,10213,哈尔滨工业大学,A,2%～5%
8,10248,上海交通大学,A,2%～5%
9,10284,南京大学,A,2%～5%
10,10487,华中科技大学,A,2%～5%
11,10614,电子科技大学,A,2%～5%
12,10004,北京交通大学,A-,5%～10%
13,10007,北京理工大学,A-,5%～10%
14,10145,东北大学,A-,5%～10%
15,10183,吉林大学,A-,5%～10%
16,10247,同济大学,A-,5%～10%
17,10358,中国科学技术大学,A-,5%～10%
18,10486,武汉大学,A-,5%～10%
19,10533,中南大学,A-,5%～10%
20,10698,西安交通大学,A-,5%～10%
21,10699,西北工业大学,A-,5%～10%
22,10701,西安电子科技大学,A-,5%～10%
23,90005,解放军信息工程大学,A-,5%～10%
24,10002,中国人民大学,B+,10%～20%
25,10005,北京工业大学,B+,10%～20%
26,10008,北京科技大学,B+,10%～20%
27,10055,南开大学,B+,10%～20%
28,10056,天津大学,B+,10%～20%
29,10141,大连理工大学,B+,10%～20%
30,10217,哈尔滨工程大学,B+,10%～20%
31,10246,复旦大学,B+,10%～20%
32,10269,华东师范大学,B+,10%～20%
33,10286,东南大学,B+,10%～20%
34,10287,南京航空航天大学,B+,10%～20%
35,10288,南京理工大学,B+,10%～20%
36,10336,杭州电子科技大学,B+,10%～20%
37,10359,合肥工业大学,B+,10%～20%
38,10384,厦门大学,B+,10%～20%
39,10422,山东大学,B+,10%～20%
40,10532,湖南大学,B+,10%～20%
41,10558,中山大学,B+,10%～20%
42,10561,华南理工大学,B+,10%～20%
43,10610,四川大学,B+,10%～20%
44,10611,重庆大学,B+,10%～20%
45,10613,西南交通大学,B+,10%～20%
46,10617,重庆邮电大学,B+,10%～20%
47,90006,解放军理工大学,B+,10%～20%
48,10294,河海大学,B,20%～30%
49,10299,江苏大学,B,20%～30%
50,10300,南京信息工程大学,B,20%～30%
51,10337,浙江工业大学,B,20%～30%
52,10357,安徽大学,B,20%～30%
53,10423,中国海洋大学,B,20%～30%
54,10491,中国地质大学,B,20%～30%
55,10497,武汉理工大学,B,20%～30%
56,10559,暨南大学,B,20%～30%
57,10590,深圳大学,B,20%～30%
58,10635,西南大学,B,20%～30%
59,10730,兰州大学,B,20%～30%
60,90059,火箭军工程大学,B,20%～30%
61,10027,北京师范大学,B,20%～30%
62,10060,天津理工大学,B,20%～30%
63,10108,山西大学,B,20%～30%
64,10151,大连海事大学,B,20%～30%
65,10186,长春理工大学,B,20%～30%
66,10214,哈尔滨理工大学,B,20%～30%
67,10216,燕山大学,B,20%～30%
68,10251,华东理工大学,B,20%～30%
69,10280,上海大学,B,20%～30%
70,10285,苏州大学,B,20%～30%
71,10290,中国矿业大学,B,20%～30%
72,10009,北方工业大学,B-,30%～40%
73,10019,中国农业大学,B-,30%～40%
74,10028,首都师范大学,B-,30%～40%
75,10058,天津工业大学,B-,30%～40%
76,10079,华北电力大学,B-,30%～40%
77,10112,太原理工大学,B-,30%～40%
78,10126,内蒙古大学,B-,30%～40%
79,10143,沈阳航空航天大学,B-,30%～40%
80,10255,东华大学,B-,30%～40%
81,10293,南京邮电大学,B-,30%～40%
82,10295,江南大学,B-,30%～40%
83,10353,浙江工商大学,B-,30%～40%
84,10386,福州大学,B-,30%～40%
85,10424,山东科技大学,B-,30%～40%
86,10427,济南大学,B-,30%～40%
87,10511,华中师范大学,B-,30%～40%
88,10593,广西大学,B-,30%～40%
89,10595,桂林电子科技大学,B-,30%～40%
90,10673,云南大学,B-,30%～40%
91,10697,西北大学,B-,30%～40%
92,10746,青海师范大学,B-,30%～40%
93,10755,新疆大学,B-,30%～40%
94,11414,中国石油大学,B-,30%～40%
95,90045,空军工程大学,B-,30%～40%
96,10010,北京化工大学,C+,40%～50%
97,10032,北京语言大学,C+,40%～50%
98,10033,中国传媒大学,C+,40%～50%
99,10059,中国民航大学,C+,40%～50%
100,10075,河北大学,C+,40%～50%
101,10080,河北工业大学,C+,40%～50%
102,10153,沈阳建筑大学,C+,40%～50%
103,10165,辽宁师范大学,C+,40%～50%
104,10252,上海理工大学,C+,40%～50%
105,10264,上海海洋大学,C+,40%～50%
106,10292,常州大学,C+,40%～50%
107,10338,浙江理工大学,C+,40%～50%
108,10345,浙江师范大学,C+,40%～50%
109,10351,温州大学,C+,40%～50%
110,10394,福建师范大学,C+,40%～50%
111,10403,南昌大学,C+,40%～50%
112,10459,郑州大学,C+,40%～50%
113,10488,武汉科技大学,C+,40%～50%
114,10534,湖南科技大学,C+,40%～50%
115,10602,广西师范大学,C+,40%～50%
116,10621,成都信息工程大学,C+,40%～50%
117,10657,贵州大学,C+,40%～50%
118,10674,昆明理工大学,C+,40%～50%
119,10710,长安大学,C+,40%～50%
120,11065,青岛大学,C+,40%～50%
121,11664,西安邮电大学,C+,40%～50%
122,10011,北京工商大学,C,50%～60%
123,10076,河北工程大学,C,50%～60%
124,10107,石家庄铁道大学,C,50%～60%
125,10110,中北大学,C,50%～60%
126,10188,东北电力大学,C,50%～60%
127,10190,长春工业大学,C,50%～60%
128,10270,上海师范大学,C,50%～60%
129,10360,安徽工业大学,C,50%～60%
130,10414,江西师范大学,C,50%～60%
131,10456,山东财经大学,C,50%～60%
132,10460,河南理工大学,C,50%～60%
133,10462,郑州轻工业学院,C,50%～60%
134,10530,湘潭大学,C,50%～60%
135,10564,华南农业大学,C,50%～60%
136,10700,西安理工大学,C,50%～60%
137,10702,西安工业大学,C,50%～60%
138,10712,西北农林科技大学,C,50%～60%
139,11075,三峡大学,C,50%～60%
140,11117,扬州大学,C,50%～60%
141,11258,大连大学,C,50%～60%
142,11845,广东工业大学,C,50%～60%
143,10421,江西财经大学,C-,60%～70%
144,10463,河南工业大学,C-,60%～70%
145,10475,河南大学,C-,60%～70%
146,10476,河南师范大学,C-,60%～70%
147,10490,武汉工程大学,C-,60%～70%
148,10495,武汉纺织大学,C-,60%～70%
149,10500,湖北工业大学,C-,60%～70%
150,10536,长沙理工大学,C-,60%～70%
151,10589,海南大学,C-,60%～70%
152,10596,桂林理工大学,C-,60%～70%
153,10615,西南石油大学,C-,60%～70%
154,10618,重庆交通大学,C-,60%～70%
155,10623,西华大学,C-,60%～70%
156,10651,西南财经大学,C-,60%～70%
157,10705,西安石油大学,C-,60%～70%
158,11232,北京信息科技大学,C-,60%～70%
159,11535,湖南工业大学,C-,60%～70%
160,90039,海军航空工程学院,C-,60%～70%
161,10052,中央民族大学,C-,60%～70%
162,10144,沈阳理工大学,C-,60%～70%
163,10212,黑龙江大学,C-,60%～70%
164,10254,上海海事大学,C-,60%～70%
165,10289,江苏科技大学,C-,60%～70%
166,10385,华侨大学,C-,60%～70%
167,10405,东华理工大学,C-,60%～70%
168,10407,江西理工大学,C-,60%～70%
