序号,学校代码,学校名称,评选结果,排名百分比
1,10006,北京航空航天大学,A+,前2%或前2名
2,10335,浙江大学,A+,前2%或前2名
3,90002,国防科技大学,A+,前2%或前2名
4,10001,北京大学,A,2%～5%
5,10003,清华大学,A,2%～5%
6,10269,华东师范大学,A,2%～5%
7,10284,南京大学,A,2%～5%
8,10486,武汉大学,A,2%～5%
9,10056,天津大学,A-,5%～10%
10,10145,东北大学,A-,5%～10%
11,10213,哈尔滨工业大学,A-,5%～10%
12,10247,同济大学,A-,5%～10%
13,10248,上海交通大学,A-,5%～10%
14,10285,苏州大学,A-,5%～10%
15,10358,中国科学技术大学,A-,5%～10%
16,10610,四川大学,A-,5%～10%
17,10004,北京交通大学,B+,10%～20%
18,10005,北京工业大学,B+,10%～20%
19,10007,北京理工大学,B+,10%～20%
20,10013,北京邮电大学,B+,10%～20%
21,10141,大连理工大学,B+,10%～20%
22,10183,吉林大学,B+,10%～20%
23,10246,复旦大学,B+,10%～20%
24,10286,东南大学,B+,10%～20%
25,10287,南京航空航天大学,B+,10%～20%
26,10422,山东大学,B+,10%～20%
27,10561,华南理工大学,B+,10%～20%
28,10611,重庆大学,B+,10%～20%
29,10614,电子科技大学,B+,10%～20%
30,10697,西北大学,B+,10%～20%
31,10699,西北工业大学,B+,10%～20%
32,10701,西安电子科技大学,B+,10%～20%
33,90006,解放军理工大学,B+,10%～20%
34,10002,中国人民大学,B,20%～30%
35,10055,南开大学,B,20%～30%
36,10217,哈尔滨工程大学,B,20%～30%
37,10288,南京理工大学,B,20%～30%
38,10293,南京邮电大学,B,20%～30%
39,10294,河海大学,B,20%～30%
40,10295,江南大学,B,20%～30%
41,10337,浙江工业大学,B,20%～30%
42,10359,合肥工业大学,B,20%～30%
43,10384,厦门大学,B,20%～30%
44,10423,中国海洋大学,B,20%～30%
45,10459,郑州大学,B,20%～30%
46,10491,中国地质大学,B,20%～30%
47,10558,中山大学,B,20%～30%
48,10698,西安交通大学,B,20%～30%
49,90005,解放军信息工程大学,B,20%～30%
50,10028,首都师范大学,B-,30%～40%
51,10060,天津理工大学,B-,30%～40%
52,10079,华北电力大学,B-,30%～40%
53,10216,燕山大学,B-,30%～40%
54,10255,东华大学,B-,30%～40%
55,10280,上海大学,B-,30%～40%
56,10345,浙江师范大学,B-,30%～40%
57,10357,安徽大学,B-,30%～40%
58,10386,福州大学,B-,30%～40%
59,10497,武汉理工大学,B-,30%～40%
60,10602,广西师范大学,B-,30%～40%
61,10613,西南交通大学,B-,30%～40%
62,10617,重庆邮电大学,B-,30%～40%
63,10635,西南大学,B-,30%～40%
64,10657,贵州大学,B-,30%～40%
65,10673,云南大学,B-,30%～40%
66,11258,大连大学,B-,30%～40%
67,11417,北京联合大学,B-,30%～40%
68,10058,天津工业大学,C+,40%～50%
69,10075,河北大学,C+,40%～50%
70,10108,山西大学,C+,40%～50%
71,10146,辽宁科技大学,C+,40%～50%
72,10214,哈尔滨理工大学,C+,40%～50%
73,10299,江苏大学,C+,40%～50%
74,10300,南京信息工程大学,C+,40%～50%
75,10336,杭州电子科技大学,C+,40%～50%
76,10338,浙江理工大学,C+,40%～50%
77,10406,南昌航空大学,C+,40%～50%
78,10593,广西大学,C+,40%～50%
79,10595,桂林电子科技大学,C+,40%～50%
80,10621,成都信息工程大学,C+,40%～50%
81,10755,新疆大学,C+,40%～50%
82,11845,广东工业大学,C+,40%～50%
83,10009,北方工业大学,C,50%～60%
84,10010,北京化工大学,C,50%～60%
85,10147,辽宁工程技术大学,C,50%～60%
86,10150,大连交通大学,C,50%～60%
87,10151,大连海事大学,C,50%～60%
88,10186,长春理工大学,C,50%～60%
89,10252,上海理工大学,C,50%～60%
90,10385,华侨大学,C,50%～60%
91,10426,青岛科技大学,C,50%～60%
92,10460,河南理工大学,C,50%～60%
93,10462,郑州轻工业学院,C,50%～60%
94,10488,武汉科技大学,C,50%～60%
95,10511,华中师范大学,C,50%～60%
96,10530,湘潭大学,C,50%～60%
97,10555,南华大学,C,50%～60%
98,10615,西南石油大学,C,50%～60%
99,10708,陕西科技大学,C,50%～60%
100,11065,青岛大学,C,50%～60%
101,11664,西安邮电大学,C,50%～60%
102,10112,太原理工大学,C-,60%～70%
103,10126,内蒙古大学,C-,60%～70%
104,10212,黑龙江大学,C-,60%～70%
105,10289,江苏科技大学,C-,60%～70%
106,10290,中国矿业大学,C-,60%～70%
107,10291,南京工业大学,C-,60%～70%
108,10327,南京财经大学,C-,60%～70%
109,10373,淮北师范大学,C-,60%～70%
110,10394,福建师范大学,C-,60%～70%
111,10447,聊城大学,C-,60%～70%
112,10534,湖南科技大学,C-,60%～70%
113,10596,桂林理工大学,C-,60%～70%
114,10623,西华大学,C-,60%～70%
115,10636,四川师范大学,C-,60%～70%
116,10674,昆明理工大学,C-,60%～70%
117,10710,长安大学,C-,60%～70%
118,90039,海军航空工程学院,C-,60%～70%
