序号,学校代码,学校名称,评选结果,排名百分比
1,10019,中国农业大学,A+,前2%或前2名
2,10295,江南大学,A+,前2%或前2名
3,10403,南昌大学,A,2%～5%
4,10307,南京农业大学,A-,5%～10%
5,10335,浙江大学,A-,5%～10%
6,10504,华中农业大学,A-,5%～10%
7,10561,华南理工大学,A-,5%～10%
8,10057,天津科技大学,B+,10%～20%
9,10152,大连工业大学,B+,10%～20%
10,10224,东北农业大学,B+,10%～20%
11,10264,上海海洋大学,B+,10%～20%
12,10299,江苏大学,B+,10%～20%
13,10423,中国海洋大学,B+,10%～20%
14,10564,华南农业大学,B+,10%～20%
15,10712,西北农林科技大学,B+,10%～20%
16,10011,北京工商大学,B,20%～30%
17,10129,内蒙古农业大学,B,20%～30%
18,10157,沈阳农业大学,B,20%～30%
19,10183,吉林大学,B,20%～30%
20,10353,浙江工商大学,B,20%～30%
21,10359,合肥工业大学,B,20%～30%
22,10389,福建农林大学,B,20%～30%
23,10635,西南大学,B,20%～30%
24,10086,河北农业大学,B-,30%～40%
25,10193,吉林农业大学,B-,30%～40%
26,10240,哈尔滨商业大学,B-,30%～40%
27,10248,上海交通大学,B-,30%～40%
28,10327,南京财经大学,B-,30%～40%
29,10463,河南工业大学,B-,30%～40%
30,10496,武汉轻工大学,B-,30%～40%
31,10566,广东海洋大学,B-,30%～40%
32,10213,哈尔滨工业大学,C+,40%～50%
33,10223,黑龙江八一农垦大学,C+,40%～50%
34,10337,浙江工业大学,C+,40%～50%
35,10390,集美大学,C+,40%～50%
36,10462,郑州轻工业学院,C+,40%～50%
37,10466,河南农业大学,C+,40%～50%
38,10538,中南林业科技大学,C+,40%～50%
39,10559,暨南大学,C+,40%～50%
40,10610,四川大学,C+,40%～50%
41,10167,渤海大学,C,50%～60%
42,10386,福州大学,C,50%～60%
43,10464,河南科技大学,C,50%～60%
44,10589,海南大学,C,50%～60%
45,10623,西华大学,C,50%～60%
46,10626,四川农业大学,C,50%～60%
47,10676,云南农业大学,C,50%～60%
48,10708,陕西科技大学,C,50%～60%
49,11646,宁波大学,C,50%～60%
50,10252,上海理工大学,C-,60%～70%
51,10364,安徽农业大学,C-,60%～70%
52,10435,青岛农业大学,C-,60%～70%
53,10536,长沙理工大学,C-,60%～70%
54,10733,甘肃农业大学,C-,60%～70%
55,11117,扬州大学,C-,60%～70%
