序号,学校代码,学校名称,评选结果,排名百分比
1,10001,北京大学,A+,前2%或前2名
2,10027,北京师范大学,A+,前2%或前2名
3,10269,华东师范大学,A,2%～5%
4,10284,南京大学,A-,5%～10%
5,10319,南京师范大学,A-,5%～10%
6,10486,武汉大学,A-,5%～10%
7,10028,首都师范大学,B+,10%～20%
8,10200,东北师范大学,B+,10%～20%
9,10394,福建师范大学,B+,10%～20%
10,10475,河南大学,B+,10%～20%
11,10558,中山大学,B+,10%～20%
12,10681,云南师范大学,B+,10%～20%
13,10730,兰州大学,B+,10%～20%
14,10511,华中师范大学,B,20%～30%
15,10542,湖南师范大学,B,20%～30%
16,10574,华南师范大学,B,20%～30%
17,10697,西北大学,B,20%～30%
18,10718,陕西师范大学,B,20%～30%
19,10165,辽宁师范大学,B-,30%～40%
20,10231,哈尔滨师范大学,B-,30%～40%
21,10445,山东师范大学,B-,30%～40%
22,10635,西南大学,B-,30%～40%
23,10663,贵州师范大学,B-,30%～40%
24,10736,西北师范大学,B-,30%～40%
25,10094,河北师范大学,C+,40%～50%
26,10345,浙江师范大学,C+,40%～50%
27,10370,安徽师范大学,C+,40%～50%
28,10423,中国海洋大学,C+,40%～50%
29,10746,青海师范大学,C+,40%～50%
30,10755,新疆大学,C+,40%～50%
31,10065,天津师范大学,C,50%～60%
32,10294,河海大学,C,50%～60%
33,10320,江苏师范大学,C,50%～60%
34,10414,江西师范大学,C,50%～60%
35,10491,中国地质大学,C,50%～60%
36,10512,湖北大学,C,50%～60%
37,10673,云南大学,C-,60%～70%
38,11078,广州大学,C-,60%～70%
39,10135,内蒙古师范大学,C-,60%～70%
40,10270,上海师范大学,C-,60%～70%
41,10300,南京信息工程大学,C-,60%～70%
42,10636,四川师范大学,C-,60%～70%
43,10637,重庆师范大学,C-,60%～70%
