序号,学校代码,学校名称,评选结果,排名百分比
1,10001,北京大学,A+,前2%或前2名
2,10246,复旦大学,A+,前2%或前2名
3,10422,山东大学,A+,前2%或前2名
4,10003,清华大学,A,2%～5%
5,10027,北京师范大学,A,2%～5%
6,10055,南开大学,A,2%～5%
7,10248,上海交通大学,A,2%～5%
8,10358,中国科学技术大学,A,2%～5%
9,10698,西安交通大学,A,2%～5%
10,10183,吉林大学,A-,5%～10%
11,10213,哈尔滨工业大学,A-,5%～10%
12,10247,同济大学,A-,5%～10%
13,10269,华东师范大学,A-,5%～10%
14,10284,南京大学,A-,5%～10%
15,10335,浙江大学,A-,5%～10%
16,10486,武汉大学,A-,5%～10%
17,10558,中山大学,A-,5%～10%
18,10610,四川大学,A-,5%～10%
19,10028,首都师范大学,B+,10%～20%
20,10141,大连理工大学,B+,10%～20%
21,10200,东北师范大学,B+,10%～20%
22,10280,上海大学,B+,10%～20%
23,10285,苏州大学,B+,10%～20%
24,10319,南京师范大学,B+,10%～20%
25,10345,浙江师范大学,B+,10%～20%
26,10384,厦门大学,B+,10%～20%
27,10487,华中科技大学,B+,10%～20%
28,10511,华中师范大学,B+,10%～20%
29,10530,湘潭大学,B+,10%～20%
30,10532,湖南大学,B+,10%～20%
31,10533,中南大学,B+,10%～20%
32,10542,湖南师范大学,B+,10%～20%
33,10561,华南理工大学,B+,10%～20%
34,10574,华南师范大学,B+,10%～20%
35,10611,重庆大学,B+,10%～20%
36,10718,陕西师范大学,B+,10%～20%
37,10730,兰州大学,B+,10%～20%
38,90002,国防科技大学,B+,10%～20%
39,10002,中国人民大学,B,20%～30%
40,10005,北京工业大学,B,20%～30%
41,10094,河北师范大学,B,20%～30%
42,10270,上海师范大学,B,20%～30%
43,10290,中国矿业大学,B,20%～30%
44,10357,安徽大学,B,20%～30%
45,10386,福州大学,B,20%～30%
46,10394,福建师范大学,B,20%～30%
47,10459,郑州大学,B,20%～30%
48,10635,西南大学,B,20%～30%
49,10673,云南大学,B,20%～30%
50,10697,西北大学,B,20%～30%
51,10699,西北工业大学,B,20%～30%
52,10736,西北师范大学,B,20%～30%
53,10755,新疆大学,B,20%～30%
54,11078,广州大学,B,20%～30%
55,10004,北京交通大学,B-,30%～40%
56,10008,北京科技大学,B-,30%～40%
57,10108,山西大学,B-,30%～40%
58,10126,内蒙古大学,B-,30%～40%
59,10251,华东理工大学,B-,30%～40%
60,10287,南京航空航天大学,B-,30%～40%
61,10288,南京理工大学,B-,30%～40%
62,10300,南京信息工程大学,B-,30%～40%
63,10320,江苏师范大学,B-,30%～40%
64,10359,合肥工业大学,B-,30%～40%
65,10414,江西师范大学,B-,30%～40%
66,10445,山东师范大学,B-,30%～40%
67,10446,曲阜师范大学,B-,30%～40%
68,10512,湖北大学,B-,30%～40%
69,10636,四川师范大学,B-,30%～40%
70,10637,重庆师范大学,B-,30%～40%
71,10657,贵州大学,B-,30%～40%
72,11117,扬州大学,B-,30%～40%
73,11646,宁波大学,B-,30%～40%
74,10009,北方工业大学,C+,40%～50%
75,10145,东北大学,C+,40%～50%
76,10165,辽宁师范大学,C+,40%～50%
77,10255,东华大学,C+,40%～50%
78,10299,江苏大学,C+,40%～50%
79,10338,浙江理工大学,C+,40%～50%
80,10346,杭州师范大学,C+,40%～50%
81,10351,温州大学,C+,40%～50%
82,10403,南昌大学,C+,40%～50%
83,10423,中国海洋大学,C+,40%～50%
84,10475,河南大学,C+,40%～50%
85,10476,河南师范大学,C+,40%～50%
86,10559,暨南大学,C+,40%～50%
87,10560,汕头大学,C+,40%～50%
88,10593,广西大学,C+,40%～50%
89,10663,贵州师范大学,C+,40%～50%
90,10749,宁夏大学,C+,40%～50%
91,11414,中国石油大学,C+,40%～50%
92,10019,中国农业大学,C,50%～60%
93,10079,华北电力大学,C,50%～60%
94,10081,华北理工大学,C,50%～60%
95,10110,中北大学,C,50%～60%
96,10203,吉林师范大学,C,50%～60%
97,10214,哈尔滨理工大学,C,50%～60%
98,10231,哈尔滨师范大学,C,50%～60%
99,10252,上海理工大学,C,50%～60%
100,10337,浙江工业大学,C,50%～60%
101,10370,安徽师范大学,C,50%～60%
102,10491,中国地质大学,C,50%～60%
103,10536,长沙理工大学,C,50%～60%
104,10595,桂林电子科技大学,C,50%～60%
105,10613,西南交通大学,C,50%～60%
106,10616,成都理工大学,C,50%～60%
107,10681,云南师范大学,C,50%～60%
108,11066,烟台大学,C,50%～60%
109,90006,解放军理工大学,C,50%～60%
110,10078,华北水利水电大学,C-,60%～70%
111,10118,山西师范大学,C-,60%～70%
112,10140,辽宁大学,C-,60%～70%
113,10166,沈阳师范大学,C-,60%～70%
114,10167,渤海大学,C-,60%～70%
115,10212,黑龙江大学,C-,60%～70%
116,10294,河海大学,C-,60%～70%
117,10390,集美大学,C-,60%～70%
118,10460,河南理工大学,C-,60%～70%
119,10477,信阳师范学院,C-,60%～70%
120,10513,湖北师范大学,C-,60%～70%
121,10608,广西民族大学,C-,60%～70%
122,10615,西南石油大学,C-,60%～70%
123,10638,西华师范大学,C-,60%～70%
124,10674,昆明理工大学,C-,60%～70%
125,11065,青岛大学,C-,60%～70%
126,10010,北京化工大学,C-,60%～70%
127,10059,中国民航大学,C-,60%～70%
128,10065,天津师范大学,C-,60%～70%
129,10075,河北大学,C-,60%～70%
