序号,学校代码,学校名称,评选结果,排名百分比
1,10001,北京大学,A+,前2%或前2名
2,10358,中国科学技术大学,A+,前2%或前2名
3,10003,清华大学,A,2%～5%
4,10246,复旦大学,A,2%～5%
5,10248,上海交通大学,A,2%～5%
6,10284,南京大学,A,2%～5%
7,10055,南开大学,A-,5%～10%
8,10183,吉林大学,A-,5%～10%
9,10335,浙江大学,A-,5%～10%
10,10486,武汉大学,A-,5%～10%
11,10487,华中科技大学,A-,5%～10%
12,10558,中山大学,A-,5%～10%
13,10027,北京师范大学,B+,10%～20%
14,10108,山西大学,B+,10%～20%
15,10200,东北师范大学,B+,10%～20%
16,10213,哈尔滨工业大学,B+,10%～20%
17,10247,同济大学,B+,10%～20%
18,10269,华东师范大学,B+,10%～20%
19,10384,厦门大学,B+,10%～20%
20,10422,山东大学,B+,10%～20%
21,10511,华中师范大学,B+,10%～20%
22,10574,华南师范大学,B+,10%～20%
23,10698,西安交通大学,B+,10%～20%
24,10730,兰州大学,B+,10%～20%
25,90002,国防科技大学,B+,10%～20%
26,10002,中国人民大学,B,20%～30%
27,10141,大连理工大学,B,20%～30%
28,10280,上海大学,B,20%～30%
29,10285,苏州大学,B,20%～30%
30,10476,河南师范大学,B,20%～30%
31,10532,湖南大学,B,20%～30%
32,10533,中南大学,B,20%～30%
33,10542,湖南师范大学,B,20%～30%
34,10610,四川大学,B,20%～30%
35,10611,重庆大学,B,20%～30%
36,10697,西北大学,B,20%～30%
37,10699,西北工业大学,B,20%～30%
38,10718,陕西师范大学,B,20%～30%
39,10005,北京工业大学,B-,30%～40%
40,10008,北京科技大学,B-,30%～40%
41,10094,河北师范大学,B-,30%～40%
42,10126,内蒙古大学,B-,30%～40%
43,10145,东北大学,B-,30%～40%
44,10186,长春理工大学,B-,30%～40%
45,10319,南京师范大学,B-,30%～40%
46,10394,福建师范大学,B-,30%～40%
47,10445,山东师范大学,B-,30%～40%
48,10459,郑州大学,B-,30%～40%
49,10530,湘潭大学,B-,30%～40%
50,10736,西北师范大学,B-,30%～40%
51,10004,北京交通大学,C+,40%～50%
52,10165,辽宁师范大学,C+,40%～50%
53,10270,上海师范大学,C+,40%～50%
54,10287,南京航空航天大学,C+,40%～50%
55,10337,浙江工业大学,C+,40%～50%
56,10345,浙江师范大学,C+,40%～50%
57,10403,南昌大学,C+,40%～50%
58,10446,曲阜师范大学,C+,40%～50%
59,10475,河南大学,C+,40%～50%
60,10561,华南理工大学,C+,40%～50%
61,10613,西南交通大学,C+,40%～50%
62,10673,云南大学,C+,40%～50%
63,11065,青岛大学,C+,40%～50%
64,10010,北京化工大学,C,50%～60%
65,10065,天津师范大学,C,50%～60%
66,10140,辽宁大学,C,50%～60%
67,10203,吉林师范大学,C,50%～60%
68,10251,华东理工大学,C,50%～60%
69,10346,杭州师范大学,C,50%～60%
70,10370,安徽师范大学,C,50%～60%
71,10414,江西师范大学,C,50%～60%
72,10593,广西大学,C,50%～60%
73,10602,广西师范大学,C,50%～60%
74,10635,西南大学,C,50%～60%
75,10636,四川师范大学,C,50%～60%
76,11646,宁波大学,C,50%～60%
77,10079,华北电力大学,C-,60%～70%
78,10231,哈尔滨师范大学,C-,60%～70%
79,10252,上海理工大学,C-,60%～70%
80,10255,东华大学,C-,60%～70%
81,10288,南京理工大学,C-,60%～70%
82,10290,中国矿业大学,C-,60%～70%
83,10357,安徽大学,C-,60%～70%
84,10423,中国海洋大学,C-,60%～70%
85,10427,济南大学,C-,60%～70%
86,10491,中国地质大学,C-,60%～70%
87,10512,湖北大学,C-,60%～70%
88,10657,贵州大学,C-,60%～70%
89,11414,中国石油大学,C-,60%～70%
