序号,学校代码,学校名称,评选结果,排名百分比
1,10335,浙江大学,A+,前2%或前2名
2,10558,中山大学,A+,前2%或前2名
3,10001,北京大学,A,2%～5%
4,10200,东北师范大学,A,2%～5%
5,10730,兰州大学,A,2%～5%
6,10027,北京师范大学,A-,5%～10%
7,10246,复旦大学,A-,5%～10%
8,10269,华东师范大学,A-,5%～10%
9,10284,南京大学,A-,5%～10%
10,10673,云南大学,A-,5%～10%
11,10003,清华大学,B+,10%～20%
12,10019,中国农业大学,B+,10%～20%
13,10055,南开大学,B+,10%～20%
14,10248,上海交通大学,B+,10%～20%
15,10358,中国科学技术大学,B+,10%～20%
16,10384,厦门大学,B+,10%～20%
17,10389,福建农林大学,B+,10%～20%
18,10486,武汉大学,B+,10%～20%
19,10610,四川大学,B+,10%～20%
20,10712,西北农林科技大学,B+,10%～20%
21,10022,北京林业大学,B,20%～30%
22,10028,首都师范大学,B,20%～30%
23,10094,河北师范大学,B,20%～30%
24,10126,内蒙古大学,B,20%～30%
25,10225,东北林业大学,B,20%～30%
26,10357,安徽大学,B,20%～30%
27,10423,中国海洋大学,B,20%～30%
28,10538,中南林业科技大学,B,20%～30%
29,10611,重庆大学,B,20%～30%
30,10697,西北大学,B,20%～30%
31,10108,山西大学,B-,30%～40%
32,10364,安徽农业大学,B-,30%～40%
33,10370,安徽师范大学,B-,30%～40%
34,10394,福建师范大学,B-,30%～40%
35,10422,山东大学,B-,30%～40%
36,10537,湖南农业大学,B-,30%～40%
37,10542,湖南师范大学,B-,30%～40%
38,10559,暨南大学,B-,30%～40%
39,10574,华南师范大学,B-,30%～40%
40,10593,广西大学,B-,30%～40%
41,10052,中央民族大学,C+,40%～50%
42,10319,南京师范大学,C+,40%～50%
43,10341,浙江农林大学,C+,40%～50%
44,10346,杭州师范大学,C+,40%～50%
45,10504,华中农业大学,C+,40%～50%
46,10635,西南大学,C+,40%～50%
47,10638,西华师范大学,C+,40%～50%
48,10718,陕西师范大学,C+,40%～50%
49,10755,新疆大学,C+,40%～50%
50,11658,海南师范大学,C+,40%～50%
51,10002,中国人民大学,C,50%～60%
52,10075,河北大学,C,50%～60%
53,10140,辽宁大学,C,50%～60%
54,10166,沈阳师范大学,C,50%～60%
55,10300,南京信息工程大学,C,50%～60%
56,10403,南昌大学,C,50%～60%
57,10475,河南大学,C,50%～60%
58,10512,湖北大学,C,50%～60%
59,10657,贵州大学,C,50%～60%
60,10677,西南林业大学,C,50%～60%
61,10086,河北农业大学,C-,60%～70%
62,10165,辽宁师范大学,C-,60%～70%
63,10193,吉林农业大学,C-,60%～70%
64,10212,黑龙江大学,C-,60%～70%
65,10345,浙江师范大学,C-,60%～70%
66,10511,华中师范大学,C-,60%～70%
67,10531,吉首大学,C-,60%～70%
68,10663,贵州师范大学,C-,60%～70%
69,10749,宁夏大学,C-,60%～70%
70,11075,三峡大学,C-,60%～70%
