序号,学校代码,学校名称,评选结果,排名百分比
1,10001,北京大学,A+,前2%或前2名
2,10003,清华大学,A+,前2%或前2名
3,10248,上海交通大学,A+,前2%或前2名
4,10019,中国农业大学,A,2%～5%
5,10284,南京大学,A,2%～5%
6,10358,中国科学技术大学,A,2%～5%
7,10486,武汉大学,A,2%～5%
8,10504,华中农业大学,A,2%～5%
9,10055,南开大学,A-,5%～10%
10,10200,东北师范大学,A-,5%～10%
11,10246,复旦大学,A-,5%～10%
12,10335,浙江大学,A-,5%～10%
13,10384,厦门大学,A-,5%～10%
14,10487,华中科技大学,A-,5%～10%
15,10558,中山大学,A-,5%～10%
16,10610,四川大学,A-,5%～10%
17,10025,首都医科大学,B+,10%～20%
18,10027,北京师范大学,B+,10%～20%
19,10028,首都师范大学,B+,10%～20%
20,10183,吉林大学,B+,10%～20%
21,10247,同济大学,B+,10%～20%
22,10269,华东师范大学,B+,10%～20%
23,10319,南京师范大学,B+,10%～20%
24,10422,山东大学,B+,10%～20%
25,10423,中国海洋大学,B+,10%～20%
26,10533,中南大学,B+,10%～20%
27,10559,暨南大学,B+,10%～20%
28,10673,云南大学,B+,10%～20%
29,10712,西北农林科技大学,B+,10%～20%
30,10718,陕西师范大学,B+,10%～20%
31,10730,兰州大学,B+,10%～20%
32,90032,第四军医大学,B+,10%～20%
33,10022,北京林业大学,B,20%～30%
34,10126,内蒙古大学,B,20%～30%
35,10159,中国医科大学,B,20%～30%
36,10161,大连医科大学,B,20%～30%
37,10225,东北林业大学,B,20%～30%
38,10226,哈尔滨医科大学,B,20%～30%
39,10364,安徽农业大学,B,20%～30%
40,10389,福建农林大学,B,20%～30%
41,10475,河南大学,B,20%～30%
42,10476,河南师范大学,B,20%～30%
43,10511,华中师范大学,B,20%～30%
44,10512,湖北大学,B,20%～30%
45,10537,湖南农业大学,B,20%～30%
46,10542,湖南师范大学,B,20%～30%
47,10635,西南大学,B,20%～30%
48,10697,西北大学,B,20%～30%
49,10075,河北大学,B-,30%～40%
50,10086,河北农业大学,B-,30%～40%
51,10094,河北师范大学,B-,30%～40%
52,10108,山西大学,B-,30%～40%
53,10114,山西医科大学,B-,30%～40%
54,10264,上海海洋大学,B-,30%～40%
55,10346,杭州师范大学,B-,30%～40%
56,10394,福建师范大学,B-,30%～40%
57,10403,南昌大学,B-,30%～40%
58,10445,山东师范大学,B-,30%～40%
59,10561,华南理工大学,B-,30%～40%
60,10574,华南师范大学,B-,30%～40%
61,10593,广西大学,B-,30%～40%
62,10626,四川农业大学,B-,30%～40%
63,10657,贵州大学,B-,30%～40%
64,10698,西安交通大学,B-,30%～40%
65,10089,河北医科大学,C+,40%～50%
66,10141,大连理工大学,C+,40%～50%
67,10165,辽宁师范大学,C+,40%～50%
68,10193,吉林农业大学,C+,40%～50%
69,10251,华东理工大学,C+,40%～50%
70,10270,上海师范大学,C+,40%～50%
71,10343,温州医科大学,C+,40%～50%
72,10345,浙江师范大学,C+,40%～50%
73,10370,安徽师范大学,C+,40%～50%
74,10532,湖南大学,C+,40%～50%
75,10538,中南林业科技大学,C+,40%～50%
76,10560,汕头大学,C+,40%～50%
77,10611,重庆大学,C+,40%～50%
78,10755,新疆大学,C+,40%～50%
79,11065,青岛大学,C+,40%～50%
80,11117,扬州大学,C+,40%～50%
81,10065,天津师范大学,C,50%～60%
82,10145,东北大学,C,50%～60%
83,10184,延边大学,C,50%～60%
84,10212,黑龙江大学,C,50%～60%
85,10213,哈尔滨工业大学,C,50%～60%
86,10231,哈尔滨师范大学,C,50%～60%
87,10280,上海大学,C,50%～60%
88,10285,苏州大学,C,50%～60%
89,10320,江苏师范大学,C,50%～60%
90,10338,浙江理工大学,C,50%～60%
91,10341,浙江农林大学,C,50%～60%
92,10356,中国计量大学,C,50%～60%
93,10357,安徽大学,C,50%～60%
94,10459,郑州大学,C,50%～60%
95,10466,河南农业大学,C,50%～60%
96,10674,昆明理工大学,C,50%～60%
97,10005,北京工业大学,C-,60%～70%
98,10140,辽宁大学,C-,60%～70%
99,10160,锦州医科大学,C-,60%～70%
100,10166,沈阳师范大学,C-,60%～70%
101,10289,江苏科技大学,C-,60%～70%
102,10299,江苏大学,C-,60%～70%
103,10359,合肥工业大学,C-,60%～70%
104,10366,安徽医科大学,C-,60%～70%
105,10386,福州大学,C-,60%～70%
106,10524,中南民族大学,C-,60%～70%
107,10619,西南科技大学,C-,60%～70%
108,10637,重庆师范大学,C-,60%～70%
109,10681,云南师范大学,C-,60%～70%
110,10699,西北工业大学,C-,60%～70%
111,10749,宁夏大学,C-,60%～70%
112,11075,三峡大学,C-,60%～70%
