序号,学校代码,学校名称,评选结果,排名百分比
1,10001,北京大学,A+,前2%或前2名
2,10002,中国人民大学,A+,前2%或前2名
3,10055,南开大学,A,2%～5%
4,10200,东北师范大学,A,2%～5%
5,10269,华东师范大学,A,2%～5%
6,10384,厦门大学,A,2%～5%
7,10027,北京师范大学,A-,5%～10%
8,10173,东北财经大学,A-,5%～10%
9,10272,上海财经大学,A-,5%～10%
10,10353,浙江工商大学,A-,5%～10%
11,10358,中国科学技术大学,A-,5%～10%
12,10421,江西财经大学,A-,5%～10%
13,10003,清华大学,B+,10%～20%
14,10004,北京交通大学,B+,10%～20%
15,10005,北京工业大学,B+,10%～20%
16,10028,首都师范大学,B+,10%～20%
17,10034,中央财经大学,B+,10%～20%
18,10036,对外经济贸易大学,B+,10%～20%
19,10038,首都经济贸易大学,B+,10%～20%
20,10183,吉林大学,B+,10%～20%
21,10246,复旦大学,B+,10%～20%
22,10422,山东大学,B+,10%～20%
23,10520,中南财经政法大学,B+,10%～20%
24,10533,中南大学,B+,10%～20%
25,10125,山西财经大学,B,20%～30%
26,10213,哈尔滨工业大学,B,20%～30%
27,10248,上海交通大学,B,20%～30%
28,10357,安徽大学,B,20%～30%
29,10486,武汉大学,B,20%～30%
30,10487,华中科技大学,B,20%～30%
31,10511,华中师范大学,B,20%～30%
32,10532,湖南大学,B,20%～30%
33,10558,中山大学,B,20%～30%
34,10673,云南大学,B,20%～30%
35,10689,云南财经大学,B,20%～30%
36,10698,西安交通大学,B,20%～30%
37,10140,辽宁大学,B-,30%～40%
38,10284,南京大学,B-,30%～40%
39,10285,苏州大学,B-,30%～40%
40,10319,南京师范大学,B-,30%～40%
41,10320,江苏师范大学,B-,30%～40%
42,10378,安徽财经大学,B-,30%～40%
43,10446,曲阜师范大学,B-,30%～40%
44,10559,暨南大学,B-,30%～40%
45,10610,四川大学,B-,30%～40%
46,10611,重庆大学,B-,30%～40%
47,10635,西南大学,B-,30%～40%
48,11078,广州大学,B-,30%～40%
49,10207,吉林财经大学,C+,40%～50%
50,10327,南京财经大学,C+,40%～50%
51,10394,福建师范大学,C+,40%～50%
52,10456,山东财经大学,C+,40%～50%
53,10475,河南大学,C+,40%～50%
54,10530,湘潭大学,C+,40%～50%
55,10542,湖南师范大学,C+,40%～50%
56,10697,西北大学,C+,40%～50%
57,10741,兰州财经大学,C+,40%～50%
58,11482,浙江财经大学,C+,40%～50%
59,11560,西安财经学院,C+,40%～50%
60,11799,重庆工商大学,C+,40%～50%
61,10052,中央民族大学,C,50%～60%
62,10075,河北大学,C,50%～60%
63,10190,长春工业大学,C,50%～60%
64,10280,上海大学,C,50%～60%
65,10290,中国矿业大学,C,50%～60%
66,10459,郑州大学,C,50%～60%
67,10476,河南师范大学,C,50%～60%
68,10596,桂林理工大学,C,50%～60%
69,10613,西南交通大学,C,50%～60%
70,10621,成都信息工程大学,C,50%～60%
71,10766,新疆财经大学,C,50%～60%
72,11832,河北经贸大学,C,50%～60%
73,10008,北京科技大学,C-,60%～70%
74,10009,北方工业大学,C-,60%～70%
75,10022,北京林业大学,C-,60%～70%
76,10139,内蒙古财经大学,C-,60%～70%
77,10299,江苏大学,C-,60%～70%
78,10370,安徽师范大学,C-,60%～70%
79,10389,福建农林大学,C-,60%～70%
80,10491,中国地质大学,C-,60%～70%
81,10536,长沙理工大学,C-,60%～70%
82,10592,广东财经大学,C-,60%～70%
83,10593,广西大学,C-,60%～70%
84,10602,广西师范大学,C-,60%～70%
85,10671,贵州财经大学,C-,60%～70%
