序号,学校代码,学校名称,评选结果,排名百分比
1,10002,中国人民大学,A+,前2%或前2名
2,10003,清华大学,A+,前2%或前2名
3,10001,北京大学,A,2%～5%
4,10307,南京农业大学,A,2%～5%
5,10335,浙江大学,A,2%～5%
6,10486,武汉大学,A,2%～5%
7,10558,中山大学,A,2%～5%
8,10006,北京航空航天大学,A-,5%～10%
9,10027,北京师范大学,A-,5%～10%
10,10246,复旦大学,A-,5%～10%
11,10248,上海交通大学,A-,5%～10%
12,10487,华中科技大学,A-,5%～10%
13,10610,四川大学,A-,5%～10%
14,10698,西安交通大学,A-,5%～10%
15,10019,中国农业大学,B+,10%～20%
16,10055,南开大学,B+,10%～20%
17,10056,天津大学,B+,10%～20%
18,10145,东北大学,B+,10%～20%
19,10183,吉林大学,B+,10%～20%
20,10247,同济大学,B+,10%～20%
21,10269,华东师范大学,B+,10%～20%
22,10284,南京大学,B+,10%～20%
23,10384,厦门大学,B+,10%～20%
24,10459,郑州大学,B+,10%～20%
25,10491,中国地质大学,B+,10%～20%
26,10504,华中农业大学,B+,10%～20%
27,10520,中南财经政法大学,B+,10%～20%
28,10730,兰州大学,B+,10%～20%
29,10034,中央财经大学,B,20%～30%
30,10036,对外经济贸易大学,B,20%～30%
31,10141,大连理工大学,B,20%～30%
32,10173,东北财经大学,B,20%～30%
33,10213,哈尔滨工业大学,B,20%～30%
34,10226,哈尔滨医科大学,B,20%～30%
35,10272,上海财经大学,B,20%～30%
36,10290,中国矿业大学,B,20%～30%
37,10358,中国科学技术大学,B,20%～30%
38,10422,山东大学,B,20%～30%
39,10511,华中师范大学,B,20%～30%
40,10530,湘潭大学,B,20%～30%
41,10533,中南大学,B,20%～30%
42,10614,电子科技大学,B,20%～30%
43,90030,第二军医大学,B,20%～30%
44,10052,中央民族大学,B-,30%～40%
45,10140,辽宁大学,B-,30%～40%
46,10286,东南大学,B-,30%～40%
47,10294,河海大学,B-,30%～40%
48,10346,杭州师范大学,B-,30%～40%
49,10403,南昌大学,B-,30%～40%
50,10421,江西财经大学,B-,30%～40%
51,10456,山东财经大学,B-,30%～40%
52,10532,湖南大学,B-,30%～40%
53,10561,华南理工大学,B-,30%～40%
54,10593,广西大学,B-,30%～40%
55,10611,重庆大学,B-,30%～40%
56,10651,西南财经大学,B-,30%～40%
57,11482,浙江财经大学,B-,30%～40%
58,10008,北京科技大学,C+,40%～50%
59,10013,北京邮电大学,C+,40%～50%
60,10038,首都经济贸易大学,C+,40%～50%
61,10212,黑龙江大学,C+,40%～50%
62,10251,华东理工大学,C+,40%～50%
63,10353,浙江工商大学,C+,40%～50%
64,10389,福建农林大学,C+,40%～50%
65,10423,中国海洋大学,C+,40%～50%
66,10460,河南理工大学,C+,40%～50%
67,10488,武汉科技大学,C+,40%～50%
68,10537,湖南农业大学,C+,40%～50%
69,10559,暨南大学,C+,40%～50%
70,10613,西南交通大学,C+,40%～50%
71,10673,云南大学,C+,40%～50%
72,10007,北京理工大学,C,50%～60%
73,10070,天津财经大学,C,50%～60%
74,10075,河北大学,C,50%～60%
75,10079,华北电力大学,C,50%～60%
76,10166,沈阳师范大学,C,50%～60%
77,10217,哈尔滨工程大学,C,50%～60%
78,10252,上海理工大学,C,50%～60%
79,10285,苏州大学,C,50%～60%
80,10386,福州大学,C,50%～60%
81,10410,江西农业大学,C,50%～60%
82,10564,华南农业大学,C,50%～60%
83,10657,贵州大学,C,50%～60%
84,10689,云南财经大学,C,50%～60%
85,10710,长安大学,C,50%～60%
86,11078,广州大学,C,50%～60%
87,10023,北京协和医学院,C-,60%～70%
88,10151,大连海事大学,C-,60%～70%
89,10216,燕山大学,C-,60%～70%
90,10224,东北农业大学,C-,60%～70%
91,10240,哈尔滨商业大学,C-,60%～70%
92,10299,江苏大学,C-,60%～70%
93,10315,南京中医药大学,C-,60%～70%
94,10366,安徽医科大学,C-,60%～70%
95,10378,安徽财经大学,C-,60%～70%
96,10475,河南大学,C-,60%～70%
97,10512,湖北大学,C-,60%～70%
98,10635,西南大学,C-,60%～70%
99,10652,西南政法大学,C-,60%～70%
100,10671,贵州财经大学,C-,60%～70%
101,10699,西北工业大学,C-,60%～70%
102,10758,新疆农业大学,C-,60%～70%
