序号,学校代码,学校名称,评选结果,排名百分比
1,10307,南京农业大学,A+,前2%或前2名
2,10335,浙江大学,A+,前2%或前2名
3,10504,华中农业大学,A-,5%～10%
4,10002,中国人民大学,B+,10%～20%
5,10019,中国农业大学,B+,10%～20%
6,10564,华南农业大学,B+,10%～20%
7,10712,西北农林科技大学,B+,10%～20%
8,10022,北京林业大学,B,20%～30%
9,10224,东北农业大学,B,20%～30%
10,10225,东北林业大学,B,20%～30%
11,10635,西南大学,B,20%～30%
12,10157,沈阳农业大学,B-,30%～40%
13,10193,吉林农业大学,B-,30%～40%
14,10389,福建农林大学,B-,30%～40%
15,10626,四川农业大学,B-,30%～40%
16,10423,中国海洋大学,C+,40%～50%
17,10466,河南农业大学,C+,40%～50%
18,10520,中南财经政法大学,C+,40%～50%
19,10537,湖南农业大学,C+,40%～50%
20,10020,北京农学院,C,50%～60%
21,10086,河北农业大学,C,50%～60%
22,10129,内蒙古农业大学,C,50%～60%
23,10758,新疆农业大学,C,50%～60%
24,10264,上海海洋大学,C-,60%～70%
25,10341,浙江农林大学,C-,60%～70%
26,10410,江西农业大学,C-,60%～70%
27,10759,石河子大学,C-,60%～70%
