序号,学校代码,学校名称,评选结果,排名百分比
1,10284,南京大学,A+,前2%或前2名
2,10486,武汉大学,A+,前2%或前2名
3,10002,中国人民大学,A-,5%～10%
4,10001,北京大学,B+,10%～20%
5,10055,南开大学,B+,10%～20%
6,10511,华中师范大学,B+,10%～20%
7,10558,中山大学,B+,10%～20%
8,10183,吉林大学,B,20%～30%
9,10212,黑龙江大学,B,20%～30%
10,10280,上海大学,B,20%～30%
11,10673,云南大学,B,20%～30%
12,90021,南京政治学院,B,20%～30%
13,10269,华东师范大学,B-,30%～40%
14,10307,南京农业大学,B-,30%～40%
15,10459,郑州大学,B-,30%～40%
16,10027,北京师范大学,C+,40%～50%
17,10288,南京理工大学,C+,40%～50%
18,10530,湘潭大学,C+,40%～50%
19,10610,四川大学,C+,40%～50%
20,10023,北京协和医学院,C,50%～60%
21,10075,河北大学,C,50%～60%
22,10285,苏州大学,C,50%～60%
23,10394,福建师范大学,C,50%～60%
24,10019,中国农业大学,C-,60%～70%
25,10065,天津师范大学,C-,60%～70%
26,10108,山西大学,C-,60%～70%
27,10140,辽宁大学,C-,60%～70%
