序号,学校代码,学校名称,评选结果,排名百分比
1,10003,清华大学,A+,前2%或前2名
2,10247,同济大学,A+,前2%或前2名
3,90002,国防科技大学,A+,前2%或前2名
4,10006,北京航空航天大学,A,2%～5%
5,10056,天津大学,A,2%～5%
6,10213,哈尔滨工业大学,A,2%～5%
7,10248,上海交通大学,A,2%～5%
8,10335,浙江大学,A,2%～5%
9,10359,合肥工业大学,A,2%～5%
10,10007,北京理工大学,A-,5%～10%
11,10141,大连理工大学,A-,5%～10%
12,10286,东南大学,A-,5%～10%
13,10287,南京航空航天大学,A-,5%～10%
14,10358,中国科学技术大学,A-,5%～10%
15,10533,中南大学,A-,5%～10%
16,10561,华南理工大学,A-,5%～10%
17,10610,四川大学,A-,5%～10%
18,10698,西安交通大学,A-,5%～10%
19,10004,北京交通大学,B+,10%～20%
20,10079,华北电力大学,B+,10%～20%
21,10145,东北大学,B+,10%～20%
22,10173,东北财经大学,B+,10%～20%
23,10217,哈尔滨工程大学,B+,10%～20%
24,10246,复旦大学,B+,10%～20%
25,10251,华东理工大学,B+,10%～20%
26,10252,上海理工大学,B+,10%～20%
27,10284,南京大学,B+,10%～20%
28,10290,中国矿业大学,B+,10%～20%
29,10294,河海大学,B+,10%～20%
30,10386,福州大学,B+,10%～20%
31,10486,武汉大学,B+,10%～20%
32,10487,华中科技大学,B+,10%～20%
33,10611,重庆大学,B+,10%～20%
34,10613,西南交通大学,B+,10%～20%
35,10614,电子科技大学,B+,10%～20%
36,10699,西北工业大学,B+,10%～20%
37,10700,西安理工大学,B+,10%～20%
38,10008,北京科技大学,B,20%～30%
39,10013,北京邮电大学,B,20%～30%
40,10038,首都经济贸易大学,B,20%～30%
41,10055,南开大学,B,20%～30%
42,10060,天津理工大学,B,20%～30%
43,10214,哈尔滨理工大学,B,20%～30%
44,10254,上海海事大学,B,20%～30%
45,10255,东华大学,B,20%～30%
46,10272,上海财经大学,B,20%～30%
47,10280,上海大学,B,20%～30%
48,10288,南京理工大学,B,20%～30%
49,10299,江苏大学,B,20%～30%
50,10384,厦门大学,B,20%～30%
51,10421,江西财经大学,B,20%～30%
52,10422,山东大学,B,20%～30%
53,10497,武汉理工大学,B,20%～30%
54,10532,湖南大学,B,20%～30%
55,10558,中山大学,B,20%～30%
56,11414,中国石油大学,B,20%～30%
57,90045,空军工程大学,B,20%～30%
58,10001,北京大学,B-,30%～40%
59,10070,天津财经大学,B-,30%～40%
60,10078,华北水利水电大学,B-,30%～40%
61,10080,河北工业大学,B-,30%～40%
62,10151,大连海事大学,B-,30%～40%
63,10183,吉林大学,B-,30%～40%
64,10216,燕山大学,B-,30%～40%
65,10289,江苏科技大学,B-,30%～40%
66,10403,南昌大学,B-,30%～40%
67,10424,山东科技大学,B-,30%～40%
68,10456,山东财经大学,B-,30%～40%
69,10491,中国地质大学,B-,30%～40%
70,10559,暨南大学,B-,30%～40%
71,10618,重庆交通大学,B-,30%～40%
72,10701,西安电子科技大学,B-,30%～40%
73,10703,西安建筑科技大学,B-,30%～40%
74,11845,广东工业大学,B-,30%～40%
75,10002,中国人民大学,C+,40%～50%
76,10010,北京化工大学,C+,40%～50%
77,10030,北京外国语大学,C+,40%～50%
78,10034,中央财经大学,C+,40%～50%
79,10037,北京物资学院,C+,40%～50%
80,10075,河北大学,C+,40%～50%
81,10142,沈阳工业大学,C+,40%～50%
82,10147,辽宁工程技术大学,C+,40%～50%
83,10300,南京信息工程大学,C+,40%～50%
84,10336,杭州电子科技大学,C+,40%～50%
85,10356,中国计量大学,C+,40%～50%
86,10414,江西师范大学,C+,40%～50%
87,10445,山东师范大学,C+,40%～50%
88,10511,华中师范大学,C+,40%～50%
89,10590,深圳大学,C+,40%～50%
90,10616,成都理工大学,C+,40%～50%
91,10651,西南财经大学,C+,40%～50%
92,10674,昆明理工大学,C+,40%～50%
93,11065,青岛大学,C+,40%～50%
94,10057,天津科技大学,C,50%～60%
95,10058,天津工业大学,C,50%～60%
96,10108,山西大学,C,50%～60%
97,10291,南京工业大学,C,50%～60%
98,10293,南京邮电大学,C,50%～60%
99,10337,浙江工业大学,C,50%～60%
100,10338,浙江理工大学,C,50%～60%
101,10353,浙江工商大学,C,50%～60%
102,10360,安徽工业大学,C,50%～60%
103,10459,郑州大学,C,50%～60%
104,10488,武汉科技大学,C,50%～60%
105,10495,武汉纺织大学,C,50%～60%
106,10520,中南财经政法大学,C,50%～60%
107,10615,西南石油大学,C,50%～60%
108,10617,重庆邮电大学,C,50%～60%
109,10621,成都信息工程大学,C,50%～60%
110,10689,云南财经大学,C,50%～60%
111,11075,三峡大学,C,50%～60%
112,11232,北京信息科技大学,C,50%～60%
113,10011,北京工商大学,C-,60%～70%
114,10022,北京林业大学,C-,60%～70%
115,10107,石家庄铁道大学,C-,60%～70%
116,10125,山西财经大学,C-,60%～70%
117,10154,辽宁工业大学,C-,60%～70%
118,10191,吉林建筑大学,C-,60%～70%
119,10225,东北林业大学,C-,60%～70%
120,10240,哈尔滨商业大学,C-,60%～70%
121,10327,南京财经大学,C-,60%～70%
122,10378,安徽财经大学,C-,60%～70%
123,10385,华侨大学,C-,60%～70%
124,10427,济南大学,C-,60%～70%
125,10430,山东建筑大学,C-,60%～70%
126,10466,河南农业大学,C-,60%～70%
127,10536,长沙理工大学,C-,60%～70%
128,10592,广东财经大学,C-,60%～70%
129,10622,四川理工学院,C-,60%～70%
130,10704,西安科技大学,C-,60%～70%
131,10792,天津城建大学,C-,60%～70%
