序号,学校代码,学校名称,评选结果,排名百分比
1,10027,北京师范大学,A+,前2%或前2名
2,10033,中国传媒大学,A+,前2%或前2名
3,10048,中央戏剧学院,A-,5%～10%
4,10050,北京电影学院,A-,5%～10%
5,10279,上海戏剧学院,A-,5%～10%
6,10049,中国戏曲学院,B+,10%～20%
7,10280,上海大学,B+,10%～20%
8,10331,南京艺术学院,B+,10%～20%
9,10355,中国美术学院,B+,10%～20%
10,10384,厦门大学,B+,10%～20%
11,10118,山西师范大学,B,20%～30%
12,10278,上海音乐学院,B,20%～30%
13,10611,重庆大学,B,20%～30%
14,10635,西南大学,B,20%～30%
15,10690,云南艺术学院,B,20%～30%
16,10200,东北师范大学,B-,30%～40%
17,10209,吉林艺术学院,B-,30%～40%
18,10270,上海师范大学,B-,30%～40%
19,10319,南京师范大学,B-,30%～40%
20,10394,福建师范大学,B-,30%～40%
21,10001,北京大学,C+,40%～50%
22,10231,哈尔滨师范大学,C+,40%～50%
23,10445,山东师范大学,C+,40%～50%
24,10636,四川师范大学,C+,40%～50%
25,10736,西北师范大学,C+,40%～50%
26,10140,辽宁大学,C,50%～60%
27,10475,河南大学,C,50%～60%
28,10655,四川美术学院,C,50%～60%
29,10681,云南师范大学,C,50%～60%
30,11078,广州大学,C,50%～60%
31,10165,辽宁师范大学,C-,60%～70%
32,10183,吉林大学,C-,60%～70%
33,10285,苏州大学,C-,60%～70%
34,10590,深圳大学,C-,60%～70%
35,11117,扬州大学,C-,60%～70%
