序号,学校代码,学校名称,评选结果,排名百分比
1,10047,中央美术学院,A+,前2%或前2名
2,10355,中国美术学院,A+,前2%或前2名
3,10331,南京艺术学院,A,2%～5%
4,10729,西安美术学院,A,2%～5%
5,10003,清华大学,A-,5%～10%
6,10028,首都师范大学,A-,5%～10%
7,10280,上海大学,A-,5%～10%
8,10319,南京师范大学,A-,5%～10%
9,10655,四川美术学院,A-,5%～10%
10,10050,北京电影学院,B+,10%～20%
11,10073,天津美术学院,B+,10%～20%
12,10178,鲁迅美术学院,B+,10%～20%
13,10200,东北师范大学,B+,10%～20%
14,10408,景德镇陶瓷大学,B+,10%～20%
15,10523,湖北美术学院,B+,10%～20%
16,10586,广州美术学院,B+,10%～20%
17,10607,广西艺术学院,B+,10%～20%
18,10610,四川大学,B+,10%～20%
19,10033,中国传媒大学,B,20%～30%
20,10052,中央民族大学,B,20%～30%
21,10231,哈尔滨师范大学,B,20%～30%
22,10270,上海师范大学,B,20%～30%
23,10394,福建师范大学,B,20%～30%
24,10445,山东师范大学,B,20%～30%
25,10542,湖南师范大学,B,20%～30%
26,10635,西南大学,B,20%～30%
27,10690,云南艺术学院,B,20%～30%
28,10762,新疆师范大学,B,20%～30%
29,10002,中国人民大学,B-,30%～40%
30,10012,北京服装学院,B-,30%～40%
31,10209,吉林艺术学院,B-,30%～40%
32,10285,苏州大学,B-,30%～40%
33,10295,江南大学,B-,30%～40%
34,10345,浙江师范大学,B-,30%～40%
35,10346,杭州师范大学,B-,30%～40%
36,10602,广西师范大学,B-,30%～40%
37,10736,西北师范大学,B-,30%～40%
38,10015,北京印刷学院,C+,40%～50%
39,10094,河北师范大学,C+,40%～50%
40,10166,沈阳师范大学,C+,40%～50%
41,10511,华中师范大学,C+,40%～50%
42,10574,华南师范大学,C+,40%～50%
43,10590,深圳大学,C+,40%～50%
44,10656,西南民族大学,C+,40%～50%
45,10703,西安建筑科技大学,C+,40%～50%
46,11078,广州大学,C+,40%～50%
47,10108,山西大学,C,50%～60%
48,10135,内蒙古师范大学,C,50%～60%
49,10255,东华大学,C,50%～60%
50,10370,安徽师范大学,C,50%～60%
51,10384,厦门大学,C,50%～60%
52,10386,福州大学,C,50%～60%
53,10476,河南师范大学,C,50%～60%
54,10611,重庆大学,C,50%～60%
55,10636,四川师范大学,C,50%～60%
56,10637,重庆师范大学,C,50%～60%
57,10908,山东工艺美术学院,C,50%～60%
58,10027,北京师范大学,C-,60%～70%
59,10075,河北大学,C-,60%～70%
60,10118,山西师范大学,C-,60%～70%
61,10165,辽宁师范大学,C-,60%～70%
62,10299,江苏大学,C-,60%～70%
63,10414,江西师范大学,C-,60%～70%
64,10475,河南大学,C-,60%～70%
65,10673,云南大学,C-,60%～70%
