序号,学校代码,学校名称,评选结果,排名百分比
1,10001,北京大学,A+,前2%或前2名
2,10286,东南大学,A+,前2%或前2名
3,10003,清华大学,A-,5%～10%
4,10033,中国传媒大学,A-,5%～10%
5,10355,中国美术学院,A-,5%～10%
6,10027,北京师范大学,B+,10%～20%
7,10047,中央美术学院,B+,10%～20%
8,10048,中央戏剧学院,B+,10%～20%
9,10278,上海音乐学院,B+,10%～20%
10,10331,南京艺术学院,B+,10%～20%
11,10279,上海戏剧学院,B,20%～30%
12,10346,杭州师范大学,B,20%～30%
13,10586,广州美术学院,B,20%～30%
14,10610,四川大学,B,20%～30%
15,10729,西安美术学院,B,20%～30%
16,10002,中国人民大学,B-,30%～40%
17,10050,北京电影学院,B-,30%～40%
18,10338,浙江理工大学,B-,30%～40%
19,10497,武汉理工大学,B-,30%～40%
20,14560,哈尔滨音乐学院,B-,30%～40%
21,10012,北京服装学院,C+,40%～50%
22,10384,厦门大学,C+,40%～50%
23,10523,湖北美术学院,C+,40%～50%
24,10590,深圳大学,C+,40%～50%
25,10607,广西艺术学院,C+,40%～50%
26,10655,四川美术学院,C+,40%～50%
27,10177,沈阳音乐学院,C,50%～60%
28,10178,鲁迅美术学院,C,50%～60%
29,10255,东华大学,C,50%～60%
30,10394,福建师范大学,C,50%～60%
31,10094,河北师范大学,C-,60%～70%
32,10285,苏州大学,C-,60%～70%
33,10475,河南大学,C-,60%～70%
34,10673,云南大学,C-,60%～70%
35,10690,云南艺术学院,C-,60%～70%
