序号,学校代码,学校名称,评选结果,排名百分比
1,10003,清华大学,A+,前2%或前2名
2,10355,中国美术学院,A+,前2%或前2名
3,10047,中央美术学院,A,2%～5%
4,10247,同济大学,A,2%～5%
5,10285,苏州大学,A-,5%～10%
6,10295,江南大学,A-,5%～10%
7,10331,南京艺术学院,A-,5%～10%
8,10335,浙江大学,A-,5%～10%
9,10532,湖南大学,A-,5%～10%
10,10012,北京服装学院,B+,10%～20%
11,10033,中国传媒大学,B+,10%～20%
12,10248,上海交通大学,B+,10%～20%
13,10255,东华大学,B+,10%～20%
14,10408,景德镇陶瓷大学,B+,10%～20%
15,10497,武汉理工大学,B+,10%～20%
16,10586,广州美术学院,B+,10%～20%
17,10655,四川美术学院,B+,10%～20%
18,10729,西安美术学院,B+,10%～20%
19,10007,北京理工大学,B,20%～30%
20,10178,鲁迅美术学院,B,20%～30%
21,10213,哈尔滨工业大学,B,20%～30%
22,10280,上海大学,B,20%～30%
23,10286,东南大学,B,20%～30%
24,10523,湖北美术学院,B,20%～30%
25,10607,广西艺术学院,B,20%～30%
26,10610,四川大学,B,20%～30%
27,10908,山东工艺美术学院,B,20%～30%
28,11845,广东工业大学,B,20%～30%
29,10015,北京印刷学院,B-,30%～40%
30,10073,天津美术学院,B-,30%～40%
31,10319,南京师范大学,B-,30%～40%
32,10337,浙江工业大学,B-,30%～40%
33,10338,浙江理工大学,B-,30%～40%
34,10487,华中科技大学,B-,30%～40%
35,10495,武汉纺织大学,B-,30%～40%
36,10500,湖北工业大学,B-,30%～40%
37,10699,西北工业大学,B-,30%～40%
38,10022,北京林业大学,C+,40%～50%
39,10152,大连工业大学,C+,40%～50%
40,10209,吉林艺术学院,C+,40%～50%
41,10288,南京理工大学,C+,40%～50%
42,10386,福州大学,C+,40%～50%
43,10491,中国地质大学,C+,40%～50%
44,10590,深圳大学,C+,40%～50%
45,10613,西南交通大学,C+,40%～50%
46,10708,陕西科技大学,C+,40%～50%
47,11535,湖南工业大学,C+,40%～50%
48,10005,北京工业大学,C,50%～60%
49,10028,首都师范大学,C,50%～60%
50,10058,天津工业大学,C,50%～60%
51,10143,沈阳航空航天大学,C,50%～60%
52,10279,上海戏剧学院,C,50%～60%
53,10403,南昌大学,C,50%～60%
54,10542,湖南师范大学,C,50%～60%
55,10690,云南艺术学院,C,50%～60%
56,10709,西安工程大学,C,50%～60%
57,10002,中国人民大学,C-,60%～70%
58,10004,北京交通大学,C-,60%～70%
59,10009,北方工业大学,C-,60%～70%
60,10183,吉林大学,C-,60%～70%
61,10384,厦门大学,C-,60%～70%
62,10431,齐鲁工业大学,C-,60%～70%
63,10511,华中师范大学,C-,60%～70%
64,10611,重庆大学,C-,60%～70%
65,10700,西安理工大学,C-,60%～70%
