序号,学校代码,学校名称,评选结果,排名百分比
1,10045,中央音乐学院,A+,前2%或前2名
2,10278,上海音乐学院,A+,前2%或前2名
3,10046,中国音乐学院,A,2%～5%
4,10051,北京舞蹈学院,A-,5%～10%
5,10331,南京艺术学院,A-,5%～10%
6,10394,福建师范大学,A-,5%～10%
7,10028,首都师范大学,B+,10%～20%
8,10072,天津音乐学院,B+,10%～20%
9,10177,沈阳音乐学院,B+,10%～20%
10,10200,东北师范大学,B+,10%～20%
11,10587,星海音乐学院,B+,10%～20%
12,10654,四川音乐学院,B+,10%～20%
13,10728,西安音乐学院,B+,10%～20%
14,10033,中国传媒大学,B,20%～30%
15,10052,中央民族大学,B,20%～30%
16,10319,南京师范大学,B,20%～30%
17,10445,山东师范大学,B,20%～30%
18,10542,湖南师范大学,B,20%～30%
19,10607,广西艺术学院,B,20%～30%
20,14560,哈尔滨音乐学院,B,20%～30%
21,10209,吉林艺术学院,B-,30%～40%
22,10270,上海师范大学,B-,30%～40%
23,10345,浙江师范大学,B-,30%～40%
24,10384,厦门大学,B-,30%～40%
25,10475,河南大学,B-,30%～40%
26,10574,华南师范大学,B-,30%～40%
27,10690,云南艺术学院,B-,30%～40%
28,10027,北京师范大学,C+,40%～50%
29,10049,中国戏曲学院,C+,40%～50%
30,10279,上海戏剧学院,C+,40%～50%
31,10370,安徽师范大学,C+,40%～50%
32,10414,江西师范大学,C+,40%～50%
33,10635,西南大学,C+,40%～50%
34,10736,西北师范大学,C+,40%～50%
35,10002,中国人民大学,C,50%～60%
36,10094,河北师范大学,C,50%～60%
37,10108,山西大学,C,50%～60%
38,10166,沈阳师范大学,C,50%～60%
39,10446,曲阜师范大学,C,50%～60%
40,10476,河南师范大学,C,50%～60%
41,10511,华中师范大学,C,50%～60%
42,10742,西北民族大学,C,50%～60%
43,11078,广州大学,C,50%～60%
44,10165,辽宁师范大学,C-,60%～70%
45,10184,延边大学,C-,60%～70%
46,10459,郑州大学,C-,60%～70%
47,10602,广西师范大学,C-,60%～70%
48,10656,西南民族大学,C-,60%～70%
49,11065,青岛大学,C-,60%～70%
