年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,上海,综合,615分及以上,53,53
2019,上海,综合,614,11,64
2019,上海,综合,613,13,77
2019,上海,综合,612,10,87
2019,上海,综合,611,14,101
2019,上海,综合,610,8,109
2019,上海,综合,609,18,127
2019,上海,综合,608,23,150
2019,上海,综合,607,17,167
2019,上海,综合,606,20,187
2019,上海,综合,605,27,214
2019,上海,综合,604,16,230
2019,上海,综合,603,28,258
2019,上海,综合,602,24,282
2019,上海,综合,601,30,312
2019,上海,综合,600,31,343
2019,上海,综合,599,31,374
2019,上海,综合,598,30,404
2019,上海,综合,597,42,446
2019,上海,综合,596,38,484
2019,上海,综合,595,38,522
2019,上海,综合,594,44,566
2019,上海,综合,593,46,612
2019,上海,综合,592,61,673
2019,上海,综合,591,46,719
2019,上海,综合,590,49,768
2019,上海,综合,589,52,820
2019,上海,综合,588,63,883
2019,上海,综合,587,69,952
2019,上海,综合,586,78,1030
2019,上海,综合,585,76,1106
2019,上海,综合,584,89,1195
2019,上海,综合,583,80,1275
2019,上海,综合,582,70,1345
2019,上海,综合,581,74,1419
2019,上海,综合,580,87,1506
2019,上海,综合,579,73,1579
2019,上海,综合,578,77,1656
2019,上海,综合,577,86,1742
2019,上海,综合,576,76,1818
2019,上海,综合,575,74,1892
2019,上海,综合,574,89,1981
2019,上海,综合,573,91,2072
2019,上海,综合,572,97,2169
2019,上海,综合,571,108,2277
2019,上海,综合,570,99,2376
2019,上海,综合,569,119,2495
2019,上海,综合,568,114,2609
2019,上海,综合,567,104,2713
2019,上海,综合,566,121,2834
2019,上海,综合,565,139,2973
2019,上海,综合,564,151,3124
2019,上海,综合,563,121,3245
2019,上海,综合,562,119,3364
2019,上海,综合,561,136,3500
2019,上海,综合,560,136,3636
2019,上海,综合,559,151,3787
2019,上海,综合,558,113,3900
2019,上海,综合,557,152,4052
2019,上海,综合,556,120,4172
2019,上海,综合,555,118,4290
2019,上海,综合,554,160,4450
2019,上海,综合,553,167,4617
2019,上海,综合,552,164,4781
2019,上海,综合,551,165,4946
2019,上海,综合,550,155,5101
2019,上海,综合,549,173,5274
2019,上海,综合,548,163,5437
2019,上海,综合,547,173,5610
2019,上海,综合,546,163,5773
2019,上海,综合,545,168,5941
2019,上海,综合,544,194,6135
2019,上海,综合,543,190,6325
2019,上海,综合,542,187,6512
2019,上海,综合,541,210,6722
2019,上海,综合,540,189,6911
2019,上海,综合,539,195,7106
2019,上海,综合,538,193,7299
2019,上海,综合,537,195,7494
2019,上海,综合,536,200,7694
2019,上海,综合,535,190,7884
2019,上海,综合,534,179,8063
2019,上海,综合,533,185,8248
2019,上海,综合,532,225,8473
2019,上海,综合,531,207,8680
2019,上海,综合,530,212,8892
2019,上海,综合,529,210,9102
2019,上海,综合,528,209,9311
2019,上海,综合,527,220,9531
2019,上海,综合,526,216,9747
2019,上海,综合,525,218,9965
2019,上海,综合,524,212,10177
2019,上海,综合,523,230,10407
2019,上海,综合,522,200,10607
2019,上海,综合,521,209,10816
2019,上海,综合,520,204,11020
2019,上海,综合,519,199,11219
2019,上海,综合,518,202,11421
2019,上海,综合,517,199,11620
2019,上海,综合,516,226,11846
2019,上海,综合,515,206,12052
2019,上海,综合,514,207,12259
2019,上海,综合,513,236,12495
2019,上海,综合,512,194,12689
2019,上海,综合,511,236,12925
2019,上海,综合,510,228,13153
2019,上海,综合,509,254,13407
2019,上海,综合,508,245,13652
2019,上海,综合,507,217,13869
2019,上海,综合,506,230,14099
2019,上海,综合,505,245,14344
2019,上海,综合,504,212,14556
2019,上海,综合,503,203,14759
2019,上海,综合,502,207,14966
2019,上海,综合,501,229,15195
2019,上海,综合,500,219,15414
2019,上海,综合,499,246,15660
2019,上海,综合,498,225,15885
2019,上海,综合,497,239,16124
2019,上海,综合,496,242,16366
2019,上海,综合,495,244,16610
2019,上海,综合,494,238,16848
2019,上海,综合,493,244,17092
2019,上海,综合,492,253,17345
2019,上海,综合,491,229,17574
2019,上海,综合,490,225,17799
2019,上海,综合,489,238,18037
2019,上海,综合,488,250,18287
2019,上海,综合,487,227,18514
2019,上海,综合,486,239,18753
2019,上海,综合,485,227,18980
2019,上海,综合,484,239,19219
2019,上海,综合,483,241,19460
2019,上海,综合,482,250,19710
2019,上海,综合,481,226,19936
2019,上海,综合,480,233,20169
2019,上海,综合,479,227,20396
2019,上海,综合,478,225,20621
2019,上海,综合,477,242,20863
2019,上海,综合,476,262,21125
2019,上海,综合,475,253,21378
2019,上海,综合,474,225,21603
2019,上海,综合,473,254,21857
2019,上海,综合,472,225,22082
2019,上海,综合,471,215,22297
2019,上海,综合,470,253,22550
2019,上海,综合,469,205,22755
2019,上海,综合,468,227,22982
2019,上海,综合,467,188,23170
2019,上海,综合,466,225,23395
2019,上海,综合,465,202,23597
2019,上海,综合,464,230,23827
2019,上海,综合,463,212,24039
2019,上海,综合,462,255,24294
2019,上海,综合,461,234,24528
2019,上海,综合,460,225,24753
2019,上海,综合,459,205,24958
2019,上海,综合,458,210,25168
2019,上海,综合,457,241,25409
2019,上海,综合,456,209,25618
2019,上海,综合,455,193,25811
2019,上海,综合,454,215,26026
2019,上海,综合,453,230,26256
2019,上海,综合,452,207,26463
2019,上海,综合,451,203,26666
2019,上海,综合,450,210,26876
2019,上海,综合,449,226,27102
2019,上海,综合,448,225,27327
2019,上海,综合,447,220,27547
2019,上海,综合,446,232,27779
2019,上海,综合,445,192,27971
2019,上海,综合,444,201,28172
2019,上海,综合,443,207,28379
2019,上海,综合,442,185,28564
2019,上海,综合,441,213,28777
2019,上海,综合,440,190,28967
2019,上海,综合,439,209,29176
2019,上海,综合,438,170,29346
2019,上海,综合,437,193,29539
2019,上海,综合,436,192,29731
2019,上海,综合,435,191,29922
2019,上海,综合,434,216,30138
2019,上海,综合,433,211,30349
2019,上海,综合,432,201,30550
2019,上海,综合,431,206,30756
2019,上海,综合,430,176,30932
2019,上海,综合,429,181,31113
2019,上海,综合,428,196,31309
2019,上海,综合,427,211,31520
2019,上海,综合,426,196,31716
2019,上海,综合,425,177,31893
2019,上海,综合,424,153,32046
2019,上海,综合,423,178,32224
2019,上海,综合,422,183,32407
2019,上海,综合,421,191,32598
2019,上海,综合,420,166,32764
2019,上海,综合,419,175,32939
2019,上海,综合,418,174,33113
2019,上海,综合,417,166,33279
2019,上海,综合,416,169,33448
2019,上海,综合,415,171,33619
2019,上海,综合,414,162,33781
2019,上海,综合,413,180,33961
2019,上海,综合,412,168,34129
2019,上海,综合,411,159,34288
2019,上海,综合,410,166,34454
2019,上海,综合,409,131,34585
2019,上海,综合,408,172,34757
2019,上海,综合,407,150,34907
2019,上海,综合,406,170,35077
2019,上海,综合,405,162,35239
2019,上海,综合,404,167,35406
2019,上海,综合,403,163,35569
2019,上海,综合,402,157,35726
2019,上海,综合,401,147,35873
2019,上海,综合,400,180,36053
2019,上海,综合,399,128,36181
2019,上海,综合,398,129,36310
2019,上海,综合,397,165,36475
2019,上海,综合,396,135,36610
2019,上海,综合,395,164,36774
2019,上海,综合,394,144,36918
2019,上海,综合,393,147,37065
2019,上海,综合,392,186,37251
2019,上海,综合,391,123,37374
2019,上海,综合,390,140,37514
2019,上海,综合,389,135,37649
2019,上海,综合,388,140,37789
2019,上海,综合,387,119,37908
2019,上海,综合,386,116,38024
2019,上海,综合,385,146,38170
2019,上海,综合,384,117,38287
2019,上海,综合,383,119,38406
2019,上海,综合,382,117,38523
2019,上海,综合,381,107,38630
2019,上海,综合,380,104,38734
2019,上海,综合,379,128,38862
2019,上海,综合,378,101,38963
2019,上海,综合,377,110,39073
2019,上海,综合,376,103,39176
2019,上海,综合,375,117,39293
2019,上海,综合,374,103,39396
2019,上海,综合,373,96,39492
2019,上海,综合,372,104,39596
2019,上海,综合,371,91,39687
2019,上海,综合,370,109,39796
2019,上海,综合,369,100,39896
2019,上海,综合,368,88,39984
2019,上海,综合,367,95,40079
2019,上海,综合,366,93,40172
2019,上海,综合,365,88,40260
2019,上海,综合,364,99,40359
2019,上海,综合,363,101,40460
2019,上海,综合,362,89,40549
2019,上海,综合,361,82,40631
2019,上海,综合,360,87,40718
2019,上海,综合,359,90,40808
2019,上海,综合,358,79,40887
2019,上海,综合,357,75,40962
2019,上海,综合,356,81,41043
2019,上海,综合,355,86,41129
2019,上海,综合,354,70,41199
2019,上海,综合,353,76,41275
2019,上海,综合,352,75,41350
2019,上海,综合,351,74,41424
2019,上海,综合,350,71,41495
2019,上海,综合,349,63,41558
2019,上海,综合,348,65,41623
2019,上海,综合,347,65,41688
2019,上海,综合,346,65,41753
2019,上海,综合,345,80,41833
2019,上海,综合,344,53,41886
2019,上海,综合,343,83,41969
2019,上海,综合,342,60,42029
2019,上海,综合,341,53,42082
2019,上海,综合,340,57,42139
2019,上海,综合,339,55,42194
2019,上海,综合,338,52,42246
2019,上海,综合,337,66,42312
2019,上海,综合,336,48,42360
2019,上海,综合,335,48,42408
2019,上海,综合,334,41,42449
2019,上海,综合,333,40,42489
2019,上海,综合,332,55,42544
2019,上海,综合,331,41,42585
2019,上海,综合,330,38,42623
2019,上海,综合,329,42,42665
2019,上海,综合,328,38,42703
2019,上海,综合,327,40,42743
2019,上海,综合,326,43,42786
2019,上海,综合,325,38,42824
2019,上海,综合,324,46,42870
2019,上海,综合,323,31,42901
2019,上海,综合,322,30,42931
2019,上海,综合,321,24,42955
2019,上海,综合,320,32,42987
2019,上海,综合,319,39,43026
2019,上海,综合,318,35,43061
2019,上海,综合,317,34,43095
2019,上海,综合,316,33,43128
2019,上海,综合,315,36,43164
2019,上海,综合,314,30,43194
2019,上海,综合,313,24,43218
2019,上海,综合,312,32,43250
2019,上海,综合,311,38,43288
2019,上海,综合,310,15,43303
2019,上海,综合,309,35,43338
2019,上海,综合,308,19,43357
2019,上海,综合,307,33,43390
2019,上海,综合,306,23,43413
2019,上海,综合,305,21,43434
2019,上海,综合,304,21,43455
2019,上海,综合,303,22,43477
2019,上海,综合,302,19,43496
2019,上海,综合,301,27,43523
2019,上海,综合,300,25,43548
2019,上海,综合,299,19,43567
