年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,云南,理科,706分及以上,53,53
2019,云南,理科,705,6,59
2019,云南,理科,704,5,64
2019,云南,理科,703,4,68
2019,云南,理科,702,5,73
2019,云南,理科,701,11,84
2019,云南,理科,700,18,102
2019,云南,理科,699,3,105
2019,云南,理科,698,10,115
2019,云南,理科,697,8,123
2019,云南,理科,696,12,135
2019,云南,理科,695,20,155
2019,云南,理科,694,19,174
2019,云南,理科,693,20,194
2019,云南,理科,692,17,211
2019,云南,理科,691,14,225
2019,云南,理科,690,14,239
2019,云南,理科,689,18,257
2019,云南,理科,688,21,278
2019,云南,理科,687,18,296
2019,云南,理科,686,18,314
2019,云南,理科,685,19,333
2019,云南,理科,684,27,360
2019,云南,理科,683,23,383
2019,云南,理科,682,26,409
2019,云南,理科,681,19,428
2019,云南,理科,680,29,457
2019,云南,理科,679,30,487
2019,云南,理科,678,44,531
2019,云南,理科,677,30,561
2019,云南,理科,676,29,590
2019,云南,理科,675,29,619
2019,云南,理科,674,39,658
2019,云南,理科,673,46,704
2019,云南,理科,672,39,743
2019,云南,理科,671,57,800
2019,云南,文科,671分及以上,54,54
2019,云南,理科,670,47,847
2019,云南,文科,670,4,58
2019,云南,文科,669,4,62
2019,云南,文科,669,4,62
2019,云南,文科,668,8,70
2019,云南,理科,668,55,945
2019,云南,理科,667,44,989
2019,云南,文科,667,4,74
2019,云南,理科,666,39,1028
2019,云南,文科,666,3,77
2019,云南,理科,665,70,1098
2019,云南,文科,665,4,81
2019,云南,文科,664,3,84
2019,云南,理科,664,64,1162
2019,云南,文科,663,11,95
2019,云南,理科,663,66,1228
2019,云南,文科,662,7,102
2019,云南,理科,662,55,1283
2019,云南,文科,661,12,114
2019,云南,理科,661,67,1350
2019,云南,文科,660,9,123
2019,云南,理科,660,64,1414
2019,云南,文科,659,8,131
2019,云南,文科,659,8,131
2019,云南,理科,658,75,1559
2019,云南,文科,658,10,141
2019,云南,理科,657,73,1632
2019,云南,文科,657,11,152
2019,云南,文科,656,11,163
2019,云南,理科,656,64,1696
2019,云南,文科,655,4,167
2019,云南,理科,655,76,1772
2019,云南,理科,654,91,1863
2019,云南,文科,654,17,184
2019,云南,理科,653,76,1939
2019,云南,文科,653,14,198
2019,云南,文科,652,15,213
2019,云南,理科,652,105,2044
2019,云南,文科,651,12,225
2019,云南,理科,651,78,2122
2019,云南,文科,650,16,241
2019,云南,理科,650,90,2212
2019,云南,文科,649,19,260
2019,云南,理科,649,86,2298
2019,云南,文科,648,18,278
2019,云南,理科,648,103,2401
2019,云南,文科,647,17,295
2019,云南,理科,647,95,2496
2019,云南,文科,646,23,318
2019,云南,理科,646,102,2598
2019,云南,文科,645,20,338
2019,云南,理科,645,119,2717
2019,云南,文科,644,13,351
2019,云南,理科,644,116,2833
2019,云南,文科,643,15,366
2019,云南,理科,643,119,2952
2019,云南,文科,642,21,387
2019,云南,理科,642,138,3090
2019,云南,文科,641,21,408
2019,云南,理科,641,102,3192
2019,云南,文科,640,20,428
2019,云南,理科,640,111,3303
2019,云南,文科,639,24,452
2019,云南,理科,639,133,3436
2019,云南,文科,638,21,473
2019,云南,理科,638,109,3545
2019,云南,文科,637,28,501
2019,云南,理科,637,98,3643
2019,云南,文科,636,31,532
2019,云南,理科,636,131,3774
2019,云南,文科,635,30,562
2019,云南,理科,635,142,3916
2019,云南,文科,634,32,594
2019,云南,理科,634,124,4040
2019,云南,文科,633,28,622
2019,云南,理科,633,159,4199
2019,云南,文科,632,28,650
2019,云南,理科,632,149,4348
2019,云南,文科,631,37,687
2019,云南,理科,631,148,4496
2019,云南,文科,630,49,736
2019,云南,理科,630,140,4636
2019,云南,文科,629,49,785
2019,云南,理科,629,147,4783
2019,云南,文科,628,35,820
2019,云南,理科,628,164,4947
2019,云南,文科,627,50,870
2019,云南,理科,627,163,5110
2019,云南,文科,626,47,917
2019,云南,理科,626,175,5285
2019,云南,文科,625,39,956
2019,云南,理科,625,179,5464
2019,云南,文科,624,56,1012
2019,云南,理科,624,154,5618
2019,云南,文科,623,69,1081
2019,云南,理科,623,179,5797
2019,云南,文科,622,59,1140
2019,云南,理科,622,185,5982
2019,云南,文科,621,57,1197
2019,云南,理科,621,201,6183
2019,云南,文科,620,67,1264
2019,云南,理科,620,189,6372
2019,云南,文科,619,59,1323
2019,云南,理科,619,197,6569
2019,云南,文科,618,69,1392
2019,云南,理科,618,214,6783
2019,云南,文科,617,56,1448
2019,云南,理科,617,227,7010
2019,云南,文科,616,54,1502
2019,云南,理科,616,204,7214
2019,云南,文科,615,76,1578
2019,云南,理科,615,213,7427
2019,云南,文科,614,73,1651
2019,云南,理科,614,254,7681
2019,云南,文科,613,84,1735
2019,云南,理科,613,230,7911
2019,云南,文科,612,77,1812
2019,云南,理科,612,209,8120
2019,云南,文科,611,95,1907
2019,云南,理科,611,217,8337
2019,云南,文科,610,95,2002
2019,云南,理科,610,233,8570
2019,云南,文科,609,95,2097
2019,云南,理科,609,224,8794
2019,云南,文科,608,93,2190
2019,云南,理科,608,211,9005
2019,云南,文科,607,75,2265
2019,云南,理科,607,231,9236
2019,云南,文科,606,94,2359
2019,云南,理科,606,208,9444
2019,云南,文科,605,101,2460
2019,云南,理科,605,228,9672
2019,云南,文科,604,104,2564
2019,云南,理科,604,235,9907
2019,云南,文科,603,90,2654
2019,云南,理科,603,240,10147
2019,云南,文科,602,112,2766
2019,云南,理科,602,274,10421
2019,云南,文科,601,111,2877
2019,云南,理科,601,263,10684
2019,云南,文科,600,106,2983
