年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,内蒙古,理科,673及以上,113,113
2019,内蒙古,理科,672,2,115
2019,内蒙古,理科,671,8,123
2019,内蒙古,理科,670,7,130
2019,内蒙古,理科,669,10,140
2019,内蒙古,理科,668,16,156
2019,内蒙古,理科,667,11,167
2019,内蒙古,理科,666,9,176
2019,内蒙古,理科,665,16,192
2019,内蒙古,理科,664,18,210
2019,内蒙古,理科,663,11,221
2019,内蒙古,理科,662,15,236
2019,内蒙古,理科,661,13,249
2019,内蒙古,理科,660,18,267
2019,内蒙古,理科,659,13,280
2019,内蒙古,理科,658,13,293
2019,内蒙古,理科,657,16,309
2019,内蒙古,理科,656,12,321
2019,内蒙古,理科,655,29,350
2019,内蒙古,理科,654,20,370
2019,内蒙古,理科,653,18,388
2019,内蒙古,理科,652,24,412
2019,内蒙古,理科,651,23,435
2019,内蒙古,理科,650,28,463
2019,内蒙古,理科,649,36,499
2019,内蒙古,理科,648,25,524
2019,内蒙古,理科,647,26,550
2019,内蒙古,理科,646,33,583
2019,内蒙古,理科,645,25,608
2019,内蒙古,理科,644,25,633
2019,内蒙古,理科,643,37,670
2019,内蒙古,理科,642,37,707
2019,内蒙古,理科,641,35,742
2019,内蒙古,理科,640,42,784
2019,内蒙古,理科,639,38,822
2019,内蒙古,理科,638,44,866
2019,内蒙古,理科,637,45,911
2019,内蒙古,文科,636及以上,124,124
2019,内蒙古,理科,636,53,964
2019,内蒙古,理科,635,36,1000
2019,内蒙古,理科,635,36,1000
2019,内蒙古,文科,634,16,149
2019,内蒙古,理科,634,43,1043
2019,内蒙古,文科,633,13,162
2019,内蒙古,理科,633,37,1080
2019,内蒙古,理科,632,44,1124
2019,内蒙古,文科,632,11,173
2019,内蒙古,理科,631,54,1178
2019,内蒙古,文科,631,13,186
2019,内蒙古,文科,630,11,197
2019,内蒙古,理科,630,49,1227
2019,内蒙古,理科,629,49,1276
2019,内蒙古,文科,629,11,208
2019,内蒙古,理科,628,52,1328
2019,内蒙古,文科,628,16,224
2019,内蒙古,理科,627,58,1386
2019,内蒙古,文科,627,12,236
2019,内蒙古,理科,626,68,1454
2019,内蒙古,文科,626,19,255
2019,内蒙古,理科,625,60,1514
2019,内蒙古,理科,625,60,1514
2019,内蒙古,文科,624,17,289
2019,内蒙古,理科,624,65,1579
2019,内蒙古,文科,623,14,303
2019,内蒙古,理科,623,65,1644
2019,内蒙古,文科,622,13,316
2019,内蒙古,理科,622,54,1698
2019,内蒙古,理科,621,64,1762
2019,内蒙古,文科,621,11,327
2019,内蒙古,文科,620,20,347
2019,内蒙古,理科,620,50,1812
2019,内蒙古,理科,619,55,1867
2019,内蒙古,文科,619,13,360
2019,内蒙古,文科,618,27,387
2019,内蒙古,理科,618,82,1949
2019,内蒙古,理科,617,74,2023
2019,内蒙古,文科,617,15,402
2019,内蒙古,理科,616,68,2091
2019,内蒙古,文科,616,19,421
2019,内蒙古,理科,615,82,2173
2019,内蒙古,理科,615,82,2173
2019,内蒙古,文科,614,13,466
2019,内蒙古,理科,614,92,2265
2019,内蒙古,文科,613,23,489
2019,内蒙古,理科,613,94,2359
2019,内蒙古,文科,612,25,514
2019,内蒙古,理科,612,68,2427
2019,内蒙古,文科,611,28,542
2019,内蒙古,理科,611,89,2516
2019,内蒙古,文科,610,29,571
2019,内蒙古,理科,610,83,2599
2019,内蒙古,文科,609,32,603
2019,内蒙古,理科,609,67,2666
2019,内蒙古,文科,608,29,632
2019,内蒙古,理科,608,88,2754
2019,内蒙古,文科,607,21,653
2019,内蒙古,理科,607,84,2838
2019,内蒙古,文科,606,30,683
2019,内蒙古,理科,606,89,2927
2019,内蒙古,文科,605,23,706
2019,内蒙古,理科,605,92,3019
2019,内蒙古,文科,604,30,736
2019,内蒙古,理科,604,102,3121
2019,内蒙古,文科,603,34,770
2019,内蒙古,理科,603,90,3211
2019,内蒙古,文科,602,35,805
2019,内蒙古,理科,602,109,3320
2019,内蒙古,文科,601,39,844
2019,内蒙古,理科,601,84,3404
2019,内蒙古,文科,600,26,870
2019,内蒙古,理科,600,103,3507
2019,内蒙古,文科,599,27,897
2019,内蒙古,理科,599,107,3614
2019,内蒙古,文科,598,27,924
2019,内蒙古,理科,598,102,3716
2019,内蒙古,文科,597,27,951
2019,内蒙古,理科,597,119,3835
2019,内蒙古,文科,596,38,989
2019,内蒙古,理科,596,92,3927
2019,内蒙古,文科,595,42,1031
2019,内蒙古,文科,595,42,1031
2019,内蒙古,理科,594,133,4173
2019,内蒙古,文科,594,35,1066
2019,内蒙古,理科,593,118,4291
2019,内蒙古,文科,593,52,1118
2019,内蒙古,理科,592,105,4396
2019,内蒙古,文科,592,38,1156
2019,内蒙古,理科,591,122,4518
2019,内蒙古,文科,591,52,1208
2019,内蒙古,理科,590,100,4618
2019,内蒙古,文科,590,48,1256
2019,内蒙古,理科,589,99,4717
2019,内蒙古,文科,589,39,1295
2019,内蒙古,理科,588,120,4837
2019,内蒙古,文科,588,45,1340
2019,内蒙古,理科,587,137,4974
2019,内蒙古,文科,587,54,1394
2019,内蒙古,理科,586,121,5095
2019,内蒙古,文科,586,54,1448
2019,内蒙古,理科,585,135,5230
2019,内蒙古,文科,585,47,1495
2019,内蒙古,文科,584,50,1545
2019,内蒙古,理科,584,123,5353
2019,内蒙古,理科,583,141,5494
2019,内蒙古,文科,583,51,1596
2019,内蒙古,文科,582,55,1651
2019,内蒙古,理科,582,116,5610
2019,内蒙古,文科,581,50,1701
2019,内蒙古,理科,581,128,5738
2019,内蒙古,理科,580,123,5861
2019,内蒙古,文科,580,53,1754
2019,内蒙古,理科,579,142,6003
2019,内蒙古,文科,579,54,1808
2019,内蒙古,文科,578,63,1871
2019,内蒙古,理科,578,156,6159
2019,内蒙古,理科,577,134,6293
2019,内蒙古,文科,577,42,1913
2019,内蒙古,文科,576,61,1974
2019,内蒙古,理科,576,137,6430
2019,内蒙古,文科,575,65,2039
2019,内蒙古,理科,575,120,6550
2019,内蒙古,文科,574,52,2091
2019,内蒙古,理科,574,137,6687
2019,内蒙古,文科,573,71,2162
2019,内蒙古,理科,573,158,6845
2019,内蒙古,文科,572,64,2226
2019,内蒙古,理科,572,137,6982
2019,内蒙古,文科,571,65,2291
2019,内蒙古,理科,571,143,7125
2019,内蒙古,文科,570,78,2369
2019,内蒙古,理科,570,131,7256
2019,内蒙古,文科,569,88,2457
2019,内蒙古,理科,569,144,7400
2019,内蒙古,文科,568,75,2532
2019,内蒙古,理科,568,149,7549
2019,内蒙古,文科,567,92,2624
2019,内蒙古,理科,567,162,7711
2019,内蒙古,文科,566,65,2689
2019,内蒙古,理科,566,161,7872
2019,内蒙古,文科,565,83,2772
2019,内蒙古,文科,565,83,2772
2019,内蒙古,理科,564,153,8185
2019,内蒙古,文科,564,84,2856
2019,内蒙古,理科,563,170,8355
2019,内蒙古,文科,563,73,2929
2019,内蒙古,理科,562,145,8500
2019,内蒙古,文科,562,78,3007
2019,内蒙古,理科,561,140,8640
2019,内蒙古,文科,561,76,3083
2019,内蒙古,理科,560,162,8802
2019,内蒙古,文科,560,69,3152
2019,内蒙古,理科,559,152,8954
2019,内蒙古,文科,559,90,3242
2019,内蒙古,理科,558,192,9146
2019,内蒙古,文科,558,59,3301
2019,内蒙古,理科,557,171,9317
2019,内蒙古,文科,557,101,3402
2019,内蒙古,理科,556,157,9474
2019,内蒙古,文科,556,93,3495
2019,内蒙古,理科,555,172,9646
2019,内蒙古,文科,555,90,3585
2019,内蒙古,理科,554,173,9819
2019,内蒙古,文科,554,98,3683
2019,内蒙古,文科,553,83,3766
2019,内蒙古,理科,553,187,10006
2019,内蒙古,理科,552,159,10165
2019,内蒙古,文科,552,92,3858
2019,内蒙古,理科,551,169,10334
2019,内蒙古,文科,551,85,3943
2019,内蒙古,理科,550,189,10523
2019,内蒙古,文科,550,78,4021
2019,内蒙古,理科,549,184,10707
2019,内蒙古,文科,549,93,4114
2019,内蒙古,理科,548,175,10882
2019,内蒙古,文科,548,117,4231
2019,内蒙古,理科,547,186,11068
2019,内蒙古,文科,547,109,4340
2019,内蒙古,理科,546,182,11250
2019,内蒙古,文科,546,96,4436
2019,内蒙古,理科,545,182,11432
2019,内蒙古,文科,545,104,4540
2019,内蒙古,文科,544,98,4638
2019,内蒙古,理科,544,168,11600
2019,内蒙古,理科,543,194,11794
2019,内蒙古,文科,543,95,4733
2019,内蒙古,文科,542,107,4840
2019,内蒙古,理科,542,213,12007
2019,内蒙古,理科,541,168,12175
2019,内蒙古,文科,541,84,4924
2019,内蒙古,文科,540,78,5002
2019,内蒙古,理科,540,173,12348
2019,内蒙古,文科,539,129,5131
2019,内蒙古,理科,539,202,12550
2019,内蒙古,理科,538,181,12731
2019,内蒙古,文科,538,105,5236
2019,内蒙古,文科,537,105,5341
2019,内蒙古,理科,537,194,12925
2019,内蒙古,理科,536,175,13100
2019,内蒙古,文科,536,105,5446
2019,内蒙古,文科,535,88,5534
2019,内蒙古,理科,535,179,13279
2019,内蒙古,文科,534,96,5630
2019,内蒙古,理科,534,192,13471
2019,内蒙古,文科,533,97,5727
2019,内蒙古,理科,533,183,13654
2019,内蒙古,文科,532,110,5837
2019,内蒙古,理科,532,197,13851
2019,内蒙古,文科,531,133,5970
2019,内蒙古,理科,531,185,14036
2019,内蒙古,文科,530,125,6095
2019,内蒙古,理科,530,196,14232
2019,内蒙古,文科,529,130,6225
2019,内蒙古,理科,529,214,14446
2019,内蒙古,文科,528,118,6343
2019,内蒙古,理科,528,220,14666
2019,内蒙古,文科,527,105,6448
2019,内蒙古,理科,527,229,14895
2019,内蒙古,文科,526,110,6558
2019,内蒙古,理科,526,199,15094
