年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,北京,理科,700分及以上,24,24
2019,北京,理科,699,7,31
2019,北京,理科,698,8,39
2019,北京,理科,697,10,49
2019,北京,理科,696,8,57
2019,北京,理科,695,10,67
2019,北京,理科,694,8,75
2019,北京,理科,693,6,81
2019,北京,理科,692,12,93
2019,北京,理科,691,15,108
2019,北京,理科,690,9,117
2019,北京,理科,689,12,129
2019,北京,理科,688,8,137
2019,北京,理科,687,8,145
2019,北京,理科,686,20,165
2019,北京,理科,685,20,185
2019,北京,理科,684,18,203
2019,北京,理科,683,25,228
2019,北京,理科,682,23,251
2019,北京,理科,681,20,271
2019,北京,文科,680分及以上,14,14
2019,北京,理科,680,31,302
2019,北京,文科,679,3,17
2019,北京,理科,679,37,339
2019,北京,理科,678,35,374
2019,北京,文科,678,2,19
2019,北京,文科,677,2,21
2019,北京,理科,677,31,405
2019,北京,文科,676,2,23
2019,北京,理科,676,43,448
2019,北京,文科,675,3,26
2019,北京,理科,675,41,489
2019,北京,文科,674,3,29
2019,北京,理科,674,34,523
2019,北京,理科,673,54,577
2019,北京,文科,673,4,33
2019,北京,理科,672,59,636
2019,北京,文科,672,4,37
2019,北京,理科,671,36,672
2019,北京,文科,671,2,39
2019,北京,理科,670,46,718
2019,北京,文科,670,6,45
2019,北京,理科,669,62,780
2019,北京,文科,669,6,51
2019,北京,文科,668,7,58
2019,北京,理科,668,60,840
2019,北京,理科,667,49,889
2019,北京,文科,667,8,66
2019,北京,理科,666,56,945
2019,北京,文科,666,7,73
2019,北京,理科,665,59,1004
2019,北京,文科,665,4,77
2019,北京,理科,664,63,1067
2019,北京,文科,664,6,83
2019,北京,文科,663,8,91
2019,北京,理科,663,63,1130
2019,北京,文科,662,10,101
2019,北京,理科,662,74,1204
2019,北京,文科,661,9,110
2019,北京,理科,661,81,1285
2019,北京,理科,660,84,1369
2019,北京,文科,660,12,122
2019,北京,理科,659,70,1439
2019,北京,文科,659,8,130
2019,北京,理科,658,83,1522
2019,北京,文科,658,8,138
2019,北京,理科,657,75,1597
2019,北京,文科,657,7,145
2019,北京,理科,656,81,1678
2019,北京,文科,656,5,150
2019,北京,理科,655,84,1762
2019,北京,文科,655,17,167
2019,北京,理科,654,96,1858
2019,北京,文科,654,20,187
2019,北京,理科,653,85,1943
2019,北京,文科,653,18,205
2019,北京,理科,652,92,2035
2019,北京,文科,652,14,219
2019,北京,文科,651,15,234
2019,北京,理科,651,96,2131
2019,北京,文科,650,9,243
2019,北京,理科,650,85,2216
2019,北京,文科,649,18,261
2019,北京,理科,649,94,2310
2019,北京,文科,648,22,283
2019,北京,理科,648,104,2414
2019,北京,文科,647,15,298
2019,北京,理科,647,98,2512
2019,北京,文科,646,19,317
2019,北京,理科,646,80,2592
2019,北京,文科,645,18,335
2019,北京,理科,645,80,2672
2019,北京,文科,644,25,360
2019,北京,理科,644,94,2766
2019,北京,文科,643,19,379
2019,北京,理科,643,97,2863
2019,北京,文科,642,17,396
2019,北京,理科,642,108,2971
2019,北京,文科,641,19,415
2019,北京,理科,641,111,3082
2019,北京,文科,640,28,443
2019,北京,理科,640,98,3180
2019,北京,文科,639,16,459
2019,北京,理科,639,104,3284
2019,北京,文科,638,25,484
2019,北京,理科,638,112,3396
2019,北京,文科,637,21,505
2019,北京,理科,637,109,3505
2019,北京,文科,636,26,531
2019,北京,理科,636,101,3606
2019,北京,文科,635,32,563
2019,北京,理科,635,101,3707
2019,北京,文科,634,32,595
2019,北京,理科,634,128,3835
2019,北京,文科,633,33,628
2019,北京,理科,633,113,3948
2019,北京,文科,632,28,656
2019,北京,理科,632,122,4070
2019,北京,文科,631,24,680
2019,北京,理科,631,101,4171
2019,北京,文科,630,31,711
2019,北京,理科,630,127,4298
2019,北京,文科,629,37,748
2019,北京,理科,629,114,4412
2019,北京,文科,628,31,779
2019,北京,理科,628,129,4541
2019,北京,文科,627,27,806
2019,北京,理科,627,114,4655
2019,北京,文科,626,25,831
2019,北京,理科,626,123,4778
2019,北京,文科,625,37,868
2019,北京,理科,625,117,4895
2019,北京,文科,624,38,906
2019,北京,理科,624,105,5000
2019,北京,文科,623,38,944
2019,北京,理科,623,110,5110
2019,北京,文科,622,33,977
2019,北京,理科,622,117,5227
2019,北京,文科,621,37,1014
2019,北京,理科,621,112,5339
